Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
174,Gareth Bale,wls WAL,"FW,MF",Real Madrid,es La Liga,28,1989,26,20,"1,799",20,16,2,18,15,1,1,5,0,0.8,0.1,0.9,0.75,0.85,Matches
175,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,29,1988,18,18,"1,549",17.2,0,2,2,0,0,0,1,0,0,0.12,0.12,0,0.12,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
176,Andrija Balić,hr CRO,MF,Udinese,it Serie A,19,1997,21,11,"1,083",12,0,1,1,0,0,0,2,0,0,0.08,0.08,0,0.08,Matches
177,Iván Balliu,al ALB,DF,Metz,fr Ligue 1,25,1992,25,22,"1,951",21.7,0,1,1,0,0,0,6,0,0,0.05,0.05,0,0.05,Matches
178,Fodé Ballo-Touré,sn SEN,"DF,MF",Lille,fr Ligue 1,20,1997,27,25,"2,055",22.8,0,0,0,0,0,0,5,1,0,0,0,0,0,Matches
179,Florent Balmont,fr FRA,MF,Dijon,fr Ligue 1,37,1980,21,9,860,9.6,1,3,4,1,0,0,3,0,0.1,0.31,0.42,0.1,0.42,Matches
180,Leon Balogun,ng NGA,DF,Mainz 05,de Bundesliga,29,1988,14,14,"1,173",13,0,0,0,0,0,0,5,1,0,0,0,0,0,Matches
181,Mario Balotelli,it ITA,FW,Nice,fr Ligue 1,26,1990,28,26,"2,269",25.2,18,1,19,12,6,7,10,1,0.71,0.04,0.75,0.48,0.52,Matches
182,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,27,1990,18,17,"1,533",17,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
183,Jonathan Bamba,ci CIV,"FW,MF",Saint-Étienne,fr Ligue 1,21,1996,34,27,"2,572",28.6,7,8,15,3,4,4,1,0,0.24,0.28,0.52,0.1,0.38,Matches
184,Yacine Bammou,ma MAR,"MF,FW",Nantes,fr Ligue 1,25,1991,16,10,725,8.1,3,0,3,3,0,0,2,1,0.37,0,0.37,0.37,0.37,Matches
185,Éver Banega,ar ARG,MF,Sevilla,es La Liga,29,1988,31,25,"2,399",26.7,3,3,6,0,3,3,9,1,0.11,0.11,0.23,0,0.11,Matches
186,Mattia Bani,it ITA,DF,Chievo,it Serie A,23,1993,16,15,"1,317",14.6,0,0,0,0,0,0,5,1,0,0,0,0,0,Matches
187,Beni Baningime,cd COD,MF,Everton,eng Premier League,18,1998,8,1,198,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
188,Léo Baptistão,br BRA,"FW,MF",Espanyol,es La Liga,24,1992,36,31,"2,677",29.7,8,3,11,8,0,0,4,0,0.27,0.1,0.37,0.27,0.37,Matches
189,Sekou Baradji,fr FRA,"DF,MF",Amiens,fr Ligue 1,33,1984,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
190,Antonín Barák,cz CZE,MF,Udinese,it Serie A,22,1994,34,31,"2,713",30.1,7,3,10,7,0,0,5,0,0.23,0.1,0.33,0.23,0.33,Matches
191,Andrea Barberis,it ITA,MF,Crotone,it Serie A,23,1993,38,34,"3,029",33.7,2,1,3,2,0,0,1,0,0.06,0.03,0.09,0.06,0.09,Matches
192,Mariano Barbosa,ar ARG,GK,Villarreal,es La Liga,33,1984,13,12,"1,125",12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
193,Enis Bardhi,mk MKD,MF,Levante,es La Liga,22,1995,26,16,"1,580",17.6,9,1,10,9,0,0,8,0,0.51,0.06,0.57,0.51,0.57,Matches
194,Phil Bardsley,sct SCO,DF,Burnley,eng Premier League,32,1985,13,13,"1,125",12.5,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
195,Nicolò Barella,it ITA,MF,Cagliari,it Serie A,20,1997,34,34,"2,955",32.8,6,2,8,3,3,3,15,1,0.18,0.06,0.24,0.09,0.15,Matches
196,Philipp Bargfrede,de GER,MF,Werder Bremen,de Bundesliga,28,1989,27,23,"1,859",20.7,1,1,2,1,0,0,5,0,0.05,0.05,0.1,0.05,0.1,Matches
197,Ross Barkley,eng ENG,MF,Chelsea,eng Premier League,23,1993,2,2,129,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
198,Aymen Barkok,ma MAR,"MF,FW",Eintracht Frankfurt,de Bundesliga,19,1998,9,2,314,3.5,0,1,1,0,0,0,1,0,0,0.29,0.29,0,0.29,Matches
199,Ashley Barnes,eng ENG,FW,Burnley,eng Premier League,27,1989,36,21,"2,165",24.1,9,0,9,9,0,0,10,0,0.37,0,0.37,0.37,0.37,Matches
200,Harvey Barnes,eng ENG,"FW,MF",Leicester City,eng Premier League,19,1997,3,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
201,Antonio Barragán,es ESP,"DF,MF",Real Betis,es La Liga,30,1987,29,28,"2,373",26.4,0,6,6,0,0,0,7,0,0,0.23,0.23,0,0.23,Matches
202,Antonio Barreca,it ITA,DF,Torino,it Serie A,22,1995,9,3,468,5.2,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
203,Édgar Barreto,py PAR,MF,Sampdoria,it Serie A,33,1984,28,24,"1,965",21.8,1,2,3,1,0,0,6,1,0.05,0.09,0.14,0.05,0.14,Matches
204,Barri,es ESP,MF,Getafe,es La Liga,21,1995,2,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
205,Musa Barrow,gm GAM,FW,Atalanta,it Serie A,18,1998,12,5,443,4.9,3,1,4,3,0,0,0,0,0.61,0.2,0.81,0.61,0.81,Matches
