Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Tammy Abraham,eng ENG,FW,eng Chelsea,21,1997,6.3,0,0,0,12,4,6,2,1,3,,,1,Matches
2,Tyler Adams,us USA,MF,de RB Leipzig,20,1999,0.9,0,0,0,4,1,0,1,0,0,,,0,Matches
3,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,28,1991,5.7,3,0,0,10,3,3,0,2,3,,,0,Matches
4,Adrián,es ESP,GK,eng Liverpool,32,1987,3.3,0,0,0,0,0,0,0,0,0,,,0,Matches
5,Sergio Agüero,ar ARG,FW,eng Manchester City,31,1988,2.2,0,0,0,1,2,0,2,0,0,,,0,Matches
6,Manuel Akanji,ch SUI,DF,de Dortmund,24,1995,5.8,0,0,0,3,6,0,0,9,7,,,0,Matches
7,David Alaba,at AUT,DF,de Bayern Munich,27,1992,7.5,0,0,0,4,2,0,4,6,6,,,1,Matches
8,Lucas Alario,ar ARG,FW,de Leverkusen,26,1992,2.4,0,0,0,5,3,3,0,3,1,,,0,Matches
9,Jordi Alba,es ESP,DF,es Barcelona,30,1989,3.9,2,0,0,1,7,0,5,5,1,,,0,Matches
10,Paco Alcácer,es ESP,FW,de Dortmund,25,1993,1.3,0,0,0,0,0,1,2,4,1,,,0,Matches
11,Thiago Alcántara,es ESP,MF,de Bayern Munich,28,1991,9.1,2,0,0,20,9,0,0,24,23,,,0,Matches
12,Toby Alderweireld,be BEL,DF,eng Tottenham Hotspur,30,1989,6,1,0,0,5,0,0,0,5,3,,,0,Matches
13,Carles Aleñá,es ESP,MF,es Barcelona,21,1998,1,0,0,0,1,2,0,3,1,0,,,0,Matches
14,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,20,1998,6.5,1,0,0,4,2,0,78,8,11,,,0,Matches
15,Alisson,br BRA,GK,eng Liverpool,26,1992,5,0,0,0,0,0,0,0,0,0,,,0,Matches
16,Allan,br BRA,MF,it Napoli,28,1991,4.9,1,0,0,7,8,0,0,5,14,,,0,Matches
17,Dele Alli,eng ENG,"MF,FW",eng Tottenham Hotspur,23,1996,5.7,1,0,0,10,13,2,4,4,4,,,0,Matches
18,André Almeida,pt POR,DF,pt Benfica,28,1990,1,0,0,0,3,2,0,0,1,1,,,0,Matches
19,Marcos Alonso,es ESP,"MF,DF",eng Chelsea,28,1990,4.4,0,1,0,10,6,0,12,5,4,,,0,Matches
20,Éder Álvarez Balanta,co COL,MF,be Club Brugge,26,1993,3.2,2,0,0,7,1,2,0,6,5,,,0,Matches
21,Edson Álvarez,mx MEX,MF,nl Ajax,21,1997,4.2,1,0,0,8,6,0,2,6,7,,,0,Matches
22,Nadiem Amiri,de GER,MF,de Leverkusen,22,1996,2.6,0,1,0,2,7,0,9,1,4,,,0,Matches
23,Ethan Ampadu,wls WAL,DF,de RB Leipzig,18,2000,2,0,0,0,0,1,1,0,5,1,,,0,Matches
24,Joachim Andersen,dk DEN,DF,fr Lyon,23,1996,4.4,1,0,0,3,1,0,0,6,3,,,0,Matches
25,Florin Andone,ro ROU,FW,tr Galatasaray,26,1993,1.8,0,0,0,3,1,2,1,0,1,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Benjamin André,fr FRA,MF,fr Lille,28,1990,4.5,1,0,0,12,7,0,6,12,12,,,0,Matches
27,Miguel Ángel Guerrero,es ESP,FW,gr Olympiacos,29,1990,3.5,1,0,0,8,1,1,2,0,1,,,0,Matches
28,Angeliño,es ESP,"MF,DF",de RB Leipzig,22,1997,4,0,0,0,3,2,0,24,6,2,,,0,Matches
29,Angeliño,es ESP,DF,eng Manchester City,22,1997,1,0,0,0,0,1,0,3,1,2,,,0,Matches
30,Marcos Antônio,br BRA,MF,ua Shakhtar Donetsk,19,2000,0.3,0,0,0,0,2,0,0,2,1,,,0,Matches
31,Houssem Aouar,dz ALG,"MF,FW",fr Lyon,21,1998,7.9,1,0,0,9,21,1,10,5,8,,,0,Matches
32,Youssef El-Arabi,ma MAR,FW,gr Olympiacos,32,1987,3.1,1,0,0,6,5,1,0,0,1,,,0,Matches
33,Charles Aránguiz,cl CHI,MF,de Leverkusen,30,1989,4.6,2,0,0,9,9,0,5,1,1,,,0,Matches
34,Luiz Araújo,br BRA,"MF,FW",fr Lille,23,1996,3.1,1,0,0,4,3,0,4,5,2,,,0,Matches
35,Alphonse Areola,fr FRA,GK,es Real Madrid,26,1993,1.5,0,0,0,0,0,0,0,0,0,,,0,Matches
36,Santiago Arias,co COL,DF,es Atlético Madrid,27,1992,2,0,0,0,1,5,0,8,3,4,,,0,Matches
37,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,24,1994,6,1,0,0,0,0,0,0,0,0,,,1,Matches
38,Kwadwo Asamoah,gh GHA,MF,it Inter,30,1988,2.9,1,0,0,3,5,0,2,1,1,,,0,Matches
39,Marco Asensio,es ESP,"FW,MF",es Real Madrid,23,1996,0.3,0,0,0,0,0,0,1,0,0,,,0,Matches
40,Majeed Ashimeru,gh GHA,MF,at RB Salzburg,21,1997,0.7,0,0,0,0,1,0,0,0,1,,,0,Matches
41,Iyayi Atiemwen,ng NGA,MF,hr Dinamo Zagreb,23,1996,0.1,0,0,0,0,0,1,0,0,0,,,0,Matches
42,Serge Aurier,ci CIV,"DF,MF",eng Tottenham Hotspur,26,1992,5,0,0,0,7,9,0,14,2,9,,,0,Matches
43,Sardar Azmoun,ir IRN,FW,ru Zenit,24,1995,5.1,1,0,0,8,1,3,6,3,1,,,1,Matches
44,César Azpilicueta,es ESP,"DF,MF",eng Chelsea,29,1989,6.8,2,0,0,11,1,0,19,12,5,,,0,Matches
45,Ryan Babel,nl NED,FW,tr Galatasaray,32,1986,3.7,1,0,0,7,6,2,3,0,0,,,0,Matches
46,Leon Bailey,jm JAM,MF,de Leverkusen,21,1997,1.3,0,0,0,1,3,0,10,0,0,,,0,Matches
47,Gareth Bale,wls WAL,FW,es Real Madrid,30,1989,1.3,0,0,0,1,2,0,2,4,0,,,0,Matches
48,Leonardo Balerdi,ar ARG,DF,de Dortmund,20,1999,0.1,0,0,0,1,0,0,0,0,0,,,0,Matches
49,Jonathan Bamba,ci CIV,MF,fr Lille,23,1996,3.1,0,0,0,2,2,0,12,3,2,,,0,Matches
50,Nicolò Barella,it ITA,MF,it Inter,22,1997,3.2,2,0,0,8,13,0,3,8,6,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
51,Dmitri Barinov,ru RUS,MF,ru Loko Moscow,22,1996,5,3,0,0,16,5,0,1,6,4,,,0,Matches
52,Ross Barkley,eng ENG,"MF,FW",eng Chelsea,25,1993,1.8,0,0,0,1,4,0,2,1,0,,,0,Matches
53,Wílmar Barrios,co COL,MF,ru Zenit,25,1993,6,2,0,0,9,15,0,0,23,12,,,0,Matches
54,Musa Barrow,gm GAM,"FW,MF",it Atalanta,20,1998,0,0,0,0,0,0,0,0,0,0,,,0,Matches
55,Michy Batshuayi,be BEL,FW,eng Chelsea,25,1993,1,0,0,0,5,0,2,0,0,0,,,0,Matches
56,Julian Baumgartlinger,at AUT,MF,de Leverkusen,31,1988,3.8,0,0,0,8,2,0,1,3,9,,,0,Matches
57,Ömer Bayram,tr TUR,"MF,FW",tr Galatasaray,28,1991,2.8,0,0,0,2,6,0,15,3,1,,,0,Matches
58,Donny van de Beek,nl NED,MF,nl Ajax,22,1997,5,1,0,0,6,4,1,1,10,3,,,0,Matches
59,Younès Belhanda,ma MAR,MF,tr Galatasaray,29,1990,3.4,1,0,0,9,4,0,0,3,2,,,0,Matches
60,Karim Bellarabi,de GER,MF,de Leverkusen,29,1990,4.6,2,0,0,9,1,3,27,2,2,,,0,Matches
61,Lars Bender,de GER,DF,de Leverkusen,30,1989,3,0,0,0,5,2,1,8,5,6,,,0,Matches
62,Sven Bender,de GER,DF,de Leverkusen,30,1989,6,0,0,0,6,3,0,0,18,6,,,0,Matches
63,Rodrigo Bentancur,uy URU,MF,it Juventus,22,1997,4.7,2,0,0,11,8,1,15,6,14,,,0,Matches
64,Karim Benzema,fr FRA,FW,es Real Madrid,31,1987,7.2,0,0,0,2,2,5,1,2,3,,,0,Matches
65,Yassine Benzia,dz ALG,MF,gr Olympiacos,24,1994,0.9,2,1,1,3,6,0,1,0,6,,,0,Matches
66,Sander Berge,no NOR,MF,be Genk,21,1998,6,0,0,0,3,3,1,9,7,7,,,0,Matches
67,Steven Bergwijn,nl NED,MF,eng Tottenham Hotspur,21,1997,1,0,0,0,1,1,0,0,0,1,,,0,Matches
