Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
41,Danijel Subašić,hr CRO,GK,fr Monaco,32,1984,3,3,270,3,7,2.33,11,4,54.5,0,1,2,0,0,2,2,0,0,0,Matches
42,Mile Svilar,rs SRB,GK,pt Benfica,17,1999,3,3,270,3,5,1.67,13,8,69.2,0,0,3,0,0,2,1,1,0,50,Matches
43,Wojciech Szczęsny,pl POL,GK,it Juventus,27,1990,2,1,90,1,0,0,4,4,125,1,0,0,1,100,1,1,0,0,0,Matches
44,Marc-André ter Stegen,de GER,GK,es Barcelona,25,1992,9,9,810,9,6,0.67,22,16,77.3,5,3,1,5,55.6,1,1,0,0,0,Matches
45,Sven Ulreich,de GER,GK,de Bayern Munich,28,1988,11,11,990,11,12,1.09,41,29,70.7,7,2,2,3,27.3,0,0,0,0,,Matches
46,Tomáš Vaclík,cz CZE,GK,ch Basel,28,1989,8,8,720,8,10,1.25,27,17,63,5,0,3,4,50,0,0,0,0,,Matches
47,Bruno Varela,cv CPV,GK,pt Benfica,22,1994,2,2,180,2,4,2,10,6,70,0,0,2,0,0,1,1,0,0,0,Matches
48,Kenneth Vermeer,nl NED,GK,nl Feyenoord,31,1986,1,1,90,1,1,1,5,4,80,1,0,0,0,0,0,0,0,0,,Matches
49,Michel Vorm,nl NED,GK,eng Tottenham Hotspur,33,1983,1,1,90,1,0,0,1,1,100,1,0,0,1,100,0,0,0,0,,Matches
50,Boy Waterman,nl NED,GK,cy APOEL FC,33,1984,3,3,225,2.5,6,2.4,11,5,54.5,0,1,2,0,0,1,1,0,0,0,Matches
