Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,28,1986,6,6,540,6,13,2.17,36,23,63.9,1,2,3,0,0,,,,,,Matches
2,Miguel Ángel Moyá,es ESP,GK,es Atlético Madrid,30,1984,7,7,563,6.3,1,0.16,17,16,94.1,4,2,1,6,85.7,,,,,,Matches
3,Sinan Bolat,tr TUR,GK,tr Galatasaray,25,1988,1,1,90,1,4,4,6,2,33.3,0,0,1,0,0,,,,,,Matches
4,Milan Borjan,ca CAN,GK,bg Ludogorets Razgrad,26,1987,1,1,90,1,1,1,8,7,87.5,0,0,1,0,0,,,,,,Matches
5,Gianluigi Buffon,it ITA,GK,it Juventus,36,1978,13,13,"1,170",13,10,0.77,49,39,79.6,7,3,3,6,46.2,,,,,,Matches
6,Iker Casillas,es ESP,GK,es Real Madrid,33,1981,10,10,900,10,9,0.9,40,31,77.5,6,2,2,5,50,,,,,,Matches
7,Petr Čech,cz CZE,GK,eng Chelsea,32,1982,3,3,270,3,1,0.33,12,11,91.7,2,1,0,2,66.7,,,,,,Matches
8,Júlio César,br BRA,GK,pt Benfica,34,1979,3,3,270,3,3,1,17,14,82.4,1,0,2,1,33.3,,,,,,Matches
9,Sergei Chernik,by BLR,GK,by BATE Borisov,26,1988,5,5,450,5,21,4.2,40,19,47.5,1,0,4,0,0,,,,,,Matches
10,Jasper Cillessen,nl NED,GK,nl Ajax,25,1989,6,6,540,6,10,1.67,25,15,60,1,2,3,1,16.7,,,,,,Matches
11,Thibaut Courtois,be BEL,GK,eng Chelsea,22,1992,5,5,480,5.3,4,0.75,24,20,83.3,2,3,0,2,40,,,,,,Matches
12,Morgan De Sanctis,it ITA,GK,it Roma,37,1977,4,4,360,4,11,2.75,25,14,56,1,1,2,0,0,,,,,,Matches
13,Fabiano,cy CYP,GK,pt Porto,26,1988,9,9,810,9,11,1.22,27,16,59.3,6,2,1,4,44.4,,,,,,Matches
14,Ralf Fährmann,de GER,GK,de Schalke 04,25,1988,6,6,540,6,14,2.33,31,17,54.8,2,2,2,1,16.7,,,,,,Matches
15,Andrés Fernández,es ESP,GK,pt Porto,27,1986,1,1,90,1,1,1,2,1,50,0,1,0,0,0,,,,,,Matches
16,Jasmin Handanović,si SVN,GK,si NK Maribor,36,1978,6,6,540,6,13,2.17,48,35,72.9,0,3,3,0,0,,,,,,Matches
17,Joe Hart,eng ENG,GK,eng Manchester City,27,1987,8,8,720,8,11,1.37,45,34,75.6,2,2,4,1,12.5,,,,,,Matches
18,Gorka Iraizoz,es ESP,GK,es Athletic Club,33,1981,6,6,540,6,6,1,21,15,71.4,2,1,3,3,50,,,,,,Matches
19,Mitchell Langerak,au AUS,GK,de Dortmund,25,1988,1,1,90,1,1,1,2,1,50,0,1,0,0,0,,,,,,Matches
20,Bernd Leno,de GER,GK,de Leverkusen,22,1992,8,8,750,8.3,5,0.6,18,13,72.2,4,1,3,3,37.5,,,,,,Matches
21,Yuri Lodygin,ru RUS,GK,ru Zenit,24,1990,6,6,540,6,6,1,22,16,72.7,2,1,3,3,50,,,,,,Matches
22,Paulo Lopes,pt POR,GK,pt Benfica,36,1978,1,0,70,0.8,1,1.29,4,3,75,0,0,0,0,,,,,,,Matches
23,Emiliano Martínez,ar ARG,GK,eng Arsenal,21,1992,2,2,180,2,1,0.5,8,7,87.5,2,0,0,1,50,,,,,,Matches
24,Simon Mignolet,be BEL,GK,eng Liverpool,26,1988,6,6,540,6,9,1.5,32,23,71.9,1,2,3,0,0,,,,,,Matches
