Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
35,Artur Rudko,ua UKR,GK,ua Dynamo Kyiv,24,1992,5,5,450,5,4,0.8,19,15,89.5,1,2,2,2,40,2,2,0,0,0,Matches
36,Kasper Schmeichel,dk DEN,GK,eng Leicester City,29,1986,8,8,720,8,4,0.5,31,27,90.3,4,2,2,5,62.5,3,1,2,0,66.7,Matches
37,Adrian Šemper,hr CRO,GK,hr Dinamo Zagreb,18,1998,2,2,180,2,7,3.5,16,9,56.3,0,0,2,0,0,0,0,0,0,,Matches
38,Oleksandr Shovkovskiy,ua UKR,GK,ua Dynamo Kyiv,41,1975,1,1,90,1,2,2,5,3,60,0,0,1,0,0,,,,,,Matches
39,Yann Sommer,ch SUI,GK,de Gladbach,27,1988,6,6,540,6,12,2,38,26,73.7,1,2,3,1,16.7,2,2,0,0,0,Matches
40,Vladislav Stoyanov,bg BUL,GK,bg Ludogorets Razgrad,29,1987,5,5,450,5,12,2.4,36,24,66.7,0,3,2,1,20,0,0,0,0,,Matches
41,Danijel Subašić,hr CRO,GK,fr Monaco,31,1984,11,11,990,11,17,1.55,49,32,67.3,6,2,3,1,9.1,1,1,0,0,0,Matches
42,Marc-André ter Stegen,de GER,GK,es Barcelona,24,1992,9,9,810,9,12,1.33,41,29,70.7,5,1,3,4,44.4,1,0,1,0,100,Matches
43,Kevin Trapp,de GER,GK,fr Paris Saint-Germain,26,1990,2,2,180,2,2,1,8,6,100,1,0,1,1,50,2,2,0,0,0,Matches
44,Sven Ulreich,de GER,GK,de Bayern Munich,27,1988,1,1,90,1,1,1,4,3,100,0,0,1,0,0,1,1,0,0,0,Matches
45,Tomáš Vaclík,cz CZE,GK,ch Basel,27,1989,6,6,540,6,12,2,30,18,63.3,0,2,4,1,16.7,1,1,0,0,0,Matches
46,Dorus de Vries,nl NED,GK,sct Celtic,35,1980,1,1,90,1,7,7,9,2,22.2,0,0,1,0,0,0,0,0,0,,Matches
47,Roman Weidenfeller,de GER,GK,de Dortmund,35,1980,2,2,180,2,6,3,15,9,60,1,1,0,0,0,0,0,0,0,,Matches
48,Tolga Zengin,tr TUR,GK,tr Beşiktaş,32,1983,1,1,90,1,1,1,6,5,83.3,0,1,0,0,0,0,0,0,0,,Matches
49,Ron-Robert Zieler,de GER,GK,eng Leicester City,27,1989,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,0,0,0,0,,Matches
50,Jeroen Zoet,nl NED,GK,nl PSV,25,1991,5,5,450,5,9,1.8,27,18,66.7,0,2,3,1,20,0,0,0,0,,Matches
