Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Aymen Abdennour,tn TUN,DF,es Valencia,25,1989,3.7,1,0,,7,,,,,,,,,Matches
2,Vincent Aboubakar,cm CMR,FW,pt Porto,23,1992,5.4,1,0,,8,,,,,,,,,Matches
3,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,24,1991,2,1,0,,3,,,,,,,,,Matches
4,Olcan Adın,tr TUR,"MF,DF",tr Galatasaray,29,1985,3,2,0,,7,,,,,,,,,Matches
5,Adriano,br BRA,DF,es Barcelona,30,1984,2.3,0,0,,4,,,,,,,,,Matches
6,Sergio Agüero,ar ARG,FW,eng Manchester City,27,1988,7.8,0,0,,10,,,,,,,,,Matches
7,Yeldos Akhmetov,kz KAZ,DF,kz FC Astana,25,1990,1,1,0,,1,,,,,,,,,Matches
8,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,29,1986,6,0,0,,0,,,,,,,,,Matches
9,Nana Akwasi Asare,gh GHA,"DF,MF",be Gent,29,1986,8,2,0,,10,,,,,,,,,Matches
10,David Alaba,at AUT,DF,de Bayern Munich,23,1992,10.3,0,0,,3,,,,,,,,,Matches
11,Jordi Alba,es ESP,DF,es Barcelona,26,1989,8.2,1,0,,4,,,,,,,,,Matches
12,Gal Alberman,il ISR,MF,il Maccabi Tel Aviv FC,32,1983,5.9,0,0,,5,,,,,,,,,Matches
13,Paco Alcácer,es ESP,FW,es Valencia,21,1993,4.4,1,0,,2,,,,,,,,,Matches
14,Thiago Alcántara,es ESP,MF,de Bayern Munich,24,1991,8,1,0,,8,,,,,,,,,Matches
15,Illya Aleksiyevich,by BLR,MF,by BATE Borisov,24,1991,1,0,0,,1,,,,,,,,,Matches
16,André Almeida,pt POR,"DF,MF",pt Benfica,24,1990,7.3,4,0,,20,,,,,,,,,Matches
17,Xabi Alonso,es ESP,MF,de Bayern Munich,33,1981,7.3,0,0,,13,,,,,,,,,Matches
18,Dani Alves,br BRA,DF,es Barcelona,32,1983,7.7,3,0,,17,,,,,,,,,Matches
19,Victor Andrade,br BRA,"FW,MF",pt Benfica,19,1995,0.2,1,0,,1,,,,,,,,,Matches
20,André André,pt POR,"MF,FW",pt Porto,25,1989,4.4,0,0,,7,,,,,,,,,Matches
21,Marco Andreolli,it ITA,DF,es Sevilla,29,1986,2,0,0,,1,,,,,,,,,Matches
22,Marin Aničić,ba BIH,DF,kz FC Astana,25,1989,5,1,0,,4,,,,,,,,,Matches
23,Domagoj Antolić,hr CRO,MF,hr Dinamo Zagreb,25,1990,5.7,1,0,,5,,,,,,,,,Matches
24,José Antonio Reyes,es ESP,"MF,FW",es Sevilla,31,1983,1.8,1,0,,2,,,,,,,,,Matches
25,Vitorino Antunes,pt POR,DF,ua Dynamo Kyiv,28,1987,6,4,0,,10,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Aleksandr Anyukov,ru RUS,DF,ru Zenit,32,1982,6.4,1,1,,8,,,,,,,,,Matches
27,Álvaro Arbeloa,es ESP,DF,es Real Madrid,32,1983,2,0,0,,2,,,,,,,,,Matches
28,Santiago Arias,co COL,DF,nl PSV,23,1992,6.2,3,1,,9,,,,,,,,,Matches
29,Kári Árnason,is ISL,DF,se Malmö,32,1982,5,0,1,,8,,,,,,,,,Matches
30,Maximilian Arnold,de GER,MF,de Wolfsburg,21,1994,7.9,3,0,,11,,,,,,,,,Matches
31,Mikel Arteta,es ESP,MF,eng Arsenal,33,1982,0.7,0,0,,1,,,,,,,,,Matches
32,Jean-Kévin Augustin,fr FRA,FW,fr Paris Saint-Germain,18,1997,0.1,0,0,,0,,,,,,,,,Matches
33,Serge Aurier,ci CIV,DF,fr Paris Saint-Germain,22,1992,4.5,2,0,,7,,,,,,,,,Matches
34,Márcio Azevedo,br BRA,DF,ua Shakhtar Donetsk,29,1986,2.7,0,0,,3,,,,,,,,,Matches
35,César Azpilicueta,es ESP,DF,eng Chelsea,25,1989,8,1,0,,7,,,,,,,,,Matches
36,Shlomi Azulay,il ISR,FW,il Maccabi Tel Aviv FC,25,1989,0.1,0,0,,0,,,,,,,,,Matches
37,Holger Badstuber,de GER,DF,de Bayern Munich,26,1989,0.6,0,1,,1,,,,,,,,,Matches
38,Dzmitry Baha,by BLR,MF,by BATE Borisov,25,1990,0.7,1,0,,1,,,,,,,,,Matches
39,Gareth Bale,wls WAL,"FW,MF",es Real Madrid,26,1989,7.1,1,0,,4,,,,,,,,,Matches
40,Hakan Balta,tr TUR,"DF,MF",tr Galatasaray,32,1983,5.9,1,0,,4,,,,,,,,,Matches
41,Éver Banega,ar ARG,MF,es Sevilla,27,1988,4.6,1,0,,2,,,,,,,,,Matches
42,Danilo Barbosa,br BRA,MF,es Valencia,19,1996,0.9,0,0,,0,,,,,,,,,Matches
43,Antonio Barragán,es ESP,DF,es Valencia,28,1987,1,0,0,,3,,,,,,,,,Matches
44,Marc Bartra,es ESP,DF,es Barcelona,24,1991,2.6,1,0,,2,,,,,,,,,Matches
45,Andrea Barzagli,it ITA,DF,it Juventus,34,1981,6.6,0,0,,3,,,,,,,,,Matches
46,Claudio Beauvue,gp GLP,FW,fr Lyon,27,1988,2.1,0,0,,1,,,,,,,,,Matches
47,Henri Bedimo,cm CMR,DF,fr Lyon,31,1984,3,1,0,,5,,,,,,,,,Matches
48,Asmir Begović,ba BIH,GK,eng Chelsea,28,1987,5,0,0,,0,,,,,,,,,Matches
49,Abzal Beisebekov,kz KAZ,DF,kz FC Astana,22,1992,1.1,0,0,,2,,,,,,,,,Matches
50,Younès Belhanda,ma MAR,"FW,MF",ua Dynamo Kyiv,25,1990,0.4,0,0,,0,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
51,Karim Bellarabi,de GER,MF,de Leverkusen,25,1990,4.7,0,0,,13,,,,,,,,,Matches
52,Héctor Bellerín,es ESP,DF,eng Arsenal,20,1995,5.9,0,0,,4,,,,,,,,,Matches
53,Eden Ben Basat,il ISR,FW,il Maccabi Tel Aviv FC,28,1986,1.1,1,0,,3,,,,,,,,,Matches
54,Tal Ben Haim,il ISR,"MF,FW",il Maccabi Tel Aviv FC,25,1989,4.9,2,0,,6,,,,,,,,,Matches
55,Tal Ben Haim,il ISR,DF,il Maccabi Tel Aviv FC,33,1982,4.5,2,1,,8,,,,,,,,,Matches
56,Omri Ben Harush,il ISR,DF,il Maccabi Tel Aviv FC,25,1990,4.5,1,0,,3,,,,,,,,,Matches
57,Diego Benaglio,ch SUI,GK,de Wolfsburg,31,1983,8,2,0,,0,,,,,,,,,Matches
58,Medhi Benatia,ma MAR,DF,de Bayern Munich,28,1987,2,1,0,,3,,,,,,,,,Matches
59,Lars Bender,de GER,MF,de Leverkusen,26,1989,1.5,1,0,,3,,,,,,,,,Matches
60,Nicklas Bendtner,dk DEN,FW,de Wolfsburg,27,1988,1,0,0,,1,,,,,,,,,Matches
61,Rasmus Bengtsson,se SWE,DF,se Malmö,29,1986,5,3,0,,6,,,,,,,,,Matches
62,Filip Benković,hr CRO,DF,hr Dinamo Zagreb,18,1997,0.5,0,0,,0,,,,,,,,,Matches
63,Karim Benzema,fr FRA,FW,es Real Madrid,27,1987,6.7,0,0,,5,,,,,,,,,Matches
64,Aleksei Berezutski,ru RUS,DF,ru CSKA Moscow,33,1982,4.5,0,0,,0,,,,,,,,,Matches
65,Vasili Berezutski,ru RUS,DF,ru CSKA Moscow,33,1982,1.5,0,0,,0,,,,,,,,,Matches
66,Steven Bergwijn,nl NED,"FW,MF",nl PSV,17,1997,0.1,0,0,,1,,,,,,,,,Matches
67,Bernard,br BRA,MF,ua Shakhtar Donetsk,22,1992,3.4,0,0,,0,,,,,,,,,Matches
68,Juan Bernat,es ESP,DF,de Bayern Munich,22,1993,6,2,0,,5,,,,,,,,,Matches
69,Milan Biševac,rs SRB,DF,fr Lyon,31,1983,2,0,0,,1,,,,,,,,,Matches
70,Daley Blind,nl NED,DF,eng Manchester Utd,25,1990,5.3,0,0,,5,,,,,,,,,Matches
71,Jérôme Boateng,de GER,DF,de Bayern Munich,26,1988,6,2,0,,2,,,,,,,,,Matches
72,Dmitri Bogayev,ru RUS,FW,ru Zenit,21,1994,0.1,0,0,,0,,,,,,,,,Matches
73,Leonardo Bonucci,it ITA,DF,it Juventus,28,1987,8.3,1,0,,5,,,,,,,,,Matches
74,Wilfried Bony,ci CIV,FW,eng Manchester City,26,1988,3.1,1,0,,3,,,,,,,,,Matches
75,Cameron Borthwick-Jackson,eng ENG,"DF,MF",eng Manchester Utd,18,1997,0.5,0,0,,0,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Alberto Botía,es ESP,DF,gr Olympiacos,26,1989,2.6,0,0,,4,,,,,,,,,Matches
77,Yacine Brahimi,dz ALG,"FW,MF",pt Porto,25,1990,4.5,0,0,,6,,,,,,,,,Matches
78,Julian Brandt,de GER,"FW,MF",de Leverkusen,19,1996,1,0,0,,1,,,,,,,,,Matches
79,Joshua Brenet,cw CUW,DF,nl PSV,21,1994,6.4,0,0,,9,,,,,,,,,Matches
