Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Anicet Abel,mg MAD,MF,bg Ludogorets Razgrad,26,1990,6,6,540,6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
2,Vincent Aboubakar,cm CMR,FW,tr Beşiktaş,24,1992,6,6,492,5.5,3,0,3,3,0,0,3,2,0.55,0,0.55,0.55,0.55,Matches
3,Tosin Adarabioyo,eng ENG,DF,eng Manchester City,18,1997,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Adriano,br BRA,"MF,DF",tr Beşiktaş,31,1984,6,6,471,5.2,1,0,1,1,0,0,3,0,0.19,0,0.19,0.19,0.19,Matches
5,Sergio Agüero,ar ARG,FW,eng Manchester City,28,1988,7,6,541,6,5,3,8,4,1,1,1,0,0.83,0.5,1.33,0.67,1.16,Matches
6,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,30,1986,6,6,540,6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
7,David Alaba,at AUT,DF,de Bayern Munich,24,1992,9,9,840,9.3,0,2,2,0,0,0,1,0,0,0.21,0.21,0,0.21,Matches
8,Jordi Alba,es ESP,DF,es Barcelona,27,1989,6,6,436,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
9,Raúl Albiol,es ESP,DF,it Napoli,30,1985,6,6,461,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
10,Marc Albrighton,eng ENG,MF,eng Leicester City,26,1989,9,8,750,8.3,2,0,2,2,0,0,1,0,0.24,0,0.24,0.24,0.24,Matches
11,Paco Alcácer,es ESP,FW,es Barcelona,22,1993,3,2,176,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
12,Thiago Alcántara,es ESP,MF,de Bayern Munich,25,1991,9,9,786,8.7,2,3,5,2,0,0,1,0,0.23,0.34,0.57,0.23,0.57,Matches
13,Toby Alderweireld,be BEL,DF,eng Tottenham Hotspur,27,1989,3,2,202,2.2,1,0,1,1,0,0,0,0,0.45,0,0.45,0.45,0.45,Matches
14,Mihail Aleksandrov,bg BUL,"MF,FW",pl Legia Warsaw,27,1989,2,0,68,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Allan,br BRA,MF,it Napoli,25,1991,8,5,442,4.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
16,Dele Alli,eng ENG,MF,eng Tottenham Hotspur,20,1996,6,6,532,5.9,1,1,2,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34,Matches
17,André Almeida,pt POR,"DF,MF",pt Benfica,25,1990,4,3,273,3,0,1,1,0,0,0,0,0,0,0.33,0.33,0,0.33,Matches
18,Xabi Alonso,es ESP,MF,de Bayern Munich,34,1981,7,7,589,6.5,0,1,1,0,0,0,2,0,0,0.15,0.15,0,0.15,Matches
19,Éder Álvarez Balanta,co COL,DF,ch Basel,23,1993,6,6,540,6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
20,Dani Alves,br BRA,"MF,DF",it Juventus,33,1983,12,11,"1,001",11.1,3,3,6,3,0,0,1,0,0.27,0.27,0.54,0.27,0.54,Matches
21,Danny Amankwaa,dk DEN,"FW,MF",dk FC Copenhagen,22,1994,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Daniel Amartey,gh GHA,MF,eng Leicester City,21,1994,8,3,290,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
23,André,br BRA,FW,pt Sporting CP,25,1990,3,0,47,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
24,André André,pt POR,MF,pt Porto,26,1989,3,2,171,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
25,Miguel Ángel Moyá,es ESP,GK,es Atlético Madrid,32,1984,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
