Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Manuel Neuer,de GER,GK,de Bayern Munich,37,1986,9,9,810,9,8,0.89,26,20,76.9,4,3,2,4,44.4,2,2,0,0,0,Matches
27,Ørjan Nyland,no NOR,GK,es Sevilla,32,1990,2,2,180,2,4,2,11,8,72.7,0,1,1,0,0,1,1,0,0,0,Matches
28,Jan Oblak,si SVN,GK,es Atlético Madrid,30,1993,10,10,930,10.3,13,1.26,51,37,74.5,6,2,2,2,20,0,0,0,0,,Matches
29,André Onana,cm CMR,GK,eng Manchester Utd,27,1996,6,6,540,6,15,2.5,31,19,58.1,1,1,4,1,16.7,4,2,1,1,33.3,Matches
30,Stefan Ortega,de GER,GK,eng Manchester City,30,1992,3,3,270,3,7,2.33,15,8,53.3,2,1,0,0,0,0,0,0,0,,Matches
31,Iñaki Peña,es ESP,GK,es Barcelona,24,1999,2,2,180,2,4,2,10,6,60,1,0,1,0,0,0,0,0,0,,Matches
32,Nick Pope,eng ENG,GK,eng Newcastle United,31,1992,5,5,450,5,5,1,29,25,86.2,1,2,2,1,20,1,1,0,0,0,Matches
33,Ivan Provedel,it ITA,GK,it Lazio,29,1994,8,8,720,8,10,1.25,31,21,67.7,4,1,3,3,37.5,0,0,0,0,,Matches
34,Anthony Racioppi,ch SUI,GK,ch Young Boys,24,1998,5,5,450,5,11,2.2,40,31,77.5,1,1,3,1,20,2,2,0,0,0,Matches
35,Aaron Ramsdale,eng ENG,GK,eng Arsenal,25,1998,1,1,90,1,1,1,5,4,80,0,1,0,0,0,0,0,0,0,,Matches
36,David Raya,es ESP,GK,eng Arsenal,27,1995,9,9,840,9.3,7,0.75,23,17,73.9,5,1,3,4,44.4,1,1,0,0,0,Matches
37,Álex Remiro,es ESP,GK,es Real Sociedad,28,1995,8,8,720,8,6,0.75,25,19,76,3,3,2,4,50,0,0,0,0,,Matches
38,Dmytro Riznyk,ua UKR,GK,ua Shakhtar Donetsk,24,1999,6,6,540,6,12,2,37,25,67.6,3,0,3,2,33.3,1,0,0,1,,Matches
39,Frederik Rønnow,dk DEN,GK,de Union Berlin,30,1992,6,6,540,6,10,1.67,27,18,63,0,2,4,0,0,1,0,1,0,100,Matches
40,Brice Samba,fr FRA,GK,fr Lens,29,1994,6,6,540,6,11,1.83,32,23,71.9,2,2,2,0,0,2,2,0,0,0,Matches
41,Alexander Schlager,at AUT,GK,at RB Salzburg,27,1996,6,6,540,6,8,1.33,31,25,80.6,1,1,4,2,33.3,2,2,0,0,0,Matches
42,Yann Sommer,ch SUI,GK,it Inter,34,1988,7,7,660,7.3,4,0.55,29,25,86.2,4,2,1,4,57.1,0,0,0,0,,Matches
43,Marco Sportiello,it ITA,GK,it Milan,31,1992,1,0,10,0.1,0,0,1,1,100,0,0,0,1,,0,0,0,0,,Matches
44,Marc-André ter Stegen,de GER,GK,es Barcelona,31,1992,8,8,720,8,10,1.25,30,21,70,5,1,2,2,25,1,1,0,0,0,Matches
45,Anatolii Trubin,ua UKR,GK,pt Benfica,21,2001,6,6,540,6,11,1.83,33,24,72.7,1,1,4,0,0,4,2,0,2,0,Matches
46,Sven Ulreich,de GER,GK,de Bayern Munich,34,1988,3,3,270,3,5,1.67,11,7,63.6,3,0,0,0,0,1,1,0,0,0,Matches
47,Timon Wellenreuther,de GER,GK,nl Feyenoord,27,1995,2,2,180,2,3,1.5,6,3,50,1,0,1,1,50,0,0,0,0,,Matches
