Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
487,Alan Patrick,br BRA,MF,ua Shakhtar Donetsk,28,1991,5.5,1,7,3,42.9,1.28,0.55,0.14,0.33,0,0,Matches
488,Paulinho,br BRA,"FW,MF",de Leverkusen,19,2000,0.4,0,2,0,0,4.74,0,0,,0,0,Matches
489,Gabriel Paulista,br BRA,DF,es Valencia,28,1990,6,0,4,0,0,0.67,0,0,,0,0,Matches
490,Benjamin Pavard,fr FRA,DF,de Bayern Munich,23,1996,7.1,0,7,1,14.3,0.99,0.14,0,0,0,0,Matches
491,Milan Pavkov,rs SRB,FW,rs Red Star,25,1994,2.1,0,4,2,50,1.91,0.96,0,0,0,0,Matches
492,Pedro,es ESP,"FW,MF",eng Chelsea,32,1987,1.1,0,3,0,0,2.73,0,0,,0,0,Matches
493,Carles Pérez,es ESP,FW,es Barcelona,21,1998,0.9,1,4,2,50,4.29,2.14,0.25,0.5,0,0,Matches
494,Dino Perić,hr CRO,DF,hr Dinamo Zagreb,25,1994,5,0,0,0,,0,0,,,0,0,Matches
495,Ivan Perišić,hr CRO,"MF,FW",de Bayern Munich,30,1989,4.7,3,17,8,47.1,3.62,1.7,0.18,0.38,0,0,Matches
496,Bruno Petković,hr CRO,FW,hr Dinamo Zagreb,24,1994,5.1,1,4,3,75,0.78,0.58,0.25,0.33,0,0,Matches
497,Njegoš Petrović,rs SRB,MF,rs Red Star,20,1999,3.4,0,1,0,0,0.3,0,0,,0,0,Matches
498,Jérémy Pied,fr FRA,DF,fr Lille,30,1989,1,0,1,0,0,1,0,0,,0,0,Matches
499,Gerard Piqué,es ESP,DF,es Barcelona,32,1987,7,0,3,2,66.7,0.43,0.29,0,0,0,0,Matches
500,Łukasz Piszczek,pl POL,DF,de Dortmund,34,1985,4,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
501,Pizzi,pt POR,MF,pt Benfica,29,1989,4.5,3,10,6,60,2.24,1.34,0.2,0.33,1,1,Matches
502,Miralem Pjanić,ba BIH,MF,it Juventus,29,1990,7.3,0,9,1,11.1,1.23,0.14,0,0,0,0,Matches
503,Daniel Podence,pt POR,"MF,FW",gr Olympiacos,23,1995,5.1,1,11,7,63.6,2.17,1.38,0.09,0.14,0,0,Matches
504,Matteo Politano,it ITA,"FW,MF",it Napoli,25,1993,0.4,0,2,0,0,4.74,0,0,,0,0,Matches
505,Matteo Politano,it ITA,"FW,MF",it Inter,25,1993,0.7,0,3,0,0,4.15,0,0,,0,0,Matches
506,Marin Pongračić,hr CRO,DF,at RB Salzburg,21,1997,0.5,0,0,0,,0,0,,,0,0,Matches
507,Yussuf Poulsen,dk DEN,"FW,MF",de RB Leipzig,25,1994,6.4,0,10,1,10,1.56,0.16,0,0,0,0,Matches
508,Quincy Promes,nl NED,MF,nl Ajax,27,1992,4.7,4,14,6,42.9,2.98,1.28,0.29,0.67,0,0,Matches
509,Lukáš Provod,cz CZE,"FW,MF",cz Slavia Prague,22,1996,0.2,0,0,0,,0,0,,,0,0,Matches
510,Christian Pulisic,us USA,FW,eng Chelsea,20,1998,3,1,7,2,28.6,2.37,0.68,0.14,0.5,0,0,Matches
511,Andriy Pyatov,ua UKR,GK,ua Shakhtar Donetsk,35,1984,6,0,0,0,,0,0,,,0,0,Matches
