Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Antonio Adán,es ESP,GK,pt Sporting CP,35,1987,5,5,382,4.2,5,1.18,21,17,81,2,1,2,2,40,1,1,0,0,0,Matches
2,Alisson,br BRA,GK,eng Liverpool,29,1992,8,8,720,8,12,1.5,27,16,59.3,5,0,3,3,37.5,2,1,0,1,0,Matches
3,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,27,1994,9,9,810,9,8,0.89,36,28,77.8,4,1,4,3,33.3,0,0,0,0,,Matches
4,Janis Blaswich,de GER,GK,de RB Leipzig,31,1991,6,5,528,5.9,11,1.87,29,20,69,3,1,1,2,40,2,2,0,0,0,Matches
5,Yassine Bounou,ma MAR,GK,es Sevilla,31,1991,4,4,360,4,12,3,26,14,53.8,0,1,3,0,0,0,0,0,0,,Matches
6,Josh Cohen,us USA,GK,il Maccabi Haifa,29,1992,6,6,540,6,21,3.5,43,22,51.2,1,0,5,1,16.7,0,0,0,0,,Matches
7,Diogo Costa,pt POR,GK,pt Porto,22,1999,8,8,720,8,8,1,38,31,81.6,4,1,3,4,50,4,1,0,3,0,Matches
8,Thibaut Courtois,be BEL,GK,es Real Madrid,30,1992,10,10,900,10,11,1.1,53,42,79.2,7,1,2,5,50,1,0,0,1,,Matches
9,Marko Dmitrović,rs SRB,GK,es Sevilla,30,1992,2,2,180,2,0,0,4,4,100,1,1,0,2,100,0,0,0,0,,Matches
10,Gianluigi Donnarumma,it ITA,GK,fr Paris Saint-Germain,23,1999,8,8,720,8,10,1.25,35,26,74.3,4,2,2,0,0,1,1,0,0,0,Matches
11,Ederson,br BRA,GK,eng Manchester City,28,1993,11,11,990,11,4,0.36,31,27,90.3,7,4,0,7,63.6,1,1,0,0,0,Matches
12,Fraser Forster,eng ENG,GK,eng Tottenham Hotspur,34,1988,2,2,180,2,1,0.5,7,6,85.7,0,1,1,1,50,0,0,0,0,,Matches
13,Kamil Grabara,pl POL,GK,dk FC Copenhagen,23,1999,4,4,360,4,9,2.25,32,24,75,0,2,2,1,25,2,1,0,1,0,Matches
14,Ivo Grbić,hr CRO,GK,es Atlético Madrid,26,1996,1,1,90,1,2,2,5,3,60,0,0,1,0,0,0,0,0,0,,Matches
15,Péter Gulácsi,hu HUN,GK,de RB Leipzig,32,1990,3,3,192,2.1,6,2.81,8,2,25,1,0,2,0,0,0,0,0,0,,Matches
16,Joe Hart,eng ENG,GK,sct Celtic,35,1987,6,6,540,6,15,2.5,29,16,55.2,0,2,4,0,0,2,2,0,0,0,Matches
17,Lukáš Hrádecký,fi FIN,GK,de Leverkusen,32,1989,6,6,540,6,8,1.33,21,16,71.4,1,2,3,2,33.3,3,2,1,0,33.3,Matches
18,Franco Israel,uy URU,GK,pt Sporting CP,22,2000,2,1,155,1.7,4,2.32,7,4,57.1,0,0,1,0,0,1,1,0,0,0,Matches
19,Gregor Kobel,ch SUI,GK,de Dortmund,24,1997,4,4,315,3.5,2,0.57,17,16,88.2,1,3,0,2,50,1,0,1,0,100,Matches
20,Philipp Köhn,ch SUI,GK,at RB Salzburg,24,1998,6,6,540,6,9,1.5,30,21,70,1,3,2,1,16.7,0,0,0,0,,Matches
21,Dominik Livaković,hr CRO,GK,hr Dinamo Zagreb,27,1995,6,6,540,6,11,1.83,33,25,75.8,1,1,4,1,16.7,3,3,0,0,0,Matches
22,Hugo Lloris,fr FRA,GK,eng Tottenham Hotspur,35,1986,6,6,540,6,6,1,23,17,73.9,3,2,1,2,33.3,0,0,0,0,,Matches
23,Pau López,es ESP,GK,fr Marseille,27,1994,6,6,540,6,8,1.33,20,12,60,2,0,4,1,16.7,0,0,0,0,,Matches
24,Andriy Lunin,ua UKR,GK,es Real Madrid,23,1999,2,2,180,2,2,1,5,3,60,1,1,0,0,0,0,0,0,0,,Matches
25,Mike Maignan,fr FRA,GK,it Milan,27,1995,7,7,630,7,6,0.86,28,21,78.6,2,3,2,2,28.6,1,0,0,1,,Matches
