Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Vincent Aboubakar,cm CMR,FW,pt Porto,25,1992,6,6,495,5.5,5,2,7,5,0,0,0,0,0.91,0.36,1.27,0.91,1.27,Matches
2,Marcos Acuña,ar ARG,"MF,DF",pt Sporting CP,25,1991,5,5,433,4.8,0,1,1,0,0,0,2,0,0,0.21,0.21,0,0.21,Matches
3,Tosin Adarabioyo,eng ENG,DF,eng Manchester City,19,1997,2,1,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Adriano,br BRA,DF,tr Beşiktaş,32,1984,6,5,486,5.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
5,Luiz Adriano,br BRA,"FW,MF",ru Spartak Moscow,30,1987,6,6,540,6,1,0,1,1,0,0,1,0,0.17,0,0.17,0.17,0.17,Matches
6,Ansi Agolli,al ALB,DF,az Qarabağ,34,1982,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Sergio Agüero,ar ARG,FW,eng Manchester City,29,1988,7,5,440,4.9,4,1,5,3,1,2,0,0,0.82,0.2,1.02,0.61,0.82,Matches
8,Karim El Ahmadi,ma MAR,MF,nl Feyenoord,32,1985,4,4,360,4,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
9,Valon Ahmedi,al ALB,MF,si NK Maribor,22,1994,4,3,226,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
10,Albian Ajeti,ch SUI,FW,ch Basel,20,1997,3,1,98,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
11,Manuel Akanji,ch SUI,DF,ch Basel,22,1995,6,6,540,6,0,1,1,0,0,0,2,0,0,0.17,0.17,0,0.17,Matches
12,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,31,1986,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,David Alaba,at AUT,DF,de Bayern Munich,25,1992,7,7,625,6.9,0,2,2,0,0,0,0,0,0,0.29,0.29,0,0.29,Matches
14,Jordi Alba,es ESP,DF,es Barcelona,28,1989,8,7,638,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Raúl Albiol,es ESP,DF,it Napoli,31,1985,5,5,450,5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
16,Paco Alcácer,es ESP,FW,es Barcelona,23,1993,2,1,95,1.1,1,0,1,1,0,0,0,0,0.95,0,0.95,0.95,0.95,Matches
17,Thiago Alcántara,es ESP,"MF,FW",de Bayern Munich,26,1991,10,7,607,6.7,3,0,3,3,0,0,2,0,0.44,0,0.44,0.44,0.44,Matches
18,Toby Alderweireld,be BEL,DF,eng Tottenham Hotspur,28,1989,4,4,294,3.3,0,1,1,0,0,0,0,0,0,0.31,0.31,0,0.31,Matches
19,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,18,1998,10,9,820,9.1,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches
20,Nektarios Alexandrou,cy CYP,DF,cy APOEL FC,33,1983,2,1,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
