Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Vincent Aboubakar,cm CMR,FW,pt Porto,25,1992,5.5,0,0,0,9,8,4,0,0,0,0,0,0,Matches
2,Marcos Acuña,ar ARG,"MF,DF",pt Sporting CP,25,1991,4.8,2,0,0,11,20,2,41,8,9,0,0,0,Matches
3,Tosin Adarabioyo,eng ENG,DF,eng Manchester City,19,1997,1,0,0,0,0,2,0,0,2,0,0,0,0,Matches
4,Adriano,br BRA,DF,tr Beşiktaş,32,1984,5.4,1,0,0,8,5,0,8,11,14,0,0,0,Matches
5,Luiz Adriano,br BRA,"FW,MF",ru Spartak Moscow,30,1987,6,1,0,0,9,13,2,4,1,5,0,0,0,Matches
6,Ansi Agolli,al ALB,DF,az Qarabağ,34,1982,4,0,0,0,3,7,0,17,10,8,0,0,0,Matches
7,Sergio Agüero,ar ARG,FW,eng Manchester City,29,1988,4.9,0,0,0,1,2,5,2,3,4,0,0,0,Matches
8,Karim El Ahmadi,ma MAR,MF,nl Feyenoord,32,1985,4,3,0,0,14,2,1,1,5,8,0,0,0,Matches
9,Valon Ahmedi,al ALB,MF,si NK Maribor,22,1994,2.5,0,0,0,2,11,2,20,2,5,0,0,0,Matches
10,Albian Ajeti,ch SUI,FW,ch Basel,20,1997,1.1,0,0,0,3,1,4,0,0,0,0,0,0,Matches
11,Manuel Akanji,ch SUI,DF,ch Basel,22,1995,6,2,0,0,9,6,0,2,12,6,0,0,0,Matches
12,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,31,1986,6,0,0,0,0,1,0,0,2,0,0,0,0,Matches
13,David Alaba,at AUT,DF,de Bayern Munich,25,1992,6.9,0,0,0,8,4,0,33,6,5,0,0,0,Matches
14,Jordi Alba,es ESP,DF,es Barcelona,28,1989,7.1,0,0,0,6,5,3,7,10,8,0,0,0,Matches
15,Raúl Albiol,es ESP,DF,it Napoli,31,1985,5,1,0,0,2,6,0,1,9,9,2,0,0,Matches
