Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Vincent Aboubakar,cm CMR,FW,pt Porto,26,1992,0.7,0,3,1,33.3,4.58,1.53,0,0,0,0,Matches
2,Michel Aebischer,ch SUI,MF,ch Young Boys,21,1997,2.5,0,2,0,0,0.79,0,0,,0,0,Matches
3,Sergio Agüero,ar ARG,FW,eng Manchester City,30,1988,5.6,6,30,16,53.3,5.33,2.84,0.17,0.31,1,2,Matches
4,Jean-Eudes Aholou,ci CIV,MF,fr Monaco,24,1994,2,0,2,1,50,1.02,0.51,0,0,0,0,Matches
5,Youssef Aït Bennasser,ma MAR,MF,fr Monaco,22,1996,2.7,0,1,1,100,0.36,0.36,0,0,0,0,Matches
6,Manuel Akanji,ch SUI,DF,de Dortmund,23,1995,5,0,2,0,0,0.4,0,0,,0,0,Matches
7,Emre Akbaba,tr TUR,FW,tr Galatasaray,25,1992,1,0,4,1,25,4,1,0,0,0,0,Matches
8,Yunus Akgün,tr TUR,MF,tr Galatasaray,18,2000,0.1,0,0,0,,0,0,,,0,0,Matches
9,Ilzat Akhmetov,ru RUS,MF,ru CSKA Moscow,20,1997,3.3,0,3,1,33.3,0.9,0.3,0,0,0,0,Matches
10,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5,0,0,0,,0,0,,,0,0,Matches
11,Kevin Akpoguma,ng NGA,DF,de Hoffenheim,23,1995,2,0,1,0,0,0.5,0,0,,0,0,Matches
12,David Alaba,at AUT,DF,de Bayern Munich,26,1992,7,0,4,2,50,0.57,0.29,0,0,0,0,Matches
13,Jordi Alba,es ESP,DF,es Barcelona,29,1989,11,1,6,3,50,0.55,0.27,0.17,0.33,0,0,Matches
14,Raúl Albiol,es ESP,DF,it Napoli,32,1985,5.5,0,1,1,100,0.18,0.18,0,0,0,0,Matches
15,Paco Alcácer,es ESP,FW,de Dortmund,24,1993,4,1,8,4,50,2.02,1.01,0.13,0.25,0,1,Matches
16,Thiago Alcántara,es ESP,MF,de Bayern Munich,27,1991,4.3,0,4,0,0,0.93,0,0,,0,0,Matches
17,Toby Alderweireld,be BEL,DF,eng Tottenham Hotspur,29,1989,12,0,9,3,33.3,0.75,0.25,0,0,0,0,Matches
18,Alef,br BRA,MF,gr AEK Athens,23,1995,2.2,0,2,0,0,0.9,0,0,,0,0,Matches
19,Carles Aleñá,es ESP,MF,es Barcelona,20,1998,1,0,2,0,0,1.96,0,0,,0,0,Matches
20,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,19,1998,10.2,0,12,1,8.3,1.18,0.1,0,0,0,0,Matches
21,Alisson,br BRA,GK,eng Liverpool,25,1992,13,0,0,0,,0,0,,,0,0,Matches
22,Allan,br BRA,MF,it Napoli,27,1991,5.7,0,5,2,40,0.88,0.35,0,0,0,0,Matches
23,Dele Alli,eng ENG,MF,eng Tottenham Hotspur,22,1996,7.9,0,17,6,35.3,2.16,0.76,0,0,0,0,Matches
24,André Almeida,pt POR,DF,pt Benfica,27,1990,6,0,2,0,0,0.33,0,0,,0,0,Matches
25,Dani Alves,br BRA,"MF,FW",fr Paris Saint-Germain,35,1983,2.3,0,5,0,0,2.2,0,0,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,20,1997,3.9,0,4,1,25,1.04,0.26,0,0,0,0,Matches
27,Nadiem Amiri,de GER,MF,de Hoffenheim,21,1996,0.3,0,1,0,0,3.21,0,0,,0,0,Matches
28,Sofyan Amrabat,ma MAR,MF,be Club Brugge,21,1996,2,0,1,0,0,0.5,0,0,,0,0,Matches
29,Angeliño,es ESP,DF,nl PSV,21,1997,6,0,4,1,25,0.67,0.17,0,0,0,0,Matches
30,Houssem Aouar,dz ALG,MF,fr Lyon,20,1998,7,0,15,3,20,2.14,0.43,0,0,0,0,Matches
31,Alphonse Areola,fr FRA,GK,fr Paris Saint-Germain,25,1993,3,0,0,0,,0,0,,,0,0,Matches
32,Santiago Arias,co COL,DF,es Atlético Madrid,26,1992,3.8,0,1,1,100,0.26,0.26,0,0,0,0,Matches
33,Kwadwo Asamoah,gh GHA,DF,it Inter,29,1988,5.8,0,4,2,50,0.69,0.35,0,0,0,0,Matches
34,Marco Asensio,es ESP,FW,es Real Madrid,22,1996,3.4,2,20,8,40,5.88,2.35,0.1,0.25,0,0,Matches
35,Roger Assalé,ci CIV,"FW,MF",ch Young Boys,24,1993,4.2,1,8,1,12.5,1.89,0.24,0.13,1,0,0,Matches
36,Serge Aurier,ci CIV,"DF,MF",eng Tottenham Hotspur,25,1992,4.8,0,2,0,0,0.41,0,0,,0,0,Matches
37,Chidozie Awaziem,ng NGA,"DF,MF",pt Porto,21,1997,0.1,0,0,0,,0,0,,,0,0,Matches
38,Serdar Aziz,tr TUR,DF,tr Galatasaray,27,1990,4,0,1,1,100,0.25,0.25,0,0,0,0,Matches
39,Srđan Babić,rs SRB,DF,rs Red Star,22,1996,2.5,0,1,0,0,0.4,0,0,,0,0,Matches
40,Benoît Badiashile,fr FRA,DF,fr Monaco,17,2001,2,0,1,0,0,0.5,0,0,,0,0,Matches
41,Loic Badiashile,fr FRA,GK,fr Monaco,20,1998,1,0,0,0,,0,0,,,0,0,Matches
42,Eric Bailly,ci CIV,DF,eng Manchester Utd,24,1994,3.4,0,2,0,0,0.59,0,0,,0,0,Matches
43,Michalis Bakakis,gr GRE,"DF,MF",gr AEK Athens,27,1991,5.8,0,1,0,0,0.17,0,0,,0,0,Matches
44,Anastasios Bakasetas,gr GRE,MF,gr AEK Athens,25,1993,2,0,4,1,25,2,0.5,0,0,0,0,Matches
45,Keita Baldé,sn SEN,"FW,MF",it Inter,23,1995,0.8,0,3,3,100,3.55,3.55,0,0,0,0,Matches
46,Gareth Bale,wls WAL,FW,es Real Madrid,29,1989,5.4,3,24,13,54.2,4.44,2.41,0.13,0.23,0,0,Matches
47,David von Ballmoos,ch SUI,GK,ch Young Boys,23,1994,4,0,0,0,,0,0,,,0,0,Matches
48,Dmitri Barinov,ru RUS,MF,ru Loko Moscow,21,1996,3.2,0,6,2,33.3,1.9,0.63,0,0,0,0,Matches
49,Vasilios Barkas,gr GRE,GK,gr AEK Athens,24,1994,6,0,0,0,,0,0,,,0,0,Matches
50,Antonio Barreca,it ITA,DF,fr Monaco,23,1995,1,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
51,Andrea Barzagli,it ITA,DF,it Juventus,37,1981,1.2,0,0,0,,0,0,,,0,0,Matches
52,Michy Batshuayi,be BEL,FW,es Valencia,24,1993,3.8,1,13,3,23.1,3.39,0.78,0.08,0.33,0,0,Matches
53,Oliver Baumann,de GER,GK,de Hoffenheim,28,1990,6,0,0,0,,0,0,,,0,0,Matches
54,Ömer Bayram,tr TUR,"DF,FW",tr Galatasaray,27,1991,0.6,0,0,0,,0,0,,,0,0,Matches
55,Riechedly Bazoer,cw CUW,"DF,MF",pt Porto,21,1996,0.1,0,2,0,0,22.5,0,0,,0,0,Matches
56,Rodrigo Becão,br BRA,DF,ru CSKA Moscow,22,1996,6,0,2,0,0,0.33,0,0,,0,0,Matches
57,Donny van de Beek,nl NED,MF,nl Ajax,21,1997,10.9,3,21,11,52.4,1.93,1.01,0.14,0.27,0,0,Matches
58,Ishak Belfodil,dz ALG,"MF,FW",de Hoffenheim,26,1992,3.8,1,9,5,55.6,2.34,1.3,0.11,0.2,0,0,Matches
59,Younès Belhanda,ma MAR,MF,tr Galatasaray,28,1990,3.6,0,4,1,25,1.11,0.28,0,0,0,0,Matches
60,Diego Benaglio,ch SUI,GK,fr Monaco,34,1983,4.5,0,0,0,,0,0,,,0,0,Matches
61,Medhi Benatia,ma MAR,DF,it Juventus,31,1987,1,0,0,0,,0,0,,,0,0,Matches
62,Loris Benito,ch SUI,DF,ch Young Boys,26,1992,6,0,1,0,0,0.17,0,0,,0,0,Matches
63,Nabil Bentaleb,dz ALG,MF,de Schalke 04,23,1994,4.7,3,5,3,60,1.06,0.64,0,0,3,3,Matches
64,Rodrigo Bentancur,uy URU,MF,it Juventus,21,1997,6.1,0,5,0,0,0.82,0,0,,0,0,Matches
