Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Patrick van Aanholt,nl NED,"DF,MF",Crystal Palace,eng Premier League,26,1990,24.3,7,0,0,18,10,3,57,54,33,0,0,0,Matches
2,Rolando Aarons,eng ENG,"MF,FW",Hellas Verona,it Serie A,21,1995,5.7,0,0,0,8,11,0,11,1,7,0,0,0,Matches
3,Rolando Aarons,eng ENG,MF,Newcastle United,eng Premier League,21,1995,1.5,0,0,0,1,3,1,2,1,4,0,0,0,Matches
4,Ignazio Abate,it ITA,"DF,MF",Milan,it Serie A,30,1986,11.7,3,0,0,11,8,3,32,9,18,0,0,0,Matches
5,Aymen Abdennour,tn TUN,DF,Marseille,fr Ligue 1,27,1989,5.5,3,0,0,9,6,0,0,3,4,0,0,0,Matches
6,Aly Abeid,mr MTN,DF,Levante,es La Liga,19,1997,0.9,0,0,0,1,0,0,2,3,1,0,0,0,Matches
7,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,24,1992,13.1,2,0,0,29,17,2,7,17,14,0,0,0,Matches
8,David Abraham,ar ARG,DF,Eintracht Frankfurt,de Bundesliga,31,1986,25.6,3,0,0,11,20,0,8,55,30,0,0,1,Matches
9,Tammy Abraham,eng ENG,FW,Swansea City,eng Premier League,19,1997,19.2,0,0,0,15,27,9,13,1,9,0,0,0,Matches
10,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,27,1990,9.4,2,0,0,20,27,0,5,22,28,0,0,0,Matches
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,29,1988,38,4,0,0,29,31,0,11,91,35,0,1,1,Matches
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,25,1992,10.6,5,1,1,13,14,0,12,19,7,0,0,0,Matches
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,31,1985,4.6,2,1,0,8,8,0,30,8,5,0,0,0,Matches
14,Antonio Adán,es ESP,GK,Real Betis,es La Liga,30,1987,30,4,0,0,1,4,0,0,0,0,0,0,0,Matches
15,Aday,es ESP,"MF,DF",Girona,es La Liga,29,1987,20.4,10,0,0,39,15,6,135,26,16,0,0,1,Matches
16,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,32,1985,32.5,9,0,0,49,40,1,0,73,27,0,1,0,Matches
17,Claud Adjapong,it ITA,MF,Sassuolo,it Serie A,19,1998,13.6,5,1,0,22,19,2,30,25,23,0,0,0,Matches
18,René Adler,de GER,GK,Mainz 05,de Bundesliga,32,1985,14,0,0,0,1,3,0,0,0,3,0,1,0,Matches
19,Yacine Adli,fr FRA,MF,Paris Saint-Germain,fr Ligue 1,17,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Ali Adnan Kadhim,iq IRQ,"MF,DF",Udinese,it Serie A,23,1993,18.6,4,0,0,20,22,1,86,42,33,0,0,1,Matches
21,Adrián,es ESP,GK,West Ham United,eng Premier League,30,1987,19,2,0,0,0,3,0,0,1,0,0,0,0,Matches
22,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,36,1981,23.9,5,0,0,41,40,35,20,3,8,0,0,0,Matches
23,Ibrahim Afellay,nl NED,MF,Stoke City,eng Premier League,31,1986,1.8,1,0,0,1,0,0,0,1,3,0,0,0,Matches
24,Benik Afobe,cd COD,FW,Bournemouth,eng Premier League,24,1993,6.8,0,0,0,9,13,4,2,1,4,1,0,0,Matches
25,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,21,1996,20.3,4,0,0,20,18,0,51,39,34,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Imanol Agirretxe,es ESP,FW,Real Sociedad,es La Liga,30,1987,2.6,0,0,0,1,4,1,1,0,0,1,0,0,Matches
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,29,1988,21.8,2,0,0,10,17,16,16,8,7,0,0,0,Matches
28,Ruben Aguilar,fr FRA,"MF,DF",Montpellier,fr Ligue 1,24,1993,27.3,2,0,0,29,49,3,95,38,49,0,0,0,Matches
