Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
45,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28,1996,4.9,3,0,0,5,8,0,12,4,2,,,0,Matches
46,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,21,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
47,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28,1996,19.6,5,0,0,11,19,0,2,12,26,,,0,Matches
48,Ruben Aguilar,fr FRA,"MF,DF",Lens,fr Ligue 1,31,1993,12.5,4,0,0,14,15,5,46,12,19,,,0,Matches
49,Naouirou Ahamada,fr FRA,MF,Rennes,fr Ligue 1,22,2002,0.6,0,0,0,1,0,0,1,3,0,,,0,Matches
50,Honest Ahanor,it ITA,"MF,DF",Genoa,it Serie A,16,2008,3,0,0,0,2,8,0,4,1,4,,,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
51,Erik Ahlstrand,se SWE,MF,St Pauli,de Bundesliga,22,2001,0.5,0,0,0,0,0,1,0,1,0,,,0,Matches
52,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30,1994,21.8,7,0,0,50,25,1,2,34,36,,,0,Matches
53,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,28,1995,6.5,0,0,0,4,2,0,0,6,5,,,0,Matches
54,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,28,1995,0,0,0,0,0,0,0,0,0,0,,,0,Matches
55,Ayman Aiki,fr FRA,MF,Saint-Étienne,fr Ligue 1,19,2005,1.4,0,0,0,4,1,0,1,1,3,,,0,Matches
56,Ola Aina,ng NGA,DF,Nottingham Forest,eng Premier League,27,1996,33.3,5,0,0,23,35,2,59,31,41,,,0,Matches
57,Rayan Aït-Nouri,dz ALG,"MF,DF",Wolves,eng Premier League,23,2001,34.5,7,1,1,30,46,6,94,24,55,,,0,Matches
58,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,19,2004,0.1,0,0,0,1,1,0,0,0,0,,,0,Matches
59,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26,1998,16,5,0,0,13,6,2,14,11,19,,,0,Matches
60,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30,1994,27.7,5,0,0,61,26,11,7,5,18,,,0,Matches
