Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Patrick van Aanholt,nl NED,"DF,MF",Crystal Palace,eng Premier League,25,1990,7.9,1,0,0,3,2,0,22,14,5,0,0,0,Matches
2,Patrick van Aanholt,nl NED,"DF,MF",Sunderland,eng Premier League,25,1990,19.8,2,0,0,11,15,6,56,46,28,0,1,0,Matches
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,29,1986,21.4,2,0,0,22,9,2,52,33,45,0,2,0,Matches
4,Yunis Abdelhamid,ma MAR,DF,Dijon,fr Ligue 1,28,1987,14.6,3,0,0,21,8,1,1,42,36,0,1,0,Matches
5,Aymen Abdennour,tn TUN,DF,Valencia,es La Liga,26,1989,9.8,4,0,0,16,4,0,2,34,11,0,2,0,Matches
6,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,23,1992,26.4,8,0,0,56,41,0,56,46,67,0,0,0,Matches
7,David Abraham,ar ARG,DF,Eintracht Frankfurt,de Bundesliga,30,1986,28.7,5,1,0,25,28,1,3,90,32,0,0,0,Matches
8,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,26,1990,14.7,3,0,0,34,28,0,2,33,26,0,0,0,Matches
9,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,28,1988,38,2,0,0,15,39,3,6,103,47,0,1,0,Matches
10,Geoffrey Acheampong,gh GHA,MF,Bastia,fr Ligue 1,19,1997,0.1,0,0,0,1,0,1,0,0,1,0,0,0,Matches
11,Maxwell Acosty,gh GHA,"MF,FW",Crotone,it Serie A,24,1991,4.2,2,0,0,10,9,1,3,5,3,0,0,0,Matches
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,24,1992,12,8,3,3,24,16,1,10,25,14,0,0,0,Matches
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,30,1985,16.6,7,0,0,41,26,0,86,24,17,0,0,0,Matches
14,Antonio Adán,es ESP,GK,Real Betis,es La Liga,29,1987,37,5,0,0,1,3,0,0,5,1,0,1,0,Matches
15,Jordan Adéoti,bj BEN,DF,Caen,fr Ligue 1,27,1989,23.6,3,0,0,27,22,0,12,54,37,0,2,0,Matches
