Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
88,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,37,1985,1,1,90,1,2,2,3,1,33.3,0,1,0,0,0,0,0,0,0,,Matches
89,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,32,1991,30,30,"2,700",30,37,1.23,134,102,75.4,9,11,10,10,33.3,5,4,1,0,20,Matches
90,Jeremías Ledesma,ar ARG,GK,Cádiz,es La Liga,30,1993,34,34,"3,048",33.9,47,1.39,150,105,70,6,12,16,7,20.6,2,2,0,0,0,Matches
91,Bernd Leno,de GER,GK,Fulham,eng Premier League,31,1992,38,38,"3,420",38,61,1.61,187,134,71.7,13,8,17,10,26.3,8,8,0,0,0,Matches
92,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,32,1990,31,31,"2,790",31,49,1.58,154,109,70.8,16,4,11,8,25.8,6,4,1,1,20,Matches
93,Pau López,es ESP,GK,Marseille,fr Ligue 1,28,1994,33,33,"2,939",32.7,39,1.19,125,88,71.2,13,11,9,7,21.2,3,3,0,0,0,Matches
94,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,24,1999,21,21,"1,890",21,17,0.81,64,48,75,16,5,0,4,19,1,1,0,0,0,Matches
95,Andreas Luthe,de GER,GK,Bochum,de Bundesliga,36,1987,1,1,90,1,4,4,5,1,20,0,0,1,0,0,0,0,0,0,,Matches
96,Mike Maignan,fr FRA,GK,Milan,it Serie A,28,1995,29,29,"2,609",29,34,1.17,114,87,76.3,19,5,5,11,37.9,7,7,0,0,0,Matches
97,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,23,1999,12,12,"1,080",12,10,0.83,57,46,82.5,9,2,1,5,41.7,0,0,0,0,,Matches
98,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,22,2000,37,37,"3,284",36.5,41,1.12,140,104,72.9,13,10,14,9,24.3,6,3,3,0,50,Matches
99,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,38,1985,34,34,"3,060",34,46,1.35,148,105,70.9,12,10,12,7,20.6,3,3,0,0,0,Matches
100,Christos Mandas,gr GRE,GK,Lazio,it Serie A,21,2001,9,8,721,8,6,0.75,29,23,79.3,6,1,1,2,25,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
101,Vito Mannone,it ITA,GK,Lille,fr Ligue 1,35,1988,2,1,91,1,2,1.98,5,3,60,0,1,0,0,0,0,0,0,0,,Matches
102,Diego Mariño,es ESP,GK,Almería,es La Liga,33,1990,1,1,90,1,2,2,2,2,100,0,0,1,0,0,2,2,0,0,0,Matches
103,Unai Marrero,es ESP,GK,Real Sociedad,es La Liga,21,2001,2,1,142,1.6,3,1.9,5,3,60,0,0,1,0,0,1,1,0,0,0,Matches
