Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Patrick van Aanholt,nl NED,"DF,MF",Crystal Palace,eng Premier League,25,1990,11,8,714,7.9,2,0,2,2,0,0,1,0,0.25,0,0.25,0.25,0.25,Matches
2,Patrick van Aanholt,nl NED,"DF,MF",Sunderland,eng Premier League,25,1990,21,20,"1,784",19.8,3,1,4,3,0,0,2,0,0.15,0.05,0.2,0.15,0.2,Matches
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,29,1986,23,22,"1,924",21.4,0,2,2,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches
4,Yunis Abdelhamid,ma MAR,DF,Dijon,fr Ligue 1,28,1987,18,15,"1,314",14.6,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
5,Aymen Abdennour,tn TUN,DF,Valencia,es La Liga,26,1989,13,9,879,9.8,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
6,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,23,1992,28,27,"2,374",26.4,3,2,5,3,0,0,8,0,0.11,0.08,0.19,0.11,0.19,Matches
7,David Abraham,ar ARG,DF,Eintracht Frankfurt,de Bundesliga,30,1986,30,30,"2,584",28.7,1,1,2,1,0,0,5,1,0.03,0.03,0.07,0.03,0.07,Matches
8,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,26,1990,20,16,"1,320",14.7,1,0,1,1,0,0,3,0,0.07,0,0.07,0.07,0.07,Matches
9,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,28,1988,38,38,"3,420",38,4,0,4,3,1,1,2,0,0.11,0,0.11,0.08,0.08,Matches
10,Geoffrey Acheampong,gh GHA,MF,Bastia,fr Ligue 1,19,1997,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
11,Maxwell Acosty,gh GHA,"MF,FW",Crotone,it Serie A,24,1991,11,3,378,4.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,24,1992,20,13,"1,077",12,2,0,2,2,0,0,8,3,0.17,0,0.17,0.17,0.17,Matches
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,30,1985,24,17,"1,491",16.6,1,3,4,0,1,1,7,0,0.06,0.18,0.24,0,0.18,Matches
14,Antonio Adán,es ESP,GK,Real Betis,es La Liga,29,1987,37,37,"3,330",37,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
15,Jordan Adéoti,bj BEN,DF,Caen,fr Ligue 1,27,1989,27,23,"2,120",23.6,0,1,1,0,0,0,3,0,0,0.04,0.04,0,0.04,Matches
16,Claud Adjapong,it ITA,"DF,FW",Sassuolo,it Serie A,18,1998,9,6,510,5.7,1,0,1,1,0,0,3,0,0.18,0,0.18,0.18,0.18,Matches
17,René Adler,de GER,GK,Hamburger SV,de Bundesliga,31,1985,19,19,"1,710",19,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
18,Ali Adnan Kadhim,iq IRQ,"DF,MF",Udinese,it Serie A,22,1993,14,8,872,9.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
19,Albert Adomah,gh GHA,MF,Middlesbrough,eng Premier League,28,1987,2,1,122,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Adrián,es ESP,GK,West Ham United,eng Premier League,29,1987,16,16,"1,440",16,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
21,Luiz Adriano,br BRA,FW,Milan,it Serie A,29,1987,7,1,127,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,35,1981,32,27,"2,458",27.3,16,1,17,11,5,5,8,1,0.59,0.04,0.62,0.4,0.44,Matches
23,Ibrahim Afellay,nl NED,MF,Stoke City,eng Premier League,30,1986,12,3,384,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Akram Afif,qa QAT,MF,Sporting Gijón,es La Liga,19,1996,9,2,234,2.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
25,Benik Afobe,cd COD,FW,Bournemouth,eng Premier League,23,1993,31,14,"1,461",16.2,6,3,9,6,0,1,1,0,0.37,0.18,0.55,0.37,0.55,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,28,1988,31,25,"2,403",26.7,20,4,24,16,4,5,4,1,0.75,0.15,0.9,0.6,0.75,Matches
27,Dan Agyei,gh GHA,"FW,MF",Burnley,eng Premier League,19,1997,3,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
