Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,29,29,"2,507",27.9,3,2,5,2,1,1,0,0,0.11,0.07,0.18,0.07,0.14,Matches
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,36,"3,240",36,0,1,1,0,0,0,7,0,0,0.03,0.03,0,0.03,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,28,"2,520",28,3,0,3,3,0,0,0,0,0.11,0,0.11,0.11,0.11,Matches
4,Suleiman Abdullahi,ng NGA,MF,Union Berlin,de Bundesliga,22,1996,6,1,157,1.7,1,0,1,1,0,0,1,0,0.57,0,0.57,0.57,0.57,Matches
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,25,20,"1,817",20.2,1,2,3,1,0,0,5,0,0.05,0.1,0.15,0.05,0.15,Matches
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,15,6,623,6.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
7,David Abraham,ar ARG,DF,Eintracht Frankfurt,de Bundesliga,33,1986,20,19,"1,688",18.8,2,0,2,2,0,0,2,1,0.11,0,0.11,0.11,0.11,Matches
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,34,25,"2,215",24.6,15,3,18,15,0,0,2,0,0.61,0.12,0.73,0.61,0.73,Matches
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,13,8,663,7.4,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,36,36,"3,162",35.1,2,2,4,2,0,0,4,0,0.06,0.06,0.11,0.06,0.11,Matches
11,Che Adams,sct SCO,FW,Southampton,eng Premier League,23,1996,30,12,"1,111",12.3,4,2,6,4,0,0,0,0,0.32,0.16,0.49,0.32,0.49,Matches
12,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,20,1999,14,10,953,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Sargis Adamyan,am ARM,"MF,FW",Hoffenheim,de Bundesliga,26,1993,15,6,746,8.3,5,1,6,5,0,0,1,0,0.6,0.12,0.72,0.6,0.72,Matches
14,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Bobby Adekanye,nl NED,"FW,MF",Lazio,it Serie A,20,1999,11,0,188,2.1,1,0,1,1,0,0,1,0,0.48,0,0.48,0.48,0.48,Matches
16,Claud Adjapong,it ITA,MF,Hellas Verona,it Serie A,21,1998,5,2,231,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
17,Amine Adli,ma MAR,"FW,MF",Toulouse,fr Ligue 1,19,2000,4,0,46,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
18,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,19,2000,21,11,"1,020",11.3,3,3,6,3,0,0,3,0,0.26,0.26,0.53,0.26,0.53,Matches
19,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,11,9,875,9.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
20,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,14,0,208,2.3,1,0,1,1,0,1,3,0,0.43,0,0.43,0.43,0.43,Matches
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,23,20,"1,805",20.1,1,0,1,1,0,0,5,1,0.05,0,0.05,0.05,0.05,Matches
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,31,23,"2,099",23.3,1,1,2,1,0,0,5,1,0.04,0.04,0.09,0.04,0.09,Matches
23,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,3,0,68,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
24,Kevin Agudelo,co COL,MF,Fiorentina,it Serie A,20,1998,3,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
25,Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,10,7,666,7.4,1,1,2,1,0,0,5,1,0.14,0.14,0.27,0.14,0.27,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,11,11,957,10.6,1,0,1,1,0,0,2,0,0.09,0,0.09,0.09,0.09,Matches
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,24,18,"1,452",16.1,16,3,19,14,2,3,1,0,0.99,0.19,1.18,0.87,1.05,Matches
28,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,26,1993,19,11,"1,072",11.9,0,2,2,0,0,0,2,2,0,0.17,0.17,0,0.17,Matches
29,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,it Serie A,28,1990,10,2,230,2.6,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,11,8,630,7,1,1,2,1,0,0,3,1,0.14,0.14,0.29,0.14,0.29,Matches
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,32,27,"2,502",27.8,0,1,1,0,0,0,4,0,0,0.04,0.04,0,0.04,Matches
32,Ola Aina,ng NGA,MF,Torino,it Serie A,22,1996,32,20,"2,079",23.1,0,2,2,0,0,0,8,0,0,0.09,0.09,0,0.09,Matches
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,12,6,536,6,0,1,1,0,0,0,1,0,0,0.17,0.17,0,0.17,Matches
34,Rayan Aït-Nouri,dz ALG,DF,Angers,fr Ligue 1,18,2001,17,16,"1,282",14.2,0,2,2,0,0,0,3,0,0,0.14,0.14,0,0.14,Matches
35,Albian Ajeti,ch SUI,FW,West Ham United,eng Premier League,22,1997,9,0,139,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
36,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,25,1994,26,24,"2,058",22.9,8,4,12,7,1,1,3,0,0.35,0.17,0.52,0.31,0.48,Matches
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,29,25,"2,309",25.7,0,1,1,0,0,0,2,0,0,0.04,0.04,0,0.04,Matches
38,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,9,0,99,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,29,29,"2,503",27.8,2,2,4,2,0,0,2,0,0.07,0.07,0.14,0.07,0.14,Matches
40,Chadrac Akolo,cd COD,MF,Amiens,fr Ligue 1,24,1995,15,5,544,6,2,1,3,2,0,0,1,0,0.33,0.17,0.5,0.33,0.5,Matches
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,18,12,"1,142",12.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,28,27,"2,498",27.8,1,1,2,1,0,0,0,0,0.04,0.04,0.07,0.04,0.07,Matches
43,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,17,17,"1,400",15.6,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,24,11,"1,174",13,7,1,8,6,1,1,6,0,0.54,0.08,0.61,0.46,0.54,Matches
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,27,25,"2,187",24.3,2,5,7,2,0,0,7,0,0.08,0.21,0.29,0.08,0.29,Matches
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,36,36,"3,113",34.6,6,15,21,5,1,1,5,0,0.17,0.43,0.61,0.14,0.58,Matches
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,36,"3,237",36,1,0,1,1,0,0,9,0,0.03,0,0.03,0.03,0.03,Matches
48,Marc Albrighton,eng ENG,MF,Leicester City,eng Premier League,29,1989,20,9,867,9.6,0,3,3,0,0,0,2,0,0,0.31,0.31,0,0.31,Matches
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,13,11,924,10.3,4,1,5,4,0,0,1,0,0.39,0.1,0.49,0.39,0.49,Matches
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,11,6,530,5.9,5,1,6,5,0,0,0,0,0.85,0.17,1.02,0.85,1.02,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,24,20,"1,771",19.7,3,0,3,3,0,0,7,0,0.15,0,0.15,0.15,0.15,Matches
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,27,20,"1,927",21.4,2,2,4,2,0,0,10,0,0.09,0.09,0.19,0.09,0.19,Matches
53,Toby Alderweireld,be BEL,DF,Tottenham Hotspur,eng Premier League,30,1989,33,33,"2,957",32.9,2,2,4,2,0,0,7,0,0.06,0.06,0.12,0.06,0.12,Matches
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,22,21,"1,916",21.3,1,1,2,1,0,0,4,0,0.05,0.05,0.09,0.05,0.09,Matches
