Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Patrick van Aanholt,nl NED,DF,Sunderland,eng Premier League,23,1990,28,26,"2,307",25.6,0,5,5,0,0,0,4,0,0,0.2,0.2,0,0.2,Matches
2,Rolando Aarons,eng ENG,MF,Newcastle United,eng Premier League,18,1995,4,0,132,1.5,1,0,1,1,0,0,1,0,0.68,0,0.68,0.68,0.68,Matches
3,Ignazio Abate,it ITA,"DF,MF",Milan,it Serie A,27,1986,23,21,"1,884",20.9,0,6,6,0,0,0,5,0,0,0.29,0.29,0,0.29,Matches
4,Christian Abbiati,it ITA,GK,Milan,it Serie A,37,1977,11,10,906,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Kassim Abdallah,km COM,DF,Evian,fr Ligue 1,27,1987,30,29,"2,581",28.7,0,3,3,0,0,0,5,1,0,0.1,0.1,0,0.1,Matches
6,Aymen Abdennour,tn TUN,DF,Monaco,fr Ligue 1,24,1989,18,17,"1,525",16.9,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
7,Rafidine Abdullah,km COM,MF,Lorient,fr Ligue 1,20,1994,23,18,"1,522",16.9,0,1,1,0,0,0,6,0,0,0.06,0.06,0,0.06,Matches
8,Mehdi Abeid,dz ALG,MF,Newcastle United,eng Premier League,21,1992,13,7,664,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Vincent Aboubakar,cm CMR,FW,Lorient,fr Ligue 1,22,1992,2,2,180,2,1,0,1,0,1,1,1,0,0.5,0,0.5,0,0,Matches
10,David Abraham,ar ARG,DF,Hoffenheim,de Bundesliga,28,1986,14,9,894,9.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,26,1988,32,32,"2,878",32,3,0,3,3,0,0,8,1,0.09,0,0.09,0.09,0.09,Matches
12,Karim Achahbar,ma MAR,FW,Guingamp,fr Ligue 1,18,1996,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
13,Afriyie Acquah,gh GHA,MF,Sampdoria,it Serie A,22,1992,10,10,713,7.9,1,0,1,1,0,0,5,1,0.13,0,0.13,0.13,0.13,Matches
14,Afriyie Acquah,gh GHA,MF,Parma,it Serie A,22,1992,14,12,"1,119",12.4,0,0,0,0,0,0,8,1,0,0,0,0,0,Matches
15,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,28,1985,29,15,"1,511",16.8,7,1,8,6,1,1,5,0,0.42,0.06,0.48,0.36,0.42,Matches
16,Emmanuel Adebayor,tg TOG,FW,Tottenham Hotspur,eng Premier League,30,1984,13,9,813,9,2,1,3,2,0,0,1,0,0.22,0.11,0.33,0.22,0.33,Matches
17,Jordan Adéoti,bj BEN,"DF,MF",Caen,fr Ligue 1,25,1989,28,18,"1,746",19.4,0,1,1,0,0,0,5,0,0,0.05,0.05,0,0.05,Matches
18,René Adler,de GER,GK,Hamburger SV,de Bundesliga,29,1985,12,11,"1,060",11.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
19,Issam El Adoua,ma MAR,DF,Levante,es La Liga,27,1986,4,3,290,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Adrián,es ESP,GK,West Ham United,eng Premier League,27,1987,38,38,"3,392",37.7,0,0,0,,,,3,1,0,0,0,,,Matches
21,Adriano,br BRA,"DF,MF",Barcelona,es La Liga,29,1984,16,10,962,10.7,0,1,1,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches
22,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,33,1981,31,30,"2,579",28.7,18,3,21,13,5,5,12,0,0.63,0.1,0.73,0.45,0.56,Matches
23,Kossi Agassa,tg TOG,GK,Reims,fr Ligue 1,36,1978,17,16,"1,440",16,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
24,Gabriel Agbonlahor,eng ENG,"FW,MF",Aston Villa,eng Premier League,27,1986,34,30,"2,693",29.9,6,1,7,6,0,0,7,1,0.2,0.03,0.23,0.2,0.23,Matches
25,Imanol Agirretxe,es ESP,FW,Real Sociedad,es La Liga,27,1987,31,21,"1,946",21.6,7,1,8,7,0,0,2,0,0.32,0.05,0.37,0.32,0.37,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Federico Agliardi,it ITA,GK,Cesena,it Serie A,31,1983,10,9,870,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,Alessandro Agostini,it ITA,DF,Hellas Verona,it Serie A,35,1979,22,21,"1,911",21.2,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
28,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,26,1988,33,30,"2,531",28.1,26,8,34,21,5,6,4,0,0.92,0.28,1.21,0.75,1.03,Matches
29,Abel Aguilar,co COL,MF,Toulouse,fr Ligue 1,29,1985,21,18,"1,663",18.5,0,1,1,0,0,0,5,0,0,0.05,0.05,0,0.05,Matches
30,Rodrigo Aguirre,uy URU,FW,Udinese,it Serie A,19,1994,7,1,222,2.5,1,0,1,1,0,0,2,0,0.41,0,0.41,0.41,0.41,Matches
31,Rodrigo Aguirre,uy URU,FW,Empoli,it Serie A,19,1994,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,23,1990,27,20,"1,874",20.8,1,1,2,1,0,0,5,1,0.05,0.05,0.1,0.05,0.1,Matches
33,Ali Ahamada,km COM,GK,Toulouse,fr Ligue 1,22,1991,23,23,"2,070",23,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
34,Stefan Aigner,de GER,"FW,MF",Eintracht Frankfurt,de Bundesliga,26,1987,28,23,"2,088",23.2,9,0,9,9,0,0,8,0,0.39,0,0.39,0.39,0.39,Matches
35,Nathan Aké,nl NED,"DF,MF",Chelsea,eng Premier League,19,1995,1,0,18,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
36,Ager Aketxe,es ESP,MF,Athletic Club,es La Liga,20,1993,8,3,299,3.3,1,1,2,1,0,0,1,0,0.3,0.3,0.6,0.3,0.6,Matches
37,Jean-Daniel Akpa-Akpro,ci CIV,"DF,MF",Toulouse,fr Ligue 1,21,1992,32,25,"2,415",26.8,2,3,5,2,0,0,5,0,0.07,0.11,0.19,0.07,0.19,Matches
38,Chuba Akpom,eng ENG,"FW,MF",Arsenal,eng Premier League,18,1995,3,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
39,David Alaba,at AUT,"DF,MF",Bayern Munich,de Bundesliga,22,1992,19,19,"1,665",18.5,2,1,3,2,0,0,0,0,0.11,0.05,0.16,0.11,0.16,Matches
40,Jordi Alba,es ESP,"DF,MF",Barcelona,es La Liga,25,1989,27,27,"2,329",25.9,1,3,4,1,0,0,8,1,0.04,0.12,0.15,0.04,0.15,Matches
41,Edu Albácar,es ESP,DF,Elche,es La Liga,34,1979,18,16,"1,436",16,3,3,6,2,1,1,7,0,0.19,0.19,0.38,0.13,0.31,Matches
42,Raúl Albentosa,es ESP,DF,Eibar,es La Liga,25,1988,17,17,"1,530",17,2,2,4,2,0,0,5,0,0.12,0.12,0.24,0.12,0.24,Matches
43,Luis Alberto,es ESP,"FW,MF",Málaga,es La Liga,21,1992,15,6,582,6.5,2,1,3,2,0,1,0,0,0.31,0.15,0.46,0.31,0.46,Matches
44,Raúl Albiol,es ESP,DF,Napoli,it Serie A,28,1985,35,34,"3,100",34.4,0,1,1,0,0,0,10,0,0,0.03,0.03,0,0.03,Matches
45,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,23,1990,28,25,"2,185",24.3,0,3,3,0,0,0,2,0,0,0.12,0.12,0,0.12,Matches
46,Marc Albrighton,eng ENG,MF,Leicester City,eng Premier League,24,1989,18,10,"1,031",11.5,2,3,5,2,0,0,3,0,0.17,0.26,0.44,0.17,0.44,Matches
47,Mads Albæk,dk DEN,MF,Reims,fr Ligue 1,24,1990,12,8,646,7.2,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
48,Paco Alcácer,es ESP,FW,Valencia,es La Liga,20,1993,32,26,"2,155",23.9,11,5,16,11,0,0,2,1,0.46,0.21,0.67,0.46,0.67,Matches
49,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,23,1991,7,2,285,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Antolín Alcaraz,py PAR,DF,Everton,eng Premier League,32,1982,8,6,527,5.9,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Toby Alderweireld,be BEL,DF,Southampton,eng Premier League,25,1989,26,26,"2,261",25.1,1,0,1,1,0,0,3,0,0.04,0,0.04,0.04,0.04,Matches
52,Romain Alessandrini,fr FRA,"FW,MF",Marseille,fr Ligue 1,25,1989,26,13,"1,264",14,3,4,7,3,0,0,1,0,0.21,0.28,0.5,0.21,0.5,Matches
53,Alex,br BRA,DF,Milan,it Serie A,32,1982,21,18,"1,394",15.5,1,0,1,1,0,0,3,0,0.06,0,0.06,0.06,0.06,Matches
54,Alexis,es ESP,DF,Getafe,es La Liga,28,1985,29,28,"2,507",27.9,1,1,2,1,0,0,13,1,0.04,0.04,0.07,0.04,0.07,Matches
55,Chaker Alhadhur,km COM,"DF,MF",Nantes,fr Ligue 1,22,1991,15,12,"1,103",12.3,0,0,0,0,0,1,3,1,0,0,0,0,0,Matches
56,Rachid Alioui,ma MAR,FW,Guingamp,fr Ligue 1,22,1992,7,2,213,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
57,Sami Allagui,tn TUN,"FW,MF",Hertha BSC,de Bundesliga,28,1986,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
58,Sami Allagui,tn TUN,"FW,MF",Mainz 05,de Bundesliga,28,1986,19,9,807,9,2,0,2,2,0,0,4,0,0.22,0,0.22,0.22,0.22,Matches
59,Allan,br BRA,"DF,MF",Udinese,it Serie A,23,1991,35,33,"3,001",33.3,1,5,6,1,0,0,8,0,0.03,0.15,0.18,0.03,0.18,Matches
60,Joe Allen,wls WAL,MF,Liverpool,eng Premier League,24,1990,21,16,"1,470",16.3,1,0,1,1,0,0,3,0,0.06,0,0.06,0.06,0.06,Matches
61,Hugo Almeida,pt POR,FW,Cesena,it Serie A,30,1984,10,7,684,7.6,0,1,1,0,0,0,0,0,0,0.13,0.13,0,0.13,Matches
62,Jak Alnwick,eng ENG,GK,Newcastle United,eng Premier League,21,1993,6,5,495,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
63,Baptiste Aloé,fr FRA,DF,Marseille,fr Ligue 1,20,1994,14,4,461,5.1,1,0,1,1,0,0,2,0,0.2,0,0.2,0.2,0.2,Matches
64,Marcos Alonso,es ESP,"DF,MF",Fiorentina,it Serie A,23,1990,22,19,"1,681",18.7,1,3,4,1,0,0,4,0,0.05,0.16,0.21,0.05,0.21,Matches
65,Xabi Alonso,es ESP,MF,Bayern Munich,de Bundesliga,32,1981,26,24,"1,963",21.8,2,3,5,2,0,0,6,0,0.09,0.14,0.23,0.09,0.23,Matches
66,Jozy Altidore,us USA,FW,Sunderland,eng Premier League,24,1989,11,2,311,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
67,Halil Altıntop,tr TUR,"FW,MF",Augsburg,de Bundesliga,31,1982,31,30,"2,460",27.3,3,5,8,3,0,0,1,0,0.11,0.18,0.29,0.11,0.29,Matches
68,Sone Aluko,ng NGA,"FW,MF",Hull City,eng Premier League,25,1989,25,13,"1,242",13.8,1,0,1,1,0,0,2,0,0.07,0,0.07,0.07,0.07,Matches
69,Cristian Álvarez,ar ARG,GK,Rayo Vallecano,es La Liga,28,1985,17,16,"1,440",16,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
70,Ricky Álvarez,ar ARG,MF,Sunderland,eng Premier League,26,1988,13,5,497,5.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
71,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,27,1986,38,38,"3,350",37.2,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
72,Víctor Álvarez,es ESP,"DF,MF",Espanyol,es La Liga,21,1993,18,15,"1,224",13.6,0,2,2,0,0,0,4,0,0,0.15,0.15,0,0.15,Matches
73,Dani Alves,br BRA,"DF,MF",Barcelona,es La Liga,31,1983,30,29,"2,517",28,0,6,6,0,0,0,6,1,0,0.21,0.21,0,0.21,Matches
74,Diego Alves,br BRA,GK,Valencia,es La Liga,29,1985,37,37,"3,311",36.8,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
75,Morgan Amalfitano,fr FRA,MF,West Ham United,eng Premier League,29,1985,24,14,"1,184",13.2,3,1,4,3,0,0,3,0,0.23,0.08,0.3,0.23,0.3,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Jordi Amat,id IDN,DF,Swansea City,eng Premier League,22,1992,10,7,588,6.5,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
77,Amauri,it ITA,FW,Torino,it Serie A,34,1980,20,7,864,9.6,1,0,1,1,0,0,4,0,0.1,0,0.1,0.1,0.1,Matches
78,Amauri,it ITA,FW,Parma,it Serie A,34,1980,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
79,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,20,1994,36,36,"3,232",35.9,4,0,4,4,0,0,11,0,0.11,0,0.11,0.11,0.11,Matches
80,Antonio Amaya,es ESP,DF,Rayo Vallecano,es La Liga,31,1983,19,19,"1,587",17.6,1,0,1,1,0,0,6,0,0.06,0,0.06,0.06,0.06,Matches
81,Sammy Ameobi,eng ENG,"FW,MF",Newcastle United,eng Premier League,22,1992,25,15,"1,418",15.8,2,2,4,2,0,0,2,0,0.13,0.13,0.25,0.13,0.25,Matches
82,Shola Ameobi,ng NGA,FW,Crystal Palace,eng Premier League,32,1981,4,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
83,Nadiem Amiri,de GER,MF,Hoffenheim,de Bundesliga,17,1996,7,4,330,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
