Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
1,Patrick van Aanholt,nl NED,DF,Sunderland,eng Premier League,24,1990,33,33,"2,970",33,4,3,7,4,0,0,2,0,0.12,0.09,0.21,0.12,0.21,Matches
2,Rolando Aarons,eng ENG,"DF,MF",Newcastle United,eng Premier League,19,1995,10,3,381,4.2,1,1,2,1,0,0,1,0,0.24,0.24,0.47,0.24,0.47,Matches
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,28,1986,27,27,"2,248",25,1,1,2,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,Matches
4,Christian Abbiati,it ITA,GK,Milan,it Serie A,38,1977,1,0,72,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Aymen Abdennour,tn TUN,DF,Valencia,es La Liga,25,1989,22,22,"1,851",20.6,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
6,Almen Abdi,ch SUI,MF,Watford,eng Premier League,28,1986,32,25,"1,974",21.9,2,0,2,2,0,0,4,0,0.09,0,0.09,0.09,0.09,Matches
7,Rafidine Abdullah,km COM,MF,Lorient,fr Ligue 1,21,1994,12,6,579,6.4,1,0,1,1,0,0,6,1,0.16,0,0.16,0.16,0.16,Matches
8,David Abraham,ar ARG,DF,Eintracht Frankfurt,de Bundesliga,29,1986,31,28,"2,547",28.3,0,0,0,0,0,0,8,0,0,0,0,0,0,Matches
9,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,17,1997,2,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
10,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,27,1988,36,36,"3,240",36,4,0,4,4,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches
11,Robert Acquafresca,it ITA,FW,Bologna,it Serie A,27,1987,6,2,208,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,23,1992,29,22,"1,888",21,2,3,5,2,0,0,9,0,0.1,0.14,0.24,0.1,0.24,Matches
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,29,1985,22,12,"1,044",11.6,1,1,2,1,0,0,6,1,0.09,0.09,0.17,0.09,0.17,Matches
14,Antonio Adán,es ESP,GK,Real Betis,es La Liga,28,1987,36,36,"3,212",35.7,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
15,Emmanuel Adebayor,tg TOG,FW,Crystal Palace,eng Premier League,31,1984,12,7,619,6.9,1,1,2,1,0,0,1,0,0.15,0.15,0.29,0.15,0.29,Matches
16,Jordan Adéoti,bj BEN,"MF,DF",Caen,fr Ligue 1,26,1989,32,16,"1,718",19.1,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
17,Claud Adjapong,it ITA,"DF,MF",Sassuolo,it Serie A,17,1998,2,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,René Adler,de GER,GK,Hamburger SV,de Bundesliga,30,1985,24,24,"2,071",23,0,1,1,0,0,0,3,1,0,0.04,0.04,0,0.04,Matches
19,Ali Adnan Kadhim,iq IRQ,"MF,DF",Udinese,it Serie A,21,1993,28,21,"1,904",21.2,1,1,2,1,0,0,6,0,0.05,0.05,0.09,0.05,0.09,Matches
