Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
20,Adrián,es ESP,GK,West Ham United,eng Premier League,28,1987,32,32,"2,880",32,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
21,Adriano,br BRA,DF,Barcelona,es La Liga,30,1984,8,4,434,4.8,0,1,1,0,0,0,0,0,0,0.21,0.21,0,0.21,Matches
22,Luiz Adriano,br BRA,FW,Milan,it Serie A,28,1987,26,12,"1,194",13.3,4,0,4,3,1,1,4,0,0.3,0,0.3,0.23,0.23,Matches
23,Adryan,br BRA,"MF,FW",Nantes,fr Ligue 1,20,1994,26,19,"1,423",15.8,3,2,5,3,0,0,2,1,0.19,0.13,0.32,0.19,0.32,Matches
24,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,34,1981,34,30,"2,776",30.8,20,6,26,17,3,5,9,0,0.65,0.19,0.84,0.55,0.75,Matches
25,Ibrahim Afellay,nl NED,MF,Stoke City,eng Premier League,29,1986,31,24,"2,102",23.4,2,2,4,2,0,0,3,1,0.09,0.09,0.17,0.09,0.17,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Benik Afobe,cd COD,FW,Bournemouth,eng Premier League,22,1993,15,12,930,10.3,4,0,4,4,0,0,0,0,0.39,0,0.39,0.39,0.39,Matches
27,Kossi Agassa,tg TOG,GK,Reims,fr Ligue 1,37,1978,11,11,901,10,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Gabriel Agbonlahor,eng ENG,FW,Aston Villa,eng Premier League,28,1986,15,13,"1,031",11.5,1,2,3,1,0,0,0,0,0.09,0.17,0.26,0.09,0.26,Matches
29,Imanol Agirretxe,es ESP,FW,Real Sociedad,es La Liga,28,1987,16,14,"1,170",13,13,0,13,13,0,0,0,0,1,0,1,1,1,Matches
30,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,27,1988,30,29,"2,360",26.2,24,2,26,20,4,5,1,0,0.92,0.08,0.99,0.76,0.84,Matches
31,Rodrigo Aguirre,uy URU,FW,Udinese,it Serie A,20,1994,10,3,340,3.8,0,1,1,0,0,0,1,0,0,0.26,0.26,0,0.26,Matches
32,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,24,1990,33,30,"2,661",29.6,4,1,5,4,0,0,6,0,0.14,0.03,0.17,0.14,0.17,Matches
33,Ali Ahamada,km COM,GK,Toulouse,fr Ligue 1,23,1991,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
34,Stefan Aigner,de GER,"MF,FW",Eintracht Frankfurt,de Bundesliga,27,1987,31,27,"2,394",26.6,3,3,6,3,0,0,7,0,0.11,0.11,0.23,0.11,0.23,Matches
35,Rachid Aït-Atmane,dz ALG,MF,Sporting Gijón,es La Liga,22,1993,18,11,"1,060",11.8,0,2,2,0,0,0,2,0,0,0.17,0.17,0,0.17,Matches
36,Albian Ajeti,ch SUI,FW,Augsburg,de Bundesliga,18,1997,1,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
37,Arlind Ajeti,al ALB,DF,Frosinone,it Serie A,21,1993,16,15,"1,218",13.5,1,0,1,1,0,0,5,1,0.07,0,0.07,0.07,0.07,Matches
38,Nathan Aké,nl NED,DF,Watford,eng Premier League,20,1995,24,20,"1,875",20.8,1,0,1,1,0,0,4,1,0.05,0,0.05,0.05,0.05,Matches
39,Ager Aketxe,es ESP,MF,Athletic Club,es La Liga,21,1993,3,2,185,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Jean-Daniel Akpa-Akpro,ci CIV,MF,Toulouse,fr Ligue 1,22,1992,33,29,"2,555",28.4,1,4,5,1,0,0,12,0,0.04,0.14,0.18,0.04,0.18,Matches
41,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,23,1992,30,27,"2,492",27.7,2,0,2,2,0,0,2,0,0.07,0,0.07,0.07,0.07,Matches
42,Fabrizio Alastra,it ITA,GK,Palermo,it Serie A,17,1997,2,1,144,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Jordi Alba,es ESP,DF,Barcelona,es La Liga,26,1989,31,29,"2,589",28.8,0,6,6,0,0,0,2,0,0,0.21,0.21,0,0.21,Matches
44,Raúl Albentosa,es ESP,DF,Málaga,es La Liga,26,1988,29,27,"2,555",28.4,2,0,2,2,0,0,11,0,0.07,0,0.07,0.07,0.07,Matches
45,Michelangelo Albertazzi,it ITA,DF,Hellas Verona,it Serie A,24,1991,10,9,702,7.8,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
46,Luis Alberto,es ESP,"MF,FW",Dep La Coruña,es La Liga,22,1992,29,25,"2,098",23.3,6,7,13,6,0,0,3,0,0.26,0.3,0.56,0.26,0.56,Matches
47,Raúl Albiol,es ESP,DF,Napoli,it Serie A,29,1985,36,36,"3,240",36,1,1,2,1,0,0,10,0,0.03,0.03,0.06,0.03,0.06,Matches
48,Miiko Albornoz,cl CHI,DF,Hannover 96,de Bundesliga,24,1990,23,23,"2,069",23,0,1,1,0,0,0,1,0,0,0.04,0.04,0,0.04,Matches
49,Marc Albrighton,eng ENG,MF,Leicester City,eng Premier League,25,1989,38,34,"2,749",30.5,2,6,8,2,0,0,4,0,0.07,0.2,0.26,0.07,0.26,Matches
50,Paco Alcácer,es ESP,FW,Valencia,es La Liga,21,1993,34,25,"2,419",26.9,13,6,19,11,2,3,2,0,0.48,0.22,0.71,0.41,0.63,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,24,1991,27,16,"1,643",18.3,2,3,5,2,0,0,2,0,0.11,0.16,0.27,0.11,0.27,Matches
52,Antolín Alcaraz,py PAR,DF,Las Palmas,es La Liga,33,1982,6,6,540,6,1,0,1,1,0,0,2,0,0.17,0,0.17,0.17,0.17,Matches
53,Toby Alderweireld,be BEL,DF,Tottenham Hotspur,eng Premier League,26,1989,38,38,"3,419",38,4,2,6,4,0,0,3,0,0.11,0.05,0.16,0.11,0.16,Matches
54,Alexis Alegue,fr FRA,MF,Nantes,fr Ligue 1,18,1996,3,1,97,1.1,1,0,1,1,0,0,0,0,0.93,0,0.93,0.93,0.93,Matches
55,Nauzet Alemán,es ESP,MF,Las Palmas,es La Liga,30,1985,10,2,248,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Diego Alende,es ESP,DF,Celta Vigo,es La Liga,17,1997,1,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
57,Romain Alessandrini,fr FRA,"MF,FW",Marseille,fr Ligue 1,26,1989,22,16,"1,246",13.8,5,4,9,5,0,0,1,2,0.36,0.29,0.65,0.36,0.65,Matches
58,Alex,br BRA,DF,Milan,it Serie A,33,1982,25,24,"2,091",23.2,3,1,4,3,0,0,5,0,0.13,0.04,0.17,0.13,0.17,Matches
59,Alexis,es ESP,DF,Getafe,es La Liga,29,1985,15,15,"1,350",15,1,0,1,1,0,0,7,0,0.07,0,0.07,0.07,0.07,Matches
60,Chaker Alhadhur,km COM,DF,Caen,fr Ligue 1,23,1991,10,8,787,8.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
61,Allan,br BRA,MF,Napoli,it Serie A,24,1991,35,32,"2,818",31.3,3,5,8,3,0,0,5,0,0.1,0.16,0.26,0.1,0.26,Matches
62,Joe Allen,wls WAL,MF,Liverpool,eng Premier League,25,1990,19,8,735,8.2,2,1,3,2,0,0,0,0,0.24,0.12,0.37,0.24,0.37,Matches
63,Dele Alli,eng ENG,MF,Tottenham Hotspur,eng Premier League,19,1996,33,28,"2,470",27.4,10,9,19,10,0,0,7,0,0.36,0.33,0.69,0.36,0.69,Matches
64,Ryan Allsop,eng ENG,GK,Bournemouth,eng Premier League,23,1992,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
65,Hugo Almeida,pt POR,FW,Hannover 96,de Bundesliga,31,1984,7,5,530,5.9,1,0,1,1,0,0,1,0,0.17,0,0.17,0.17,0.17,Matches
66,Marcos Alonso,es ESP,"MF,DF",Fiorentina,it Serie A,24,1990,31,26,"2,347",26.1,3,4,7,3,0,0,8,0,0.12,0.15,0.27,0.12,0.27,Matches
67,Xabi Alonso,es ESP,"MF,DF",Bayern Munich,de Bundesliga,33,1981,26,23,"1,945",21.6,0,2,2,0,0,0,7,1,0,0.09,0.09,0,0.09,Matches
68,Batuhan Altıntaş,tr TUR,FW,Hamburger SV,de Bundesliga,19,1996,1,0,27,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
69,Halil Altıntop,tr TUR,MF,Augsburg,de Bundesliga,32,1982,19,15,"1,200",13.3,1,2,3,1,0,0,1,0,0.07,0.15,0.23,0.07,0.23,Matches
70,Ricky Álvarez,ar ARG,"MF,FW",Sampdoria,it Serie A,27,1988,13,9,806,9,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches
71,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,28,1986,31,30,"2,726",30.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
72,Sergio Álvarez,es ESP,MF,Sporting Gijón,es La Liga,23,1992,27,26,"2,185",24.3,2,2,4,2,0,0,9,1,0.08,0.08,0.16,0.08,0.16,Matches
73,Víctor Álvarez,es ESP,"MF,DF",Espanyol,es La Liga,22,1993,27,25,"1,959",21.8,1,2,3,1,0,0,6,0,0.05,0.09,0.14,0.05,0.14,Matches
74,Dani Alves,br BRA,DF,Barcelona,es La Liga,32,1983,29,24,"2,145",23.8,0,3,3,0,0,0,6,0,0,0.13,0.13,0,0.13,Matches
75,Diego Alves,br BRA,GK,Valencia,es La Liga,30,1985,13,13,"1,170",13,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Ibrahim Amadou,fr FRA,"MF,DF",Lille,fr Ligue 1,22,1993,22,18,"1,668",18.5,1,0,1,1,0,0,2,0,0.05,0,0.05,0.05,0.05,Matches
77,Morgan Amalfitano,fr FRA,"FW,MF",Lille,fr Ligue 1,30,1985,15,10,957,10.6,2,0,2,2,0,0,2,0,0.19,0,0.19,0.19,0.19,Matches
78,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,20,1994,5,1,104,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
79,Jordi Amat,id IDN,DF,Swansea City,eng Premier League,23,1992,8,5,463,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
80,Amauri,it ITA,FW,Torino,it Serie A,35,1980,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Jordan Amavi,fr FRA,DF,Aston Villa,eng Premier League,21,1994,10,9,837,9.3,0,2,2,0,0,0,2,0,0,0.22,0.22,0,0.22,Matches
82,Antonio Amaya,es ESP,DF,Rayo Vallecano,es La Liga,32,1983,17,10,"1,033",11.5,1,1,2,1,0,0,6,1,0.09,0.09,0.17,0.09,0.17,Matches
83,Jean Ambrose,ht HAI,DF,Bordeaux,fr Ligue 1,21,1993,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
84,Nadiem Amiri,de GER,"MF,FW",Hoffenheim,de Bundesliga,18,1996,25,16,"1,460",16.2,4,4,8,4,0,0,4,0,0.25,0.25,0.49,0.25,0.49,Matches
85,Nordin Amrabat,ma MAR,"MF,FW",Málaga,es La Liga,28,1987,13,13,"1,003",11.1,0,1,1,0,0,1,5,1,0,0.09,0.09,0,0.09,Matches
86,Nordin Amrabat,ma MAR,"MF,FW",Watford,eng Premier League,28,1987,12,4,506,5.6,0,0,0,0,0,0,4,1,0,0,0,0,0,Matches
87,Felipe Anderson,br BRA,"FW,MF",Lazio,it Serie A,22,1993,35,21,"2,071",23,7,4,11,7,0,0,2,0,0.3,0.17,0.48,0.3,0.48,Matches
88,Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,24,1990,32,30,"2,632",29.2,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
89,Leon Andreasen,dk DEN,MF,Hannover 96,de Bundesliga,32,1983,15,13,"1,080",12,2,1,3,2,0,0,4,0,0.17,0.08,0.25,0.17,0.25,Matches
90,Ionuț Andrei Radu,ro ROU,GK,Inter,it Serie A,,,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
91,Marco Andreolli,it ITA,DF,Sevilla,es La Liga,29,1986,7,7,553,6.1,0,1,1,0,0,0,2,0,0,0.16,0.16,0,0.16,Matches
92,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,26,1989,31,31,"2,722",30.2,0,1,1,0,0,0,7,0,0,0.03,0.03,0,0.03,Matches
93,José Ángel Crespo,es ESP,FW,Aston Villa,eng Premier League,28,1987,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
94,José Ángel Crespo,es ESP,DF,Rayo Vallecano,es La Liga,28,1987,9,9,715,7.9,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
95,Miguel Ángel Guerrero,es ESP,FW,Sporting Gijón,es La Liga,25,1990,23,13,"1,087",12.1,2,1,3,2,0,0,2,0,0.17,0.08,0.25,0.17,0.25,Matches
96,Miguel Ángel,es ESP,DF,Getafe,es La Liga,19,1996,3,2,200,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
97,Marcos Angeleri,ar ARG,DF,Málaga,es La Liga,32,1983,13,13,"1,111",12.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
98,Benjamin Angoua,ci CIV,DF,Guingamp,fr Ligue 1,28,1986,18,13,"1,242",13.8,1,0,1,1,0,0,4,0,0.07,0,0.07,0.07,0.07,Matches
99,Gaël Angoula,fr FRA,DF,Angers,fr Ligue 1,33,1982,13,10,"1,013",11.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
100,Victor Anichebe,ng NGA,FW,West Brom,eng Premier League,27,1988,10,3,369,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
101,Vurnon Anita,cw CUW,"MF,DF",Newcastle United,eng Premier League,26,1989,28,24,"2,101",23.3,1,3,4,1,0,0,6,0,0.04,0.13,0.17,0.04,0.17,Matches
102,Cristian Ansaldi,ar ARG,"MF,DF",Genoa,it Serie A,28,1986,24,23,"2,010",22.3,0,4,4,0,0,0,4,0,0,0.18,0.18,0,0.18,Matches
103,Ion Ansotegi,es ESP,DF,Eibar,es La Liga,33,1982,8,6,542,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
104,Luca Antei,it ITA,DF,Sassuolo,it Serie A,23,1992,5,4,341,3.8,0,1,1,0,0,0,2,0,0,0.26,0.26,0,0.26,Matches
105,Waldemar Anton,de GER,"DF,MF",Hannover 96,de Bundesliga,19,1996,8,6,583,6.5,1,0,1,1,0,0,2,0,0.15,0,0.15,0.15,0.15,Matches
106,Luca Antonelli,it ITA,DF,Milan,it Serie A,28,1987,28,25,"2,338",26,3,1,4,3,0,0,2,0,0.12,0.04,0.15,0.12,0.15,Matches
107,Michail Antonio,jm JAM,"MF,FW",West Ham United,eng Premier League,25,1990,26,23,"2,057",22.9,8,3,11,8,0,0,3,0,0.35,0.13,0.48,0.35,0.48,Matches
108,José Antonio Reyes,es ESP,MF,Sevilla,es La Liga,31,1983,24,14,"1,182",13.1,1,1,2,1,0,0,6,0,0.08,0.08,0.15,0.08,0.15,Matches
109,Ikechi Anya,sct SCO,"MF,DF",Watford,eng Premier League,27,1988,28,17,"1,686",18.7,0,1,1,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches
110,Siniša Anđelković,si SVN,DF,Palermo,it Serie A,29,1986,23,21,"1,908",21.2,0,1,1,0,0,0,5,1,0,0.05,0.05,0,0.05,Matches
111,Dennis Aogo,de GER,"DF,MF",Schalke 04,de Bundesliga,28,1987,23,20,"1,852",20.6,0,1,1,0,0,0,4,0,0,0.05,0.05,0,0.05,Matches
112,Dennis Appiah,fr FRA,DF,Caen,fr Ligue 1,23,1992,38,38,"3,420",38,1,1,2,1,0,0,2,0,0.03,0.03,0.05,0.03,0.05,Matches
113,Youssef El-Arabi,ma MAR,FW,Granada,es La Liga,28,1987,35,27,"2,513",27.9,16,1,17,9,7,7,3,0,0.57,0.04,0.61,0.32,0.36,Matches
114,Mauro Arambarri,uy URU,MF,Bordeaux,fr Ligue 1,19,1995,5,2,154,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
115,Charles Aránguiz,cl CHI,"MF,DF",Leverkusen,de Bundesliga,26,1989,7,5,470,5.2,2,1,3,2,0,0,1,0,0.38,0.19,0.57,0.38,0.57,Matches
116,Alexis Araujo,pt POR,MF,Lille,fr Ligue 1,18,1996,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
117,Sergio Araujo,ar ARG,FW,Las Palmas,es La Liga,23,1992,30,20,"1,819",20.2,5,2,7,5,0,0,4,0,0.25,0.1,0.35,0.25,0.35,Matches
118,Álvaro Arbeloa,es ESP,DF,Real Madrid,es La Liga,32,1983,6,2,262,2.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
119,Anaitz Arbilla,es ESP,DF,Espanyol,es La Liga,28,1987,7,7,630,7,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
120,Alphonse Areola,fr FRA,GK,Villarreal,es La Liga,22,1993,32,32,"2,880",32,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
121,Lorenzo Ariaudo,it ITA,DF,Empoli,it Serie A,26,1989,5,5,421,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
122,Lorenzo Ariaudo,it ITA,DF,Sassuolo,it Serie A,26,1989,4,2,237,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
123,Fynn Arkenberg,de GER,DF,Hannover 96,de Bundesliga,19,1996,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
124,Giedrius Arlauskis,lt LTU,GK,Watford,eng Premier League,27,1987,1,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
125,Giedrius Arlauskis,lt LTU,GK,Espanyol,es La Liga,27,1987,3,3,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Sylvain Armand,fr FRA,DF,Rennes,fr Ligue 1,34,1980,34,33,"2,991",33.2,1,1,2,1,0,1,5,0,0.03,0.03,0.06,0.03,0.06,Matches
127,Pablo Armero,co COL,MF,Udinese,it Serie A,28,1986,5,5,417,4.6,1,0,1,1,0,0,0,0,0.22,0,0.22,0.22,0.22,Matches
128,Marko Arnautović,at AUT,"MF,FW",Stoke City,eng Premier League,26,1989,34,33,"2,807",31.2,11,6,17,8,3,3,2,0,0.35,0.19,0.55,0.26,0.45,Matches
129,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,21,1994,31,22,"2,039",22.7,3,2,5,3,0,0,4,0,0.13,0.09,0.22,0.13,0.22,Matches
130,Alejandro Arribas,es ESP,DF,Dep La Coruña,es La Liga,26,1989,31,31,"2,734",30.4,2,0,2,2,0,0,11,1,0.07,0,0.07,0.07,0.07,Matches
131,Mikel Arruabarrena,es ESP,FW,Eibar,es La Liga,32,1983,6,0,62,0.7,1,0,1,1,0,0,0,0,1.45,0,1.45,1.45,1.45,Matches
132,Ahmet Arslan,de GER,"FW,MF",Hamburger SV,de Bundesliga,21,1994,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
133,Harry Arter,ie IRL,MF,Bournemouth,eng Premier League,25,1989,21,21,"1,661",18.5,1,0,1,1,0,0,7,0,0.05,0,0.05,0.05,0.05,Matches
134,Mikel Arteta,es ESP,MF,Arsenal,eng Premier League,33,1982,9,0,169,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
135,Aythami Artiles,es ESP,DF,Las Palmas,es La Liga,29,1986,31,30,"2,641",29.3,0,1,1,0,0,0,13,2,0,0.03,0.03,0,0.03,Matches
136,Kwadwo Asamoah,gh GHA,MF,Juventus,it Serie A,26,1988,11,6,569,6.3,0,1,1,0,0,0,1,0,0,0.16,0.16,0,0.16,Matches
137,Carlos Ascues,pe PER,"DF,MF",Wolfsburg,de Bundesliga,23,1992,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
138,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,26,1989,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
139,Marco Asensio,es ESP,"MF,FW",Espanyol,es La Liga,19,1996,34,33,"2,825",31.4,4,8,12,4,0,0,3,0,0.13,0.25,0.38,0.13,0.38,Matches
140,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,27,1987,35,31,"2,654",29.5,13,3,16,12,1,1,8,0,0.44,0.1,0.54,0.41,0.51,Matches
141,Benoît Assou-Ekotto,cm CMR,DF,Saint-Étienne,fr Ligue 1,31,1984,20,19,"1,704",18.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
142,Davide Astori,it ITA,DF,Fiorentina,it Serie A,28,1987,33,32,"2,901",32.2,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
143,Christian Atsu,gh GHA,MF,Málaga,es La Liga,23,1992,12,3,392,4.4,2,0,2,2,0,0,0,0,0.46,0,0.46,0.46,0.46,Matches
144,Pierre-Emerick Aubameyang,ga GAB,FW,Dortmund,de Bundesliga,26,1989,31,28,"2,467",27.4,25,5,30,22,3,4,4,0,0.91,0.18,1.09,0.8,0.99,Matches
145,Johan Audel,mq MTQ,"MF,FW",Nantes,fr Ligue 1,31,1983,29,11,"1,278",14.2,2,3,5,2,0,0,4,0,0.14,0.21,0.35,0.14,0.35,Matches
146,Jean-Kévin Augustin,fr FRA,FW,Paris Saint-Germain,fr Ligue 1,18,1997,13,4,423,4.7,1,0,1,1,0,0,1,0,0.21,0,0.21,0.21,0.21,Matches
147,Olivier Auriac,fr FRA,MF,Angers,fr Ligue 1,31,1983,16,3,405,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
148,Serge Aurier,ci CIV,DF,Paris Saint-Germain,fr Ligue 1,22,1992,21,21,"1,886",21,2,2,4,2,0,0,8,0,0.1,0.1,0.19,0.1,0.19,Matches
149,Charlie Austin,eng ENG,FW,Southampton,eng Premier League,26,1989,7,2,211,2.3,1,0,1,1,0,0,0,0,0.43,0,0.43,0.43,0.43,Matches
150,Danilo Avelar,br BRA,MF,Torino,it Serie A,26,1989,6,4,344,3.8,0,2,2,0,0,0,1,0,0,0.52,0.52,0,0.52,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
151,Thomas Ayasse,fr FRA,"MF,DF",Troyes,fr Ligue 1,28,1987,14,12,"1,014",11.3,1,0,1,1,0,0,4,1,0.09,0,0.09,0.09,0.09,Matches
152,André Ayew,gh GHA,"MF,FW",Swansea City,eng Premier League,25,1989,34,34,"2,925",32.5,12,2,14,12,0,0,5,0,0.37,0.06,0.43,0.37,0.43,Matches
153,Jordan Ayew,gh GHA,FW,Aston Villa,eng Premier League,23,1991,30,27,"2,349",26.1,7,0,7,6,1,1,6,1,0.27,0,0.27,0.23,0.23,Matches
