Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
19,Sargis Adamyan,am ARM,MF,Hoffenheim,de Bundesliga,27,1993,5.3,2,23,7,30.4,4.32,1.32,0.09,0.29,0,0,Matches
20,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,0,18,5,27.8,0.55,0.15,0,0,0,0,Matches
21,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,1999,0.4,0,1,0,0,2.5,0,0,,0,0,Matches
22,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,2,24,9,37.5,0.89,0.33,0.08,0.22,0,0,Matches
23,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,0.1,0,0,0,,0,0,,,0,0,Matches
24,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3,0,0,0,,0,0,,,0,0,Matches
25,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,1996,17.3,0,2,0,0,0.12,0,0,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,8.9,0,3,1,33.3,0.34,0.11,0,0,0,0,Matches
27,Felix Agu,ng NGA,MF,Werder Bremen,de Bundesliga,20,1999,7.8,1,4,2,50,0.51,0.26,0.25,0.5,0,0,Matches
28,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,15.1,1,19,4,21.1,1.26,0.27,0.05,0.25,0,0,Matches
29,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35,3,27,7,25.9,0.77,0.2,0.11,0.43,0,0,Matches
30,Sergio Agüero,ar ARG,"FW,MF",Manchester City,eng Premier League,32,1988,6.2,4,19,13,68.4,3.06,2.09,0.16,0.23,1,2,Matches
31,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,27,1993,24.7,1,8,3,37.5,0.32,0.12,0.13,0.33,0,0,Matches
32,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,2.8,0,5,1,20,1.79,0.36,0,0,0,0,Matches
33,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,10,2,12,7,58.3,1.2,0.7,0.17,0.29,0,0,Matches
34,Jean-Eudes Aholou,ci CIV,"MF,DF",Strasbourg,fr Ligue 1,26,1994,23.8,2,31,6,19.4,1.3,0.25,0.06,0.33,0,0,Matches
35,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,0.4,0,2,1,50,5,2.5,0,0,0,0,Matches
36,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,0,9,0,0,0.63,0,0,,0,0,Matches
37,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,2,14,4,28.6,0.47,0.14,0.14,0.5,0,0,Matches
38,Rayan Aït-Nouri,dz ALG,DF,Angers,fr Ligue 1,19,2001,2.1,0,1,0,0,0.48,0,0,,0,0,Matches
39,Rayan Aït-Nouri,dz ALG,"MF,DF",Wolves,eng Premier League,19,2001,15.6,1,16,6,37.5,1.03,0.38,0.06,0.17,0,0,Matches
40,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,2,13,5,38.5,0.42,0.16,0.15,0.4,0,0,Matches
41,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,26,1994,33,16,69,37,53.6,2.09,1.12,0.17,0.32,4,5,Matches
42,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,2,19,5,26.3,0.73,0.19,0.11,0.4,0,0,Matches
43,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,1,2,1,50,0.21,0.1,0.5,1,0,0,Matches
44,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,19,2001,1.6,0,4,1,25,2.47,0.62,0,0,0,0,Matches
45,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,1,4,1,25,0.45,0.11,0.25,1,0,0,Matches
46,Paul Akouokou,ci CIV,MF,Real Betis,es La Liga,22,1997,4.2,0,0,0,,0,0,,,0,0,Matches
47,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,11.7,0,12,3,25,1.02,0.26,0,0,0,0,Matches
48,Kevin Akpoguma,ng NGA,"DF,MF",Hoffenheim,de Bundesliga,25,1995,13.2,1,2,2,100,0.15,0.15,0.5,0.5,0,0,Matches
49,David Alaba,at AUT,"DF,MF",Bayern Munich,de Bundesliga,28,1992,29.7,2,21,6,28.6,0.71,0.2,0.1,0.33,0,0,Matches
50,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,22,1998,16.7,0,5,0,0,0.3,0,0,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
51,Jony Álamo,es ESP,MF,Elche,es La Liga,18,2001,0.8,0,1,0,0,1.23,0,0,,0,0,Matches
52,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,13.8,11,41,20,48.8,2.96,1.45,0.22,0.45,2,2,Matches
53,Jordi Alba,es ESP,"DF,MF",Barcelona,es La Liga,31,1989,33.6,3,28,10,35.7,0.83,0.3,0.11,0.3,0,0,Matches
54,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,1992,29.1,9,69,29,42,2.37,1,0.13,0.31,0,0,Matches
55,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,0,9,1,11.1,0.26,0.03,0,0,0,0,Matches
56,Marc Albrighton,eng ENG,MF,Leicester City,eng Premier League,30,1989,19.4,1,21,9,42.9,1.08,0.46,0.05,0.11,0,0,Matches
57,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,1993,17.2,6,37,20,54.1,2.16,1.17,0.14,0.25,1,2,Matches
58,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,0,2,0,0,0.2,0,0,,0,0,Matches
59,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,1991,20.6,1,22,5,22.7,1.07,0.24,0.05,0.2,0,0,Matches
60,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,1991,24.1,1,28,3,10.7,1.16,0.12,0.04,0.33,0,0,Matches
61,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,0,6,2,33.3,0.42,0.14,0,0,0,0,Matches
62,Toby Alderweireld,be BEL,DF,Tottenham Hotspur,eng Premier League,31,1989,24.9,1,10,3,30,0.4,0.12,0.1,0.33,0,0,Matches
63,Iván Alejo,es ESP,MF,Cádiz,es La Liga,25,1995,9.2,1,12,4,33.3,1.31,0.44,0.08,0.25,0,0,Matches
64,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,22,1998,0.5,0,1,0,0,1.87,0,0,,0,0,Matches
65,Carles Aleñá,es ESP,MF,Getafe,es La Liga,22,1998,15.2,2,30,9,30,1.98,0.59,0.07,0.22,0,0,Matches
66,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,0.2,0,0,0,,0,0,,,0,0,Matches
67,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,2,55,12,21.8,1.63,0.36,0.04,0.17,0,0,Matches
68,Alfon,es ESP,FW,Celta Vigo,es La Liga,21,1999,0.4,0,1,1,100,2.65,2.65,0,0,0,0,Matches
69,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,16,2004,3.9,0,10,0,0,2.59,0,0,,0,0,Matches
70,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,eng Premier League,28,1992,27.3,2,26,8,30.8,0.95,0.29,0.08,0.25,0,0,Matches
71,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,28,1992,0.2,0,0,0,,0,0,,,0,0,Matches
72,Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33,1,1,1,100,0.03,0.03,1,1,0,0,Matches
73,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12,0,0,0,,0,0,,,0,0,Matches
74,Allan,br BRA,MF,Everton,eng Premier League,29,1991,22.8,0,7,2,28.6,0.31,0.09,0,0,0,0,Matches
75,Dele Alli,eng ENG,MF,Tottenham Hotspur,eng Premier League,24,1996,6.9,0,12,4,33.3,1.74,0.58,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
76,Miguel Almirón,py PAR,"MF,FW",Newcastle United,eng Premier League,26,1994,27,4,33,15,45.5,1.22,0.56,0.12,0.27,0,0,Matches
77,Marcos Alonso,es ESP,"MF,DF",Chelsea,eng Premier League,29,1990,10.7,2,22,10,45.5,2.06,0.94,0.09,0.2,0,0,Matches
78,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,28,1992,17.4,0,6,2,33.3,0.34,0.11,0,0,0,0,Matches
79,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,21.6,1,10,1,10,0.46,0.05,0.1,1,0,0,Matches
80,Bruno Alves,pt POR,DF,Parma,it Serie A,38,1981,18.1,1,10,3,30,0.55,0.17,0.1,0.33,0,0,Matches
81,Steven Alzate,co COL,MF,Brighton,eng Premier League,21,1998,10,1,7,2,28.6,0.7,0.2,0.14,0.5,0,0,Matches
82,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,1993,16.7,0,14,6,42.9,0.84,0.36,0,0,0,0,Matches
83,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,30,1989,1.3,0,2,0,0,1.55,0,0,,0,0,Matches
84,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,0.5,0,0,0,,0,0,,,0,0,Matches
85,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,8,1,3,1,33.3,0.37,0.12,0.33,1,0,0,Matches
86,Jordan Amavi,fr FRA,"DF,MF",Marseille,fr Ligue 1,26,1994,9,1,4,1,25,0.44,0.11,0.25,1,0,0,Matches
87,Thierry Ambrose,gp GLP,"FW,MF",Metz,fr Ligue 1,23,1997,8.4,0,19,7,36.8,2.27,0.84,0,0,0,0,Matches
88,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,0,0,0,0,,0,0,,,0,0,Matches
89,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,1996,21,2,42,14,33.3,2,0.67,0.05,0.14,0,0,Matches
90,Ethan Ampadu,wls WAL,"DF,MF",Sheffield United,eng Premier League,19,2000,23.2,0,7,2,28.6,0.3,0.09,0,0,0,0,Matches
91,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,1996,27.1,0,10,4,40,0.37,0.15,0,0,0,0,Matches
92,Jon Ander Garrido,es ESP,MF,Cádiz,es La Liga,30,1989,8.9,0,5,1,20,0.56,0.11,0,0,0,0,Matches
93,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,1996,2.1,0,5,0,0,2.34,0,0,,0,0,Matches
94,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24,1996,30.3,1,13,3,23.1,0.43,0.1,0.08,0.33,0,0,Matches
95,Djavan Anderson,sr SUR,MF,Lazio,it Serie A,25,1995,0.8,0,0,0,,0,0,,,0,0,Matches
96,Elliot Anderson,eng ENG,MF,Newcastle United,eng Premier League,17,2002,0,0,0,0,,0,0,,,0,0,Matches
97,Felipe Anderson,br BRA,"FW,MF",West Ham United,eng Premier League,27,1993,0,0,0,0,,0,0,,,0,0,Matches
98,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,29,1991,12.5,3,39,13,33.3,3.12,1.04,0.05,0.15,1,1,Matches
99,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2,0,0,0,,0,0,,,0,0,Matches
100,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,29,1990,32.1,0,20,7,35,0.62,0.22,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
101,Marcos André,br BRA,FW,Valladolid,es La Liga,23,1996,13.1,4,32,12,37.5,2.45,0.92,0.13,0.33,0,0,Matches
102,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,25,1994,28.1,5,41,9,22,1.46,0.32,0.12,0.56,0,0,Matches
103,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,23,1996,18.6,0,6,1,16.7,0.32,0.05,0,0,0,0,Matches
104,Ángel,es ESP,GK,Granada,es La Liga,18,2002,1,0,0,0,,0,0,,,0,0,Matches
105,José Ángel,es ESP,DF,Eibar,es La Liga,30,1989,10,0,2,0,0,0.2,0,0,,0,0,Matches
106,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,1.5,0,1,0,0,0.67,0,0,,0,0,Matches
107,Angeliño,es ESP,"MF,DF",RB Leipzig,de Bundesliga,23,1997,24,4,35,13,37.1,1.46,0.54,0.11,0.31,0,0,Matches
108,Davide Angelo Ghislandi,it ITA,MF,Atalanta,it Serie A,19,2001,0.1,0,0,0,,0,0,,,0,0,Matches
109,Philip Ankhrah,gh GHA,FW,Hellas Verona,it Serie A,17,2002,0.1,0,0,0,,0,0,,,0,0,Matches
110,Cristian Ansaldi,ar ARG,MF,Torino,it Serie A,33,1986,21.6,1,18,7,38.9,0.83,0.32,0,0,1,1,Matches
111,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,30.1,0,13,4,30.8,0.43,0.13,0,0,0,0,Matches
112,Michail Antonio,jm JAM,FW,West Ham United,eng Premier League,30,1990,21.9,10,63,25,39.7,2.87,1.14,0.16,0.4,0,0,Matches
113,José Antonio Miranda,gq EQG,MF,Getafe,es La Liga,22,1998,0.3,0,1,0,0,3.46,0,0,,0,0,Matches
114,Valentin Antov,bg BUL,DF,Bologna,it Serie A,19,2000,2.6,0,1,0,0,0.39,0,0,,0,0,Matches
115,Houssem Aouar,dz ALG,MF,Lyon,fr Ligue 1,22,1998,19.8,7,70,27,38.6,3.54,1.36,0.07,0.19,2,2,Matches
116,Adil Aouchiche,dz ALG,"MF,FW",Saint-Étienne,fr Ligue 1,18,2002,19.2,2,26,12,46.2,1.35,0.62,0.08,0.17,0,0,Matches
117,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,1992,17.3,0,7,1,14.3,0.4,0.06,0,0,0,0,Matches
118,Aritz Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,1998,0.3,0,0,0,,0,0,,,0,0,Matches
119,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,24,1995,33.1,3,46,9,19.6,1.39,0.27,0.07,0.33,0,0,Matches
120,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,31,1989,18.5,0,4,2,50,0.22,0.11,0,0,0,0,Matches
121,Luiz Araújo,br BRA,MF,Lille,fr Ligue 1,24,1996,16.6,4,49,11,22.4,2.95,0.66,0.08,0.36,0,0,Matches
122,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,1991,27,0,6,1,16.7,0.22,0.04,0,0,0,0,Matches
123,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,21,1999,16.8,2,12,4,33.3,0.72,0.24,0.17,0.5,0,0,Matches
124,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,33,1987,31.2,0,27,2,7.4,0.87,0.06,0,0,0,0,Matches
125,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,1993,36,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
126,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28,1992,1,0,0,0,,0,0,,,0,0,Matches
127,Karim Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26,1994,3.3,0,8,2,25,2.45,0.61,0,0,0,0,Matches
128,Unai Arietaleanizbeaskoa,es ESP,FW,Eibar,es La Liga,21,1999,0.5,0,1,0,0,1.91,0,0,,0,0,Matches
129,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19,2001,0.1,0,0,0,,0,0,,,0,0,Matches
130,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,28,1992,30.7,4,54,11,20.4,1.76,0.36,0.07,0.36,0,0,Matches
131,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,26,1994,28.7,3,55,16,29.1,1.91,0.56,0.05,0.19,0,0,Matches
132,Tolu Arokodare,ng NGA,FW,Köln,de Bundesliga,19,2000,1.2,0,3,1,33.3,2.41,0.8,0,0,0,0,Matches
133,Sergio Arribas,es ESP,MF,Real Madrid,es La Liga,18,2001,1.5,0,1,1,100,0.67,0.67,0,0,0,0,Matches
134,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,6.5,0,0,0,,0,0,,,0,0,Matches
135,Tolgay Arslan,de GER,MF,Udinese,it Serie A,29,1990,20.2,3,22,6,27.3,1.09,0.3,0.14,0.5,0,0,Matches
136,Kwadwo Asamoah,gh GHA,MF,Cagliari,it Serie A,31,1988,2.5,0,2,1,50,0.8,0.4,0,0,0,0,Matches
137,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,23,1997,8.5,1,7,3,42.9,0.83,0.35,0.14,0.33,0,0,Matches
138,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,31,1989,36,0,0,0,,0,0,,,0,0,Matches
139,Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,24,1996,20.8,5,39,12,30.8,1.88,0.58,0.13,0.42,0,0,Matches
140,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,19,2001,1.1,0,1,0,0,0.95,0,0,,0,0,Matches
141,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,32,1987,31.8,14,51,28,54.9,1.6,0.88,0.18,0.32,5,5,Matches
142,Roger Assalé,ci CIV,"MF,FW",Dijon,fr Ligue 1,26,1993,9.2,1,10,3,30,1.09,0.33,0.1,0.33,0,0,Matches
143,Youcef Atal,dz ALG,"MF,DF",Nice,fr Ligue 1,24,1996,10.6,1,8,5,62.5,0.75,0.47,0.13,0.2,0,0,Matches
144,Miguel Atienza,es ESP,MF,Eibar,es La Liga,21,1999,9.3,0,5,0,0,0.54,0,0,,0,0,Matches
145,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Arsenal,eng Premier League,31,1989,25.9,10,57,22,38.6,2.2,0.85,0.14,0.36,2,2,Matches
146,Emil Audero,id IDN,GK,Sampdoria,it Serie A,23,1997,37,0,0,0,,0,0,,,0,0,Matches
147,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,25,1994,35.7,1,8,3,37.5,0.22,0.08,0.13,0.33,0,0,Matches
148,Jean-Kévin Augustin,fr FRA,FW,Nantes,fr Ligue 1,23,1997,0.4,0,0,0,,0,0,,,0,0,Matches
149,Ludwig Augustinsson,se SWE,"MF,DF",Werder Bremen,de Bundesliga,26,1994,21.7,0,17,6,35.3,0.78,0.28,0,0,0,0,Matches
150,Serge Aurier,ci CIV,"DF,MF",Tottenham Hotspur,eng Premier League,27,1992,17.8,2,15,6,40,0.84,0.34,0.13,0.33,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
151,Charlie Austin,eng ENG,FW,West Brom,eng Premier League,31,1989,1.5,0,3,0,0,1.96,0,0,,0,0,Matches
152,Ezequiel Ávila,ar ARG,"MF,FW",Osasuna,es La Liga,26,1994,2.2,0,8,2,25,3.56,0.89,0,0,0,0,Matches
153,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,22,1997,15.1,5,30,13,43.3,1.99,0.86,0.17,0.38,0,0,Matches
154,Mehmet Aydin,de GER,MF,Schalke 04,de Bundesliga,18,2002,5.6,0,1,0,0,0.18,0,0,,0,0,Matches
155,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,28,1991,23.3,1,26,11,42.3,1.12,0.47,0.04,0.09,0,0,Matches
156,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,25,1994,8.8,0,5,0,0,0.57,0,0,,0,0,Matches
157,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,28,1991,37.8,0,24,6,25,0.64,0.16,0,0,0,0,Matches
158,Ramon Azeez,ng NGA,MF,Granada,es La Liga,27,1992,1.1,0,2,0,0,1.78,0,0,,0,0,Matches
159,César Azpilicueta,es ESP,"DF,MF",Chelsea,eng Premier League,30,1989,24.3,1,11,4,36.4,0.45,0.16,0.09,0.25,0,0,Matches
160,Ludovic Baal,gf GUF,DF,Brest,fr Ligue 1,34,1986,3.3,0,0,0,,0,0,,,0,0,Matches
161,Carlos Bacca,co COL,FW,Villarreal,es La Liga,33,1986,8.7,5,20,12,60,2.29,1.37,0.25,0.42,0,0,Matches
162,Loïc Bade,fr FRA,DF,Lens,fr Ligue 1,20,2000,29,0,11,3,27.3,0.38,0.1,0,0,0,0,Matches
163,Milan Badelj,hr CRO,MF,Genoa,it Serie A,31,1989,26.8,1,17,4,23.5,0.64,0.15,0.06,0.25,0,0,Matches
164,Édgar Badía,es ESP,GK,Elche,es La Liga,28,1992,30,0,0,0,,0,0,,,0,0,Matches
165,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,19,2001,31.9,2,24,4,16.7,0.75,0.13,0.08,0.5,0,0,Matches
166,Alex Baena,es ESP,MF,Villarreal,es La Liga,19,2001,1.5,0,2,1,50,1.31,0.66,0,0,0,0,Matches
167,Miguel Baeza,es ESP,MF,Celta Vigo,es La Liga,20,2000,6,1,12,4,33.3,1.99,0.66,0.08,0.25,0,0,Matches
168,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,28,1992,18,6,60,26,43.3,3.34,1.45,0.1,0.23,0,1,Matches
169,Leon Bailey,jm JAM,"FW,MF",Leverkusen,de Bundesliga,22,1997,23.8,9,58,21,36.2,2.44,0.88,0.16,0.43,0,0,Matches
170,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,26,1994,10.2,0,2,0,0,0.2,0,0,,0,0,Matches
171,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,18,2001,1,0,0,0,,0,0,,,0,0,Matches
172,Tiemoué Bakayoko,fr FRA,MF,Napoli,it Serie A,25,1994,21.8,2,16,4,25,0.73,0.18,0.13,0.5,0,0,Matches
173,Mitchel Bakker,nl NED,"DF,MF",Paris Saint-Germain,fr Ligue 1,20,2000,18.8,0,3,3,100,0.16,0.16,0,0,0,0,Matches
174,Ridle Baku,de GER,"MF,DF",Wolfsburg,de Bundesliga,22,1998,29.8,6,35,13,37.1,1.18,0.44,0.17,0.46,0,0,Matches
175,Ridle Baku,de GER,DF,Mainz 05,de Bundesliga,22,1998,2,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
176,Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,fr Ligue 1,17,2002,0.6,0,3,2,66.7,4.82,3.21,0,0,0,0,Matches
177,Fabián Balbuena,py PAR,DF,West Ham United,eng Premier League,28,1991,13.3,1,8,2,25,0.6,0.15,0.13,0.5,0,0,Matches
178,Keita Baldé,sn SEN,FW,Sampdoria,it Serie A,25,1995,13.3,7,44,19,43.2,3.31,1.43,0.16,0.37,0,0,Matches
179,George Baldock,gr GRE,"MF,DF",Sheffield United,eng Premier League,27,1993,31,0,14,3,21.4,0.45,0.1,0,0,0,0,Matches
180,Gareth Bale,wls WAL,MF,Tottenham Hotspur,eng Premier League,31,1989,10.2,11,38,19,50,3.72,1.86,0.29,0.58,0,0,Matches
181,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,32,1988,18.8,0,3,1,33.3,0.16,0.05,0,0,0,0,Matches
182,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,21,1999,18.2,2,13,5,38.5,0.72,0.28,0.15,0.4,0,0,Matches
183,Fodé Ballo-Touré,sn SEN,DF,Monaco,fr Ligue 1,23,1997,7.4,0,2,1,50,0.27,0.14,0,0,0,0,Matches
184,Botond Balogh,hu HUN,DF,Parma,it Serie A,18,2002,1.8,0,0,0,,0,0,,,0,0,Matches
