Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,0,0,0,,0,0,,,0,0,Matches
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,0,18,5,27.8,0.91,0.25,0,0,0,0,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,3,15,6,40,0.47,0.19,0.2,0.5,0,0,Matches
4,Sabit Abdulai,GHA,MF,Getafe,es La Liga,21,1999,0.7,0,0,0,,0,0,,,0,0,Matches
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,0,20,0,0,1.36,0,0,,0,0,Matches
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,3,29,10,34.5,0.88,0.3,0.1,0.3,0,0,Matches
7,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,10.1,3,19,4,21.1,1.87,0.39,0.16,0.75,0,0,Matches
8,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0,0,0,0,,0,0,,,0,0,Matches
9,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14,0,13,4,30.8,0.93,0.29,0,0,0,0,Matches
10,David Abraham,ar ARG,DF,Eintracht Frankfurt,de Bundesliga,34,1986,13.6,1,10,2,20,0.74,0.15,0.1,0.5,0,0,Matches
11,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,6,32,13,40.6,2.77,1.13,0.19,0.46,0,0,Matches
12,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,30,1990,0.7,0,0,0,,0,0,,,0,0,Matches
13,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,1994,4.9,0,9,0,0,1.84,0,0,,0,0,Matches
14,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,0,9,1,11.1,0.29,0.03,0,0,0,0,Matches
15,Ragnar Ache,de GER,FW,Eintracht Frankfurt,de Bundesliga,22,1998,1.1,1,2,1,50,1.8,0.9,0.5,1,0,0,Matches
16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,1,18,2,11.1,0.7,0.08,0.06,0.5,0,0,Matches
17,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,9,55,31,56.4,1.86,1.05,0.16,0.29,0,0,Matches
18,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,21,1999,20.6,1,7,4,57.1,0.34,0.19,0.14,0.25,0,0,Matches
