Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Ismael Aaneba,fr FRA,"MF,DF",Strasbourg,fr Ligue 1,19,1999,2.3,0,0,0,,0,0,,,0,0,Matches
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,3,45,12,26.7,1.27,0.34,0.07,0.25,0,0,Matches
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,0,1,1,100,0.07,0.07,0,0,0,0,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,0,20,6,30,0.53,0.16,0,0,0,0,Matches
5,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,3,37,11,29.7,1.65,0.49,0.05,0.18,1,1,Matches
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,18,2000,0.4,0,1,0,0,2.81,0,0,,0,0,Matches
7,David Abraham,ar ARG,DF,Eintracht Frankfurt,de Bundesliga,32,1986,15.8,0,5,1,20,0.32,0.06,0,0,0,0,Matches
8,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,0,8,3,37.5,0.91,0.34,0,0,0,0,Matches
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,3,20,9,45,0.54,0.24,0.15,0.33,0,0,Matches
10,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,2,22,7,31.8,1.31,0.42,0.09,0.29,0,0,Matches
11,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8,0,2,1,50,0.25,0.12,0,0,0,0,Matches
12,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1,0,0,0,,0,0,,,0,0,Matches
13,Aday,es ESP,"MF,DF",Girona,es La Liga,30,1987,7.2,0,9,3,33.3,1.26,0.42,0,0,0,0,Matches
14,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,0,8,0,0,0.36,0,0,,0,0,Matches
