Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
43,Raúl Albentosa,es ESP,DF,Dep La Coruña,es La Liga,28,1988,19.4,1,11,2,18.2,0.57,0.1,0.09,0.5,0,0,Matches
44,Luis Alberto,es ESP,"FW,MF",Lazio,it Serie A,24,1992,29.7,11,81,26,32.1,2.73,0.88,0.12,0.38,1,2,Matches
45,Raúl Albiol,es ESP,DF,Napoli,it Serie A,31,1985,30.5,3,17,7,41.2,0.56,0.23,0.18,0.43,0,0,Matches
46,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,26,1990,7.8,0,4,1,25,0.51,0.13,0,0,0,0,Matches
47,Marc Albrighton,eng ENG,MF,Leicester City,eng Premier League,27,1989,28.2,2,20,6,30,0.71,0.21,0.1,0.33,0,0,Matches
48,Paco Alcácer,es ESP,"MF,FW",Barcelona,es La Liga,23,1993,7.7,4,15,7,46.7,1.94,0.91,0.27,0.57,0,0,Matches
49,Pedro Alcalá,es ESP,DF,Girona,es La Liga,28,1989,7.7,1,8,3,37.5,1.04,0.39,0.13,0.33,0,0,Matches
50,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,26,1991,13.9,2,24,6,25,1.73,0.43,0.08,0.33,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
51,David Alcibiade,fr FRA,DF,Nantes,fr Ligue 1,25,1991,2.3,0,2,0,0,0.87,0,0,,0,0,Matches
52,Toby Alderweireld,be BEL,DF,Tottenham Hotspur,eng Premier League,28,1989,13.1,0,10,1,10,0.76,0.08,0,0,0,0,Matches
53,Steve Aldo One,cm CMR,DF,Dep La Coruña,es La Liga,22,1995,1,0,0,0,,0,0,,,0,0,Matches
54,Álex Alegría,es ESP,FW,Levante,es La Liga,24,1992,7,0,14,2,14.3,2.01,0.29,0,0,0,0,Matches
55,Iván Alejo,es ESP,MF,Eibar,es La Liga,22,1995,12.2,1,13,3,23.1,1.06,0.25,0.08,0.33,0,0,Matches
56,Alexander,ar ARG,MF,Leganés,es La Liga,28,1988,11.8,2,19,6,31.6,1.61,0.51,0.05,0.17,1,1,Matches
57,Trent Alexander-Arnold,eng ENG,"DF,MF",Liverpool,eng Premier League,18,1998,17.5,1,12,5,41.7,0.69,0.29,0.08,0.2,0,0,Matches
58,Alexis,es ESP,DF,Alavés,es La Liga,31,1985,24.3,1,14,3,21.4,0.58,0.12,0.07,0.33,0,0,Matches
59,Alisson,br BRA,GK,Roma,it Serie A,24,1992,37,0,0,0,,0,0,,,0,0,Matches
60,Allan,br BRA,MF,Napoli,it Serie A,26,1991,31.7,4,37,12,32.4,1.17,0.38,0.11,0.33,0,0,Matches
61,Joe Allen,wls WAL,MF,Stoke City,eng Premier League,27,1990,34.9,2,24,4,16.7,0.69,0.11,0.08,0.5,0,0,Matches
62,Dele Alli,eng ENG,MF,Tottenham Hotspur,eng Premier League,21,1996,32.9,9,68,17,25,2.07,0.52,0.13,0.53,0,0,Matches
63,Júnior Alonso,py PAR,DF,Lille,fr Ligue 1,24,1993,30.9,2,16,4,25,0.52,0.13,0.13,0.5,0,0,Matches
64,José Alonso Lara,es ESP,MF,Sevilla,es La Liga,17,2000,0.1,0,0,0,,0,0,,,0,0,Matches
65,Marcos Alonso,es ESP,MF,Chelsea,eng Premier League,26,1990,31.7,7,65,24,36.9,2.05,0.76,0.11,0.29,0,0,Matches
66,Ricky Álvarez,ar ARG,MF,Sampdoria,it Serie A,29,1988,3,1,10,2,20,3.37,0.67,0.1,0.5,0,0,Matches
67,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,30,1986,16.4,0,0,0,,0,0,,,0,0,Matches
68,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,22,1995,7.5,0,2,0,0,0.27,0,0,,0,0,Matches
69,Dani Alves,br BRA,DF,Paris Saint-Germain,fr Ligue 1,34,1983,22.9,1,27,5,18.5,1.18,0.22,0.04,0.2,0,0,Matches
70,Ibrahim Amadou,fr FRA,"MF,DF",Lille,fr Ligue 1,24,1993,26.7,0,15,2,13.3,0.56,0.07,0,0,0,0,Matches
71,Eloi Amagat,es ESP,MF,Girona,es La Liga,32,1985,0.2,0,2,0,0,12,0,0,,0,0,Matches
72,Morgan Amalfitano,fr FRA,MF,Rennes,fr Ligue 1,32,1985,8.3,0,11,3,27.3,1.33,0.36,0,0,0,0,Matches
73,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,27,1989,30,0,12,0,0,0.4,0,0,,0,0,Matches
74,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,22,1994,5.4,0,0,0,,0,0,,,0,0,Matches
75,Jordi Amat,id IDN,"DF,MF",Real Betis,es La Liga,25,1992,22.7,0,8,1,12.5,0.35,0.04,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
76,Amath,sn SEN,MF,Getafe,es La Liga,21,1996,31.8,3,42,14,33.3,1.32,0.44,0.07,0.21,0,0,Matches
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,23,1994,24.4,0,20,5,25,0.82,0.21,0,0,0,0,Matches
78,Stephan Ambrosius,gh GHA,DF,Hamburger SV,de Bundesliga,18,1998,0.5,0,0,0,,0,0,,,0,0,Matches
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,19,1998,35,1,15,6,40,0.43,0.17,0.07,0.17,0,0,Matches
80,Nadiem Amiri,de GER,MF,Hoffenheim,de Bundesliga,20,1996,19.4,2,44,17,38.6,2.27,0.88,0.05,0.12,0,0,Matches
81,Ethan Ampadu,wls WAL,"DF,MF",Chelsea,eng Premier League,16,2000,0.1,0,0,0,,0,0,,,0,0,Matches
82,Nordin Amrabat,ma MAR,FW,Watford,eng Premier League,30,1987,2.2,0,1,0,0,0.45,0,0,,0,0,Matches
83,Nordin Amrabat,ma MAR,"MF,FW",Leganés,es La Liga,30,1987,18,2,37,18,48.6,2.05,1,0.05,0.11,0,0,Matches
84,Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,27,1989,1,0,0,0,,0,0,,,0,0,Matches
85,Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,21,1996,6.1,0,3,1,33.3,0.49,0.16,0,0,0,0,Matches
86,Felipe Anderson,br BRA,"FW,MF",Lazio,it Serie A,24,1993,12.9,4,26,11,42.3,2.01,0.85,0.15,0.36,0,0,Matches
87,Florin Andone,ro ROU,FW,Dep La Coruña,es La Liga,24,1993,18.2,7,57,22,38.6,3.14,1.21,0.12,0.32,0,1,Matches
88,Nícolas Andrade,br BRA,GK,Hellas Verona,it Serie A,29,1988,36,0,0,0,,0,0,,,0,0,Matches
89,Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,26,1990,33.5,3,32,9,28.1,0.96,0.27,0.09,0.33,0,0,Matches
90,Marco Andreolli,it ITA,DF,Cagliari,it Serie A,31,1986,20.3,0,4,1,25,0.2,0.05,0,0,0,0,Matches
91,Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,28,1989,23,1,5,2,40,0.22,0.09,0.2,0.5,0,0,Matches
92,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,27,1990,16,4,30,12,40,1.87,0.75,0.13,0.33,0,1,Matches
93,José Ángel,es ESP,DF,Eibar,es La Liga,27,1989,27,0,15,0,0,0.56,0,0,,0,0,Matches
94,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,33,1984,8.5,0,0,0,,0,0,,,0,0,Matches
95,Miguel Ángel Rubio,es ESP,DF,Getafe,es La Liga,19,1998,0.3,0,0,0,,0,0,,,0,0,Matches
96,Gabriele Angella,it ITA,DF,Udinese,it Serie A,28,1989,9.9,0,4,1,25,0.4,0.1,0,0,0,0,Matches
97,Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,30,1986,20.8,1,18,7,38.9,0.87,0.34,0.06,0.14,0,0,Matches
98,Luca Antei,it ITA,DF,Benevento,it Serie A,25,1992,6.6,0,1,1,100,0.15,0.15,0,0,0,0,Matches
99,Mirco Antenucci,it ITA,FW,SPAL,it Serie A,32,1984,28.6,11,65,24,36.9,2.28,0.84,0.09,0.25,5,5,Matches
100,Waldemar Anton,de GER,"DF,MF",Hannover 96,de Bundesliga,21,1996,25.3,1,23,5,21.7,0.91,0.2,0.04,0.2,0,0,Matches
