Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Patrick van Aanholt,nl NED,DF,Sunderland,eng Premier League,24,1990,33,4,,9,,,0.27,,0.44,0,0,Matches
2,Rolando Aarons,eng ENG,"DF,MF",Newcastle United,eng Premier League,19,1995,4.2,1,,1,,,0.24,,1,0,0,Matches
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,28,1986,25,1,,2,,,0.08,,0.5,0,0,Matches
4,Christian Abbiati,it ITA,GK,Milan,it Serie A,38,1977,0.8,0,,0,,,0,,,0,0,Matches
5,Aymen Abdennour,tn TUN,DF,Valencia,es La Liga,25,1989,20.6,0,6,2,33.3,0.29,0.1,0,0,0,0,Matches
6,Almen Abdi,ch SUI,MF,Watford,eng Premier League,28,1986,21.9,2,,10,,,0.46,,0.2,0,0,Matches
7,Rafidine Abdullah,km COM,MF,Lorient,fr Ligue 1,21,1994,6.4,1,,2,,,0.31,,0.5,0,0,Matches
8,David Abraham,ar ARG,DF,Eintracht Frankfurt,de Bundesliga,29,1986,28.3,0,,2,,,0.07,,0,0,0,Matches
9,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,17,1997,0.6,0,,0,,,0,,,0,0,Matches
10,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,27,1988,36,4,,8,,,0.22,,0.5,0,0,Matches
11,Robert Acquafresca,it ITA,FW,Bologna,it Serie A,27,1987,2.3,0,,1,,,0.43,,0,0,0,Matches
12,Afriyie Acquah,gh GHA,MF,Torino,it Serie A,23,1992,21,2,,7,,,0.33,,0.29,0,0,Matches
13,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,29,1985,11.6,1,,4,,,0.34,,0.25,0,0,Matches
14,Antonio Adán,es ESP,GK,Real Betis,es La Liga,28,1987,35.7,0,0,0,,0,0,,,0,0,Matches
15,Emmanuel Adebayor,tg TOG,FW,Crystal Palace,eng Premier League,31,1984,6.9,1,,4,,,0.58,,0.25,0,0,Matches
16,Jordan Adéoti,bj BEN,"MF,DF",Caen,fr Ligue 1,26,1989,19.1,0,,4,,,0.21,,0,0,0,Matches
17,Claud Adjapong,it ITA,"DF,MF",Sassuolo,it Serie A,17,1998,0.2,0,,0,,,0,,,0,0,Matches
18,René Adler,de GER,GK,Hamburger SV,de Bundesliga,30,1985,23,0,,0,,,0,,,0,0,Matches
19,Ali Adnan Kadhim,iq IRQ,"MF,DF",Udinese,it Serie A,21,1993,21.2,1,,3,,,0.14,,0.33,0,0,Matches
20,Adrián,es ESP,GK,West Ham United,eng Premier League,28,1987,32,0,,0,,,0,,,0,0,Matches
21,Adriano,br BRA,DF,Barcelona,es La Liga,30,1984,4.8,0,1,0,0,0.21,0,0,,0,0,Matches
22,Luiz Adriano,br BRA,FW,Milan,it Serie A,28,1987,13.3,4,,5,,,0.38,,0.6,1,1,Matches
23,Adryan,br BRA,"MF,FW",Nantes,fr Ligue 1,20,1994,15.8,3,,14,,,0.89,,0.21,0,0,Matches
24,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,34,1981,30.8,20,93,49,52.7,3.02,1.59,0.18,0.35,3,5,Matches
25,Ibrahim Afellay,nl NED,MF,Stoke City,eng Premier League,29,1986,23.4,2,,8,,,0.34,,0.25,0,0,Matches
