Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
57,Carles Aleñá,es ESP,MF,Real Betis,es La Liga,21,1998,8.2,1,12,4,33.3,1.47,0.49,0.08,0.25,0,0,Matches
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10,0,0,0,,0,0,,,0,0,Matches
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,4,44,13,29.5,1.25,0.37,0.09,0.31,0,0,Matches
60,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0,0,,0,0,,,0,0,Matches
61,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,6,58,22,37.9,3.34,1.27,0.1,0.27,0,0,Matches
62,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0,0,0,,0,0,,,0,0,Matches
63,Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,2,12,7,58.3,0.84,0.49,0.17,0.29,0,0,Matches
64,Dele Alli,eng ENG,"MF,FW",Tottenham Hotspur,eng Premier League,23,1996,20.5,8,42,19,45.2,2.05,0.93,0.17,0.37,1,1,Matches
65,Miguel Almirón,py PAR,"MF,FW",Newcastle United,eng Premier League,25,1994,33.6,4,55,17,30.9,1.64,0.51,0.07,0.24,0,0,Matches
66,Marcos Alonso,es ESP,"DF,MF",Chelsea,eng Premier League,28,1990,15.9,4,30,8,26.7,1.89,0.5,0.13,0.5,0,0,Matches
67,Mickaël Alphonse,gp GLP,"DF,MF",Dijon,fr Ligue 1,30,1989,15.3,0,8,0,0,0.52,0,0,,0,0,Matches
68,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2,0,0,0,,0,0,,,0,0,Matches
69,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,0,4,0,0,0.31,0,0,,0,0,Matches
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,0,12,2,16.7,0.38,0.06,0,0,0,0,Matches
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,0,24,1,4.2,0.81,0.03,0,0,0,0,Matches
72,Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,0,13,3,23.1,0.98,0.23,0,0,0,0,Matches
73,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,0,6,1,16.7,0.71,0.12,0,0,0,0,Matches
74,Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,0,5,1,20,0.58,0.12,0,0,0,0,Matches
75,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,1,11,2,18.2,0.58,0.11,0.09,0.5,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
76,Amath,sn SEN,"FW,MF",Getafe,es La Liga,23,1996,0.7,0,0,0,,0,0,,,0,0,Matches
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24,1,15,4,26.7,0.62,0.17,0.07,0.25,0,0,Matches
78,Thierry Ambrose,gp GLP,"FW,MF",Metz,fr Ligue 1,22,1997,6.1,0,23,4,17.4,3.78,0.66,0,0,0,0,Matches
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,0,8,3,37.5,0.44,0.17,0,0,0,0,Matches
80,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,22,1996,20.6,1,42,18,42.9,2.04,0.87,0.02,0.06,0,0,Matches
81,Ethan Ampadu,wls WAL,"DF,MF",RB Leipzig,de Bundesliga,18,2000,0.9,0,1,0,0,1.11,0,0,,0,0,Matches
82,Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,de Bundesliga,23,1996,5.6,0,16,5,31.3,2.88,0.9,0,0,0,0,Matches
83,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,1,19,7,36.8,0.59,0.22,0,0,1,1,Matches
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17,1,10,1,10,0.59,0.06,0.1,1,0,0,Matches
85,Djavan Anderson,sr SUR,MF,Lazio,it Serie A,24,1995,1.9,0,1,0,0,0.54,0,0,,0,0,Matches
86,Felipe Anderson,br BRA,MF,West Ham United,eng Premier League,26,1993,16.6,1,23,8,34.8,1.38,0.48,0.04,0.13,0,0,Matches
87,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,12,65,38,58.5,2.18,1.28,0.17,0.29,1,2,Matches
88,Florin Andone,ro ROU,FW,Brighton,eng Premier League,26,1993,0.8,1,1,1,100,1.23,1.23,1,1,0,0,Matches
89,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,2,14,3,21.4,0.61,0.13,0.14,0.67,0,0,Matches
90,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,0,0,0,,0,0,,,0,0,Matches
91,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,1,49,7,14.3,1.71,0.24,0.02,0.14,0,0,Matches
92,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,0,4,0,0,0.35,0,0,,0,0,Matches
93,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,1,14,6,42.9,1.59,0.68,0.07,0.17,0,1,Matches
94,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,1,24,7,29.2,0.92,0.27,0.04,0.14,0,0,Matches
95,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,0,0,0,,0,0,,,0,0,Matches
96,Angeliño,es ESP,"MF,DF",RB Leipzig,de Bundesliga,22,1997,12.2,1,5,2,40,0.41,0.16,0.2,0.5,0,0,Matches
97,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,0,5,0,0,1.06,0,0,,0,0,Matches
98,Faustino Anjorin,eng ENG,MF,Chelsea,eng Premier League,17,2001,0.2,0,1,0,0,4.5,0,0,,0,0,Matches
99,Peter Ankersen,dk DEN,"MF,DF",Genoa,it Serie A,28,1990,11.8,0,13,3,23.1,1.1,0.25,0,0,0,0,Matches
100,Cristian Ansaldi,ar ARG,MF,Torino,it Serie A,32,1986,19.6,4,29,8,27.6,1.48,0.41,0.14,0.5,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
101,Janis Antiste,fr FRA,"FW,MF",Toulouse,fr Ligue 1,16,2002,0.1,0,1,0,0,7.5,0,0,,0,0,Matches
102,Michail Antonio,jm JAM,"FW,MF",West Ham United,eng Premier League,29,1990,19.6,10,68,31,45.6,3.46,1.58,0.13,0.29,1,1,Matches
103,Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,1987,11.4,0,1,0,0,0.09,0,0,,0,0,Matches
104,Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,1999,0.9,0,3,0,0,3.29,0,0,,0,0,Matches
105,Vitorino Antunes,pt POR,DF,Getafe,es La Liga,32,1987,0.1,0,0,0,,0,0,,,0,0,Matches
106,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,1994,27.4,1,46,8,17.4,1.68,0.29,0.02,0.13,0,0,Matches
107,Anuar,ma MAR,MF,Valladolid,es La Liga,24,1995,2.1,0,1,0,0,0.48,0,0,,0,0,Matches
108,Houssem Aouar,dz ALG,MF,Lyon,fr Ligue 1,21,1998,21.7,3,46,18,39.1,2.12,0.83,0.07,0.17,0,0,Matches
109,Adil Aouchiche,dz ALG,MF,Paris Saint-Germain,fr Ligue 1,17,2002,0.7,0,0,0,,0,0,,,0,0,Matches
110,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,0,1,0,0,0.06,0,0,,0,0,Matches
111,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,1,47,7,14.9,1.38,0.21,0.02,0.14,0,0,Matches
112,Guilherme Arana,br BRA,"DF,MF",Atalanta,it Serie A,22,1997,0.9,0,0,0,,0,0,,,0,0,Matches
113,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,1,16,2,12.5,0.68,0.08,0.06,0.5,0,0,Matches
114,Luiz Araújo,br BRA,"MF,FW",Lille,fr Ligue 1,23,1996,9.2,2,24,11,45.8,2.61,1.2,0.08,0.18,0,0,Matches
115,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,1,13,3,23.1,0.41,0.09,0.08,0.33,0,0,Matches
116,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,0,1,0,0,0.38,0,0,,0,0,Matches
117,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,1,14,2,14.3,0.63,0.09,0.07,0.5,0,0,Matches
118,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4,0,0,0,,0,0,,,0,0,Matches
119,Alphonse Areola,fr FRA,GK,Paris Saint-Germain,fr Ligue 1,26,1993,3,0,0,0,,0,0,,,0,0,Matches
120,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12,0,6,2,33.3,0.5,0.17,0,0,0,0,Matches
121,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0,0,0,0,,0,0,,,0,0,Matches
122,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,27,1992,19.1,5,46,20,43.5,2.41,1.05,0.11,0.25,0,0,Matches
123,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,24,1995,8.8,2,21,6,28.6,2.39,0.68,0.1,0.33,0,0,Matches
124,José Arnaiz,es ESP,MF,Leganés,es La Liga,24,1995,3.7,0,10,4,40,2.67,1.07,0,0,0,0,Matches
125,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,4,63,16,25.4,2.01,0.51,0.06,0.25,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
126,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33,0,0,0,,0,0,,,0,0,Matches
127,Kwadwo Asamoah,gh GHA,MF,Inter,it Serie A,30,1988,7.1,0,3,1,33.3,0.42,0.14,0,0,0,0,Matches
128,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7,0,2,0,0,0.28,0,0,,0,0,Matches
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34,0,0,0,,0,0,,,0,0,Matches
130,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,3,8,5,62.5,2.14,1.34,0.38,0.6,0,0,Matches
131,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.8,1,1,1,100,1.18,1.18,1,1,0,0,Matches
132,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,14,84,40,47.6,2.32,1.1,0.11,0.23,5,7,Matches
133,Roger Assalé,ci CIV,"MF,FW",Leganés,es La Liga,25,1993,5.9,2,11,6,54.5,1.86,1.02,0.18,0.33,0,0,Matches
134,Youcef Atal,dz ALG,"FW,MF",Nice,fr Ligue 1,23,1996,11.1,1,19,9,47.4,1.7,0.81,0.05,0.11,0,0,Matches
135,Miguel Atienza,es ESP,MF,Eibar,es La Liga,20,1999,0.3,0,2,0,0,6,0,0,,0,0,Matches
136,Christian Atsu,gh GHA,MF,Newcastle United,eng Premier League,27,1992,8.3,0,5,1,20,0.6,0.12,0,0,0,0,Matches
137,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Arsenal,eng Premier League,30,1989,34.8,22,93,42,45.2,2.67,1.21,0.22,0.48,2,2,Matches
138,Emil Audero,id IDN,GK,Sampdoria,it Serie A,22,1997,36,0,0,0,,0,0,,,0,0,Matches
139,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,0,0,0,,0,0,,,0,0,Matches
140,Jean-Kévin Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3,0,7,3,42.9,2.37,1.02,0,0,0,0,Matches
141,Ludwig Augustinsson,se SWE,"MF,DF",Werder Bremen,de Bundesliga,25,1994,10.3,0,5,0,0,0.49,0,0,,0,0,Matches
142,Serge Aurier,ci CIV,"DF,MF",Tottenham Hotspur,eng Premier League,26,1992,30,1,13,4,30.8,0.43,0.13,0.08,0.25,0,0,Matches
143,Mathias Autret,fr FRA,"MF,FW",Brest,fr Ligue 1,28,1991,13.6,2,27,9,33.3,1.99,0.66,0.07,0.22,0,0,Matches
144,Ezequiel Ávila,ar ARG,FW,Osasuna,es La Liga,25,1994,17.7,9,70,28,40,3.96,1.58,0.13,0.32,0,0,Matches
145,Javier Avilés,es ESP,FW,Leganés,es La Liga,21,1997,2,1,5,2,40,2.45,0.98,0.2,0.5,0,0,Matches
146,Chidozie Awaziem,ng NGA,DF,Leganés,es La Liga,22,1997,22.2,0,11,0,0,0.5,0,0,,0,0,Matches
147,Taiwo Awoniyi,ng NGA,"MF,FW",Mainz 05,de Bundesliga,21,1997,5.4,1,14,3,21.4,2.61,0.56,0.07,0.33,0,0,Matches
148,Florian Ayé,fr FRA,"FW,MF",Brescia,it Serie A,22,1997,15.3,0,22,7,31.8,1.43,0.46,0,0,0,0,Matches
149,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,27,1991,35,9,58,24,41.4,1.66,0.69,0.16,0.38,0,0,Matches
150,Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,24,1994,30.3,2,29,6,20.7,0.96,0.2,0.07,0.33,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
151,Ramon Azeez,ng NGA,MF,Granada,es La Liga,26,1992,15.1,2,20,4,20,1.32,0.26,0.1,0.5,0,0,Matches
152,César Azpilicueta,es ESP,"DF,MF",Chelsea,eng Premier League,29,1989,35.9,2,29,6,20.7,0.81,0.17,0.07,0.33,0,0,Matches
153,Ludovic Baal,gf GUF,DF,Brest,fr Ligue 1,33,1986,9.2,0,2,0,0,0.22,0,0,,0,0,Matches
154,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,23,1996,32.3,0,15,2,13.3,0.47,0.06,0,0,0,0,Matches
155,Khouma Babacar,sn SEN,FW,Lecce,it Serie A,26,1993,15.8,3,49,19,38.8,3.1,1.2,0.06,0.16,0,2,Matches
156,Carlos Bacca,co COL,FW,Villarreal,es La Liga,32,1986,7.6,2,18,6,33.3,2.35,0.78,0.11,0.33,0,0,Matches
157,Milan Badelj,hr CRO,MF,Fiorentina,it Serie A,30,1989,17.6,1,15,2,13.3,0.85,0.11,0.07,0.5,0,0,Matches
158,Matthias Bader,de GER,"DF,MF",Köln,de Bundesliga,22,1997,0.1,0,0,0,,0,0,,,0,0,Matches
159,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,18,2001,15.7,0,10,3,30,0.64,0.19,0,0,0,0,Matches
160,Bastian Badu,fr FRA,FW,Montpellier,fr Ligue 1,19,2000,0.1,0,1,1,100,10,10,0,0,0,0,Matches
161,Alex Baena,es ESP,"FW,MF",Villarreal,es La Liga,18,2001,0.2,0,0,0,,0,0,,,0,0,Matches
162,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,27,1992,10.1,4,19,9,47.4,1.89,0.89,0.16,0.33,1,1,Matches
163,Daniel Baier,de GER,MF,Augsburg,de Bundesliga,35,1984,21.6,1,16,2,12.5,0.74,0.09,0.06,0.5,0,0,Matches
164,Leon Bailey,jm JAM,"MF,FW",Leverkusen,de Bundesliga,21,1997,12.1,5,29,11,37.9,2.39,0.91,0.17,0.45,0,0,Matches
165,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,25,1994,1.7,0,0,0,,0,0,,,0,0,Matches
166,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,26,1993,14.1,1,3,1,33.3,0.21,0.07,0.33,1,0,0,Matches
167,Leighton Baines,eng ENG,"DF,MF",Everton,eng Premier League,34,1984,4.5,0,1,0,0,0.22,0,0,,0,0,Matches
168,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,17,2001,1,0,0,0,,0,0,,,0,0,Matches
169,Tiemoué Bakayoko,fr FRA,MF,Monaco,fr Ligue 1,24,1994,19.1,1,24,7,29.2,1.26,0.37,0.04,0.14,0,0,Matches
170,Lewis Baker,eng ENG,MF,Düsseldorf,de Bundesliga,24,1995,6.1,0,12,5,41.7,1.98,0.83,0,0,0,0,Matches
171,Mitchel Bakker,nl NED,DF,Paris Saint-Germain,fr Ligue 1,19,2000,1,0,0,0,,0,0,,,0,0,Matches
172,Ridle Baku,de GER,"MF,DF",Mainz 05,de Bundesliga,21,1998,26.1,1,22,6,27.3,0.84,0.23,0.05,0.17,0,0,Matches
173,Fabián Balbuena,py PAR,DF,West Ham United,eng Premier League,27,1991,13.1,1,10,4,40,0.76,0.31,0.1,0.25,0,0,Matches
174,Keita Baldé,sn SEN,"MF,FW",Monaco,fr Ligue 1,24,1995,9.5,4,27,13,48.1,2.83,1.36,0.15,0.31,0,0,Matches
175,George Baldock,gr GRE,MF,Sheffield United,eng Premier League,26,1993,38,2,13,5,38.5,0.34,0.13,0.15,0.4,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
176,Gareth Bale,wls WAL,"FW,MF",Real Madrid,es La Liga,30,1989,12.1,2,34,12,35.3,2.81,0.99,0.06,0.17,0,0,Matches
177,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,31,1988,6.3,0,3,0,0,0.48,0,0,,0,0,Matches
178,Leonardo Balerdi,ar ARG,DF,Dortmund,de Bundesliga,20,1999,1.5,0,0,0,,0,0,,,0,0,Matches
179,Marco Ballarini,it ITA,MF,Udinese,it Serie A,18,2001,0,0,0,0,,0,0,,,0,0,Matches
180,Fodé Ballo-Touré,sn SEN,"DF,MF",Monaco,fr Ligue 1,22,1997,18.7,0,6,2,33.3,0.32,0.11,0,0,0,0,Matches
181,Florent Balmont,fr FRA,MF,Dijon,fr Ligue 1,39,1980,4.5,0,7,2,28.6,1.57,0.45,0,0,0,0,Matches
182,Mario Balotelli,it ITA,FW,Brescia,it Serie A,28,1990,15.6,5,72,25,34.7,4.62,1.6,0.07,0.2,0,0,Matches
183,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,29,1990,6.2,0,0,0,,0,0,,,0,0,Matches
