Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,3,27,6,22.2,0.97,0.22,0.07,0.33,1,1,Matches
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,0,14,4,28.6,0.39,0.11,0,0,0,0,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,3,19,5,26.3,0.68,0.18,0.16,0.6,0,0,Matches
4,Suleiman Abdullahi,ng NGA,MF,Union Berlin,de Bundesliga,22,1996,1.7,1,6,3,50,3.44,1.72,0.17,0.33,0,0,Matches
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,1,33,7,21.2,1.63,0.35,0.03,0.14,0,0,Matches
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,0,5,0,0,0.72,0,0,,0,0,Matches
7,David Abraham,ar ARG,DF,Eintracht Frankfurt,de Bundesliga,33,1986,18.8,2,7,4,57.1,0.37,0.21,0.29,0.5,0,0,Matches
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,15,88,40,45.5,3.58,1.63,0.17,0.38,0,0,Matches
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,0,4,2,50,0.54,0.27,0,0,0,0,Matches
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2,16,5,31.3,0.46,0.14,0.13,0.4,0,0,Matches
11,Che Adams,sct SCO,FW,Southampton,eng Premier League,23,1996,12.3,4,36,10,27.8,2.92,0.81,0.11,0.4,0,0,Matches
12,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,20,1999,10.6,0,7,1,14.3,0.66,0.09,0,0,0,0,Matches
13,Sargis Adamyan,am ARM,"MF,FW",Hoffenheim,de Bundesliga,26,1993,8.3,5,21,12,57.1,2.53,1.45,0.24,0.42,0,0,Matches
14,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0,0,0,,0,0,,,0,0,Matches
15,Bobby Adekanye,nl NED,"FW,MF",Lazio,it Serie A,20,1999,2.1,1,5,4,80,2.39,1.91,0.2,0.25,0,0,Matches
16,Claud Adjapong,it ITA,MF,Hellas Verona,it Serie A,21,1998,2.6,0,3,1,33.3,1.17,0.39,0,0,0,0,Matches
17,Amine Adli,ma MAR,"FW,MF",Toulouse,fr Ligue 1,19,2000,0.5,0,0,0,,0,0,,,0,0,Matches
18,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,19,2000,11.3,3,17,6,35.3,1.5,0.53,0.18,0.5,0,0,Matches
19,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,0,0,0,,0,0,,,0,0,Matches
20,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,1,7,3,42.9,3.03,1.3,0.14,0.33,0,1,Matches
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,1,14,2,14.3,0.7,0.1,0.07,0.5,0,0,Matches
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1,4,2,50,0.17,0.09,0.25,0.5,0,0,Matches
23,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,0,0,0,,0,0,,,0,0,Matches
24,Kevin Agudelo,co COL,MF,Fiorentina,it Serie A,20,1998,0.7,0,4,0,0,5.63,0,0,,0,0,Matches
25,Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,1,10,2,20,1.35,0.27,0.1,0.5,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,1,4,1,25,0.38,0.09,0.25,1,0,0,Matches
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,16,76,28,36.8,4.71,1.74,0.18,0.5,2,3,Matches
28,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,26,1993,11.9,0,6,2,33.3,0.5,0.17,0,0,0,0,Matches
29,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,it Serie A,28,1990,2.6,0,0,0,,0,0,,,0,0,Matches
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7,1,10,4,40,1.43,0.57,0.1,0.25,0,0,Matches
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,0,10,1,10,0.36,0.04,0,0,0,0,Matches
32,Ola Aina,ng NGA,MF,Torino,it Serie A,22,1996,23.1,0,12,2,16.7,0.52,0.09,0,0,0,0,Matches
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6,0,2,0,0,0.34,0,0,,0,0,Matches
34,Rayan Aït-Nouri,dz ALG,DF,Angers,fr Ligue 1,18,2001,14.2,0,4,0,0,0.28,0,0,,0,0,Matches
35,Albian Ajeti,ch SUI,FW,West Ham United,eng Premier League,22,1997,1.5,0,3,0,0,1.94,0,0,,0,0,Matches
36,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,25,1994,22.9,8,49,21,42.9,2.14,0.92,0.14,0.33,1,1,Matches
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,0,8,2,25,0.31,0.08,0,0,0,0,Matches
38,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,0,3,0,0,2.73,0,0,,0,0,Matches
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,2,25,7,28,0.9,0.25,0.08,0.29,0,0,Matches
40,Chadrac Akolo,cd COD,MF,Amiens,fr Ligue 1,24,1995,6,2,9,4,44.4,1.49,0.66,0.22,0.5,0,0,Matches
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,0,2,0,0,0.16,0,0,,0,0,Matches
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,1,19,7,36.8,0.68,0.25,0.05,0.14,0,0,Matches
43,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,15.6,0,9,4,44.4,0.58,0.26,0,0,0,0,Matches
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13,7,49,19,38.8,3.76,1.46,0.12,0.32,1,1,Matches
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,2,7,3,42.9,0.29,0.12,0.29,0.67,0,0,Matches
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,6,98,28,28.6,2.83,0.81,0.05,0.18,1,1,Matches
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,1,15,4,26.7,0.42,0.11,0.07,0.25,0,0,Matches
48,Marc Albrighton,eng ENG,MF,Leicester City,eng Premier League,29,1989,9.6,0,10,2,20,1.04,0.21,0,0,0,0,Matches
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,4,26,7,26.9,2.53,0.68,0.15,0.57,0,0,Matches
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,5,16,7,43.8,2.72,1.19,0.31,0.71,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,3,18,9,50,0.91,0.46,0.17,0.33,0,0,Matches
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,2,33,8,24.2,1.54,0.37,0.06,0.25,0,0,Matches
53,Toby Alderweireld,be BEL,DF,Tottenham Hotspur,eng Premier League,30,1989,32.9,2,15,4,26.7,0.46,0.12,0.13,0.5,0,0,Matches
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,1,2,1,50,0.09,0.05,0.5,1,0,0,Matches
55,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,0,0,0,,0,0,,,0,0,Matches
56,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,0,1,1,100,0.52,0.52,0,0,0,0,Matches
