Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32,0,13,2,15.4,0.41,0.06,0,0,0,0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,2,18,6,33.3,0.54,0.18,0.11,0.33,0,0,Matches
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,1,18,5,27.8,0.66,0.18,0.06,0.2,0,0,Matches
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,0,30,7,23.3,0.91,0.21,0,0,0,0,Matches
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,,0,0,,,0,0,Matches
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,0,18,4,22.2,2.23,0.5,0,0,0,0,Matches
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0,2,0,0,1.75,0,0,,0,0,Matches
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,17,95,39,41.1,2.77,1.14,0.15,0.36,3,3,Matches
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,0,2,1,50,0.32,0.16,0,0,0,0,Matches
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,4,15,7,46.7,0.53,0.25,0.27,0.57,0,0,Matches
11,Ragnar Ache,de GER,MF,Eintracht Frankfurt,de Bundesliga,23,1998,2.9,0,10,2,20,3.47,0.69,0,0,0,0,Matches
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0,0,0,,0,0,,,0,0,Matches
13,Marcos Acuña,ar ARG,"DF,MF",Sevilla,es La Liga,29,1991,25.1,1,16,5,31.3,0.64,0.2,0.06,0.2,0,0,Matches
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,7,49,24,49,2.16,1.06,0.14,0.29,0,0,Matches
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15,0,2,0,0,0.13,0,0,,0,0,Matches
16,Sargis Adamyan,am ARM,"MF,FW",Hoffenheim,de Bundesliga,28,1993,3.7,1,3,2,66.7,0.82,0.54,0.33,0.5,0,0,Matches
17,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,17,2003,3.9,0,4,1,25,1.02,0.26,0,0,0,0,Matches
18,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,21,2000,14,3,37,19,51.4,2.65,1.36,0.08,0.16,0,0,Matches
