Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
19,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,21,2000,25.1,1,32,15,46.9,1.27,0.6,0.03,0.07,0,0,Matches
20,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,0,2,2,100,0.41,0.41,0,0,0,0,Matches
21,Felix Afena-Gyan,gh GHA,"MF,FW",Roma,it Serie A,18,2003,7.4,2,17,7,41.2,2.29,0.94,0.12,0.29,0,0,Matches
22,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,25,1996,18,0,4,0,0,0.22,0,0,,0,0,Matches
23,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4,0,0,0,,0,0,,,0,0,Matches
24,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,0,15,1,6.7,0.72,0.05,0,0,0,0,Matches
25,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,22,1998,13.7,3,21,11,52.4,1.53,0.8,0.14,0.27,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,2,25,7,28,0.82,0.23,0.08,0.29,0,0,Matches
27,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,1,6,1,16.7,3.58,0.6,0.17,1,0,0,Matches
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,0,10,2,20,0.42,0.08,0,0,0,0,Matches
29,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,0,0,0,,0,0,,,0,0,Matches
30,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,19,2002,0.7,0,0,0,,0,0,,,0,0,Matches
31,Anel Ahmedhodžić,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15,0,8,4,50,0.53,0.27,0,0,0,0,Matches
32,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,1,17,2,11.8,1.52,0.18,0.06,0.5,0,0,Matches
33,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,0,6,1,16.7,0.2,0.03,0,0,0,0,Matches
34,Ola Aina,ng NGA,MF,Torino,it Serie A,24,1996,16,0,10,4,40,0.63,0.25,0,0,0,0,Matches
35,Rayan Aït-Nouri,dz ALG,MF,Wolves,eng Premier League,20,2001,20.3,1,13,4,30.8,0.64,0.2,0.08,0.25,0,0,Matches
36,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,1,7,1,14.3,0.32,0.05,0.14,1,0,0,Matches
37,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,27,1994,30.4,12,60,28,46.7,1.97,0.92,0.15,0.32,3,3,Matches
38,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,26,1995,25.1,1,13,3,23.1,0.52,0.12,0.08,0.33,0,0,Matches
39,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,28,1993,20.5,0,10,1,10,0.49,0.05,0,0,0,0,Matches
40,Marley Aké,fr FRA,"FW,MF",Juventus,it Serie A,20,2001,0.9,0,0,0,,0,0,,,0,0,Matches
41,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,26,1995,10.3,2,5,2,40,0.49,0.2,0.4,1,0,0,Matches
42,Ilias Akhomach,ma MAR,FW,Barcelona,es La Liga,17,2004,1.4,0,4,2,50,2.9,1.45,0,0,0,0,Matches
43,Maghnes Akliouche,fr FRA,MF,Monaco,fr Ligue 1,19,2002,0.6,0,2,1,50,3.33,1.67,0,0,0,0,Matches
44,Paul Akouokou,ci CIV,MF,Real Betis,es La Liga,23,1997,5.7,0,2,0,0,0.35,0,0,,0,0,Matches
45,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,28,1992,3.5,0,3,0,0,0.86,0,0,,0,0,Matches
46,Kevin Akpoguma,ng NGA,"DF,MF",Hoffenheim,de Bundesliga,26,1995,17,2,11,4,36.4,0.65,0.24,0.18,0.5,0,0,Matches
47,David Alaba,at AUT,DF,Real Madrid,es La Liga,29,1992,29.4,2,21,7,33.3,0.72,0.24,0.1,0.29,0,0,Matches
48,Sofiane Alakouch,ma MAR,"DF,MF",Metz,fr Ligue 1,23,1998,1.8,0,1,0,0,0.57,0,0,,0,0,Matches
49,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,22,1999,15.8,0,15,2,13.3,0.95,0.13,0,0,0,0,Matches
50,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,28,1992,7.3,6,23,15,65.2,3.16,2.06,0.26,0.4,0,1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
51,Jordi Alba,es ESP,DF,Barcelona,es La Liga,32,1989,29.4,2,31,6,19.4,1.06,0.2,0.06,0.33,0,0,Matches
52,Josué Albert,gf GUF,DF,Clermont Foot,fr Ligue 1,29,1992,0.2,0,1,0,0,4.09,0,0,,0,0,Matches
53,Luis Alberto,es ESP,MF,Lazio,it Serie A,28,1992,26.1,5,47,16,34,1.8,0.61,0.11,0.31,0,0,Matches
54,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,35,1985,27.4,0,5,1,20,0.18,0.04,0,0,0,0,Matches
55,Marc Albrighton,eng ENG,"MF,FW",Leicester City,eng Premier League,31,1989,12.6,1,4,1,25,0.32,0.08,0.25,1,0,0,Matches
56,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,27,1993,8.7,1,18,6,33.3,2.06,0.69,0.06,0.17,0,0,Matches
57,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,30,1991,17,1,25,6,24,1.47,0.35,0.04,0.17,0,0,Matches
58,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,30,1991,12.3,2,23,6,26.1,1.87,0.49,0.09,0.33,0,0,Matches
59,Omar Alderete,py PAR,DF,Valencia,es La Liga,24,1996,26.7,2,17,5,29.4,0.64,0.19,0.12,0.4,0,0,Matches
60,Iván Alejo,es ESP,MF,Cádiz,es La Liga,26,1995,11.8,2,12,4,33.3,1.01,0.34,0.17,0.5,0,0,Matches
61,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12,0,0,0,,0,0,,,0,0,Matches
62,Carles Aleñá,es ESP,MF,Getafe,es La Liga,23,1998,25.8,1,46,14,30.4,1.78,0.54,0.02,0.07,0,0,Matches
63,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,22,1998,31.7,2,51,15,29.4,1.61,0.47,0.04,0.13,0,0,Matches
64,Mohamed Ali Cho,fr FRA,FW,Angers,fr Ligue 1,17,2004,20.4,4,42,16,38.1,2.06,0.78,0.1,0.25,0,0,Matches
65,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36,0,0,0,,0,0,,,0,0,Matches
66,Allan,br BRA,MF,Everton,eng Premier League,30,1991,24.3,0,7,3,42.9,0.29,0.12,0,0,0,0,Matches
67,Jim Allevinah,ga GAB,"MF,FW",Clermont Foot,fr Ligue 1,26,1995,16.5,1,43,15,34.9,2.6,0.91,0.02,0.07,0,0,Matches
68,Dele Alli,eng ENG,MF,Tottenham Hotspur,eng Premier League,25,1996,7.3,1,4,3,75,0.55,0.41,0,0,1,1,Matches
69,Dele Alli,eng ENG,MF,Everton,eng Premier League,25,1996,3.8,0,3,0,0,0.8,0,0,,0,0,Matches
70,Miguel Almirón,py PAR,"MF,FW",Newcastle United,eng Premier League,27,1994,19.1,1,32,7,21.9,1.68,0.37,0.03,0.14,0,0,Matches
71,Marcos Alonso,es ESP,MF,Chelsea,eng Premier League,30,1990,24.1,4,43,11,25.6,1.79,0.46,0.09,0.36,0,0,Matches
72,Giorgio Altare,it ITA,DF,Cagliari,it Serie A,22,1998,16.3,1,18,6,33.3,1.11,0.37,0.06,0.17,0,0,Matches
73,Hugo Álvarez,es ESP,"DF,MF",Celta Vigo,es La Liga,18,2003,0.1,0,1,0,0,8.18,0,0,,0,0,Matches
74,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,26,1995,20.7,0,7,0,0,0.34,0,0,,0,0,Matches
75,Dani Alves,br BRA,DF,Barcelona,es La Liga,38,1983,12.2,1,5,2,40,0.41,0.16,0.2,0.5,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
76,Steven Alzate,co COL,MF,Brighton,eng Premier League,22,1998,4.5,0,1,1,100,0.22,0.22,0,0,0,0,Matches
77,Ibrahim Amadou,fr FRA,"DF,MF",Metz,fr Ligue 1,28,1993,9,1,3,2,66.7,0.33,0.22,0.33,0.5,0,0,Matches
78,Emmanuel Amankwaa Akurugu,gh GHA,MF,Getafe,es La Liga,19,2001,0.9,0,1,0,0,1.14,0,0,,0,0,Matches
79,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,26,1994,23.6,0,2,1,50,0.08,0.04,0,0,0,0,Matches
80,Amath,sn SEN,"MF,FW",Mallorca,es La Liga,25,1996,9.8,0,10,3,30,1.02,0.31,0,0,0,0,Matches
81,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,27,1994,4.6,0,0,0,,0,0,,,0,0,Matches
82,Jordan Amavi,fr FRA,"MF,DF",Marseille,fr Ligue 1,27,1994,1.4,0,0,0,,0,0,,,0,0,Matches
83,Wisdom Amey,it ITA,DF,Bologna,it Serie A,15,2005,0.8,0,0,0,,0,0,,,0,0,Matches
84,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,23,1998,29.4,1,26,9,34.6,0.88,0.31,0.04,0.11,0,0,Matches
85,Nadiem Amiri,de GER,MF,Genoa,it Serie A,24,1996,7.6,0,16,6,37.5,2.11,0.79,0,0,0,0,Matches
86,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,24,1996,4.1,1,8,2,25,1.95,0.49,0.13,0.5,0,0,Matches
87,Ethan Ampadu,wls WAL,"MF,DF",Venezia,it Serie A,20,2000,25.4,0,7,1,14.3,0.28,0.04,0,0,0,0,Matches
88,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,24,1996,10.5,1,4,3,75,0.38,0.29,0.25,0.33,0,0,Matches
89,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,25,1996,32.4,0,8,3,37.5,0.25,0.09,0,0,0,0,Matches
90,Felipe Anderson,br BRA,FW,Lazio,it Serie A,28,1993,32.1,6,44,16,36.4,1.37,0.5,0.14,0.38,0,0,Matches
91,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,30,1991,14,3,35,12,34.3,2.51,0.86,0.09,0.25,0,0,Matches
92,Florin Andone,ro ROU,FW,Cádiz,es La Liga,28,1993,2,0,3,1,33.3,1.53,0.51,0,0,0,0,Matches
93,Andrés Andrade Cedeño,pa PAN,DF,Arminia,de Bundesliga,22,1998,11.6,0,7,3,42.9,0.6,0.26,0,0,0,0,Matches
94,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,30,1990,30.6,2,16,5,31.3,0.52,0.16,0.13,0.4,0,0,Matches
95,Fredrik André Bjørkan,no NOR,DF,Hertha BSC,de Bundesliga,22,1998,3.9,0,0,0,,0,0,,,0,0,Matches
96,Marcos André,br BRA,"FW,MF",Valencia,es La Liga,24,1996,10.8,1,30,8,26.7,2.77,0.74,0.03,0.13,0,0,Matches
97,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,26,1994,20.2,4,29,8,27.6,1.44,0.4,0.14,0.5,0,0,Matches
98,José Ángel,es ESP,DF,Osasuna,es La Liga,31,1989,12,1,11,3,27.3,0.91,0.25,0.09,0.33,0,0,Matches
99,Angeliño,es ESP,"MF,DF",RB Leipzig,de Bundesliga,24,1997,25.5,2,13,7,53.8,0.51,0.27,0.15,0.29,0,0,Matches
100,Ebenezer Annan,gh GHA,DF,Bologna,it Serie A,18,2002,0.3,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
101,Cristian Ansaldi,ar ARG,MF,Torino,it Serie A,34,1986,7.7,0,7,1,14.3,0.91,0.13,0,0,0,0,Matches
102,Janis Antiste,fr FRA,"FW,MF",Spezia,it Serie A,18,2002,8.8,1,11,3,27.3,1.24,0.34,0.09,0.33,0,0,Matches
103,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,25,1996,28.8,2,24,6,25,0.83,0.21,0.08,0.33,0,0,Matches
104,Josep Antoni Gayá,es ESP,DF,Mallorca,es La Liga,21,2000,0.6,0,0,0,,0,0,,,0,0,Matches
105,Michail Antonio,jm JAM,FW,West Ham United,eng Premier League,31,1990,33,10,83,29,34.9,2.51,0.88,0.12,0.34,0,1,Matches
106,Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,de Bundesliga,27,1994,12.6,1,29,10,34.5,2.31,0.8,0.03,0.1,0,0,Matches
107,Houssem Aouar,dz ALG,MF,Lyon,fr Ligue 1,23,1998,27.8,6,76,24,31.6,2.73,0.86,0.08,0.25,0,0,Matches
108,Adil Aouchiche,dz ALG,MF,Saint-Étienne,fr Ligue 1,19,2002,12,0,21,10,47.6,1.75,0.83,0,0,0,0,Matches
109,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,29,1992,23.3,0,2,0,0,0.09,0,0,,0,0,Matches
110,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,25,1995,29.6,0,37,8,21.6,1.25,0.27,0,0,0,0,Matches
111,Mattia Aramu,it ITA,"MF,FW",Venezia,it Serie A,26,1995,23.3,7,59,19,32.2,2.53,0.81,0.07,0.21,3,4,Matches
112,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,32,1989,17.5,1,10,3,30,0.57,0.17,0.1,0.33,0,0,Matches
113,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,29,1991,29.1,0,8,1,12.5,0.28,0.03,0,0,0,0,Matches
114,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,22,1999,25.2,4,18,10,55.6,0.71,0.4,0.22,0.4,0,0,Matches
115,Cameron Archer,eng ENG,"FW,MF",Aston Villa,eng Premier League,20,2001,0.3,0,1,0,0,3.33,0,0,,0,0,Matches
116,Alphonse Areola,fr FRA,GK,West Ham United,eng Premier League,28,1993,1,0,0,0,,0,0,,,0,0,Matches
117,Jesús Areso,es ESP,DF,Osasuna,es La Liga,22,1999,2.1,0,0,0,,0,0,,,0,0,Matches
118,Matias Arezo,uy URU,FW,Granada,es La Liga,18,2002,1.8,0,5,3,60,2.78,1.67,0,0,0,0,Matches
119,Santiago Arias,co COL,DF,Granada,es La Liga,29,1992,4.9,1,3,1,33.3,0.61,0.2,0.33,1,0,0,Matches
120,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,24,1997,15.7,2,47,14,29.8,2.99,0.89,0.04,0.14,0,0,Matches
121,Stuart Armstrong,sct SCO,"MF,FW",Southampton,eng Premier League,29,1992,16.4,2,38,9,23.7,2.32,0.55,0.05,0.22,0,0,Matches
122,Marko Arnautović,at AUT,FW,Bologna,it Serie A,32,1989,29.9,14,91,34,37.4,3.04,1.14,0.13,0.35,2,3,Matches
123,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,27,1994,33.3,4,39,15,38.5,1.17,0.45,0.1,0.27,0,0,Matches
124,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4,0,0,0,,0,0,,,0,0,Matches
125,Tolgay Arslan,de GER,MF,Udinese,it Serie A,30,1990,18.4,1,23,9,39.1,1.25,0.49,0.04,0.11,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
126,Santiago Arzamendia,py PAR,MF,Cádiz,es La Liga,23,1998,5.2,1,7,1,14.3,1.34,0.19,0.14,1,0,0,Matches
127,Takuma Asano,jp JPN,"FW,MF",Bochum,de Bundesliga,26,1994,17.9,3,33,11,33.3,1.85,0.62,0.09,0.27,0,0,Matches
128,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,24,1997,26.4,0,13,1,7.7,0.49,0.04,0,0,0,0,Matches
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6,0,0,0,,0,0,,,0,0,Matches
130,Alejandro Asensio,es ESP,FW,Rayo Vallecano,es La Liga,20,2000,0.1,0,1,1,100,7.5,7.5,0,0,0,0,Matches
131,Marco Asensio,es ESP,"FW,MF",Real Madrid,es La Liga,25,1996,19.2,10,64,34,53.1,3.33,1.77,0.16,0.29,0,0,Matches
132,Harrison Ashby,sct SCO,"DF,MF",West Ham United,eng Premier League,19,2001,0.1,0,0,0,,0,0,,,0,0,Matches
133,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,20,2001,8.4,0,7,0,0,0.84,0,0,,0,0,Matches
134,Fisnik Asllani,xk KVX,FW,Hoffenheim,de Bundesliga,18,2002,0.1,0,0,0,,0,0,,,0,0,Matches
135,Kristjan Asllani,al ALB,MF,Empoli,it Serie A,19,2002,15,1,17,6,35.3,1.13,0.4,0.06,0.17,0,0,Matches
136,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,33,1987,34.3,18,90,41,45.6,2.62,1.2,0.17,0.37,3,5,Matches
137,Lorenz Assignon,tg TOG,DF,Rennes,fr Ligue 1,21,2000,6.8,0,6,4,66.7,0.88,0.58,0,0,0,0,Matches
138,Simon Asta,de GER,"MF,DF",Greuther Fürth,de Bundesliga,20,2001,8.7,0,3,0,0,0.34,0,0,,0,0,Matches
139,Youcef Atal,dz ALG,DF,Nice,fr Ligue 1,25,1996,12.7,2,13,5,38.5,1.03,0.39,0.15,0.4,0,0,Matches
140,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,eng Premier League,32,1989,11.5,4,35,18,51.4,3.04,1.56,0.11,0.22,0,2,Matches
141,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,32,1989,12,11,36,19,52.8,2.99,1.58,0.31,0.58,0,0,Matches
142,Emil Audero,id IDN,GK,Sampdoria,it Serie A,24,1997,28.4,0,0,0,,0,0,,,0,0,Matches
143,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,26,1994,26.6,1,7,2,28.6,0.26,0.08,0.14,0.5,0,0,Matches
144,Jean-Kévin Augustin,fr FRA,FW,Nantes,fr Ligue 1,24,1997,0.9,0,2,0,0,2.14,0,0,,0,0,Matches
145,Ludwig Augustinsson,se SWE,"DF,MF",Sevilla,es La Liga,27,1994,8.8,0,4,2,50,0.45,0.23,0,0,0,0,Matches
146,Serge Aurier,ci CIV,DF,Villarreal,es La Liga,28,1992,11.2,0,11,2,18.2,0.98,0.18,0,0,0,0,Matches
147,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,es La Liga,27,1994,20.8,6,63,16,25.4,3.03,0.77,0.08,0.31,1,1,Matches
148,Taiwo Awoniyi,ng NGA,FW,Union Berlin,de Bundesliga,23,1997,24.2,15,67,33,49.3,2.77,1.37,0.19,0.39,2,2,Matches
149,Ramzi Aya,it ITA,DF,Salernitana,it Serie A,30,1990,1.5,0,1,0,0,0.67,0,0,,0,0,Matches
150,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,29,1991,22.4,3,35,8,22.9,1.56,0.36,0.09,0.38,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
151,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,26,1994,15,1,5,1,20,0.33,0.07,0.2,1,0,0,Matches
152,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,29,1991,25.2,2,19,4,21.1,0.75,0.16,0.11,0.5,0,0,Matches
153,Karim Azamoum,fr FRA,DF,Troyes,fr Ligue 1,31,1990,4.3,0,3,3,100,0.7,0.7,0,0,0,0,Matches
154,Sardar Azmoun,ir IRN,"MF,FW",Leverkusen,de Bundesliga,26,1995,4,1,11,5,45.5,2.76,1.25,0.09,0.2,0,0,Matches
155,César Azpilicueta,es ESP,"DF,MF",Chelsea,eng Premier League,31,1989,23,1,11,4,36.4,0.48,0.17,0.09,0.25,0,0,Matches
156,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,25,1996,21.5,2,23,9,39.1,1.07,0.42,0.09,0.22,0,0,Matches
157,Carlos Bacca,co COL,FW,Granada,es La Liga,34,1986,5.7,0,9,2,22.2,1.58,0.35,0,0,0,0,Matches
158,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12,0,0,0,,0,0,,,0,0,Matches
159,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,21,2000,10.9,0,7,0,0,0.64,0,0,,0,0,Matches
160,Milan Badelj,hr CRO,MF,Genoa,it Serie A,32,1989,31.6,1,21,5,23.8,0.66,0.16,0.05,0.2,0,0,Matches
161,Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24,0,0,0,,0,0,,,0,0,Matches
162,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,20,2001,20.4,1,14,4,28.6,0.69,0.2,0.07,0.25,0,0,Matches
163,Youssouph Badji,sn SEN,FW,Brest,fr Ligue 1,19,2001,1.5,0,2,0,0,1.33,0,0,,0,0,Matches
164,Miguel Baeza,es ESP,MF,Celta Vigo,es La Liga,21,2000,0,0,0,0,,0,0,,,0,0,Matches
165,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,17,2004,0,0,0,0,,0,0,,,0,0,Matches
166,Issa Bah,lu LUX,FW,Venezia,it Serie A,19,2002,0.1,0,0,0,,0,0,,,0,0,Matches
167,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,29,1992,12.2,3,23,13,56.5,1.88,1.06,0.13,0.23,0,0,Matches
168,Leon Bailey,jm JAM,"FW,MF",Aston Villa,eng Premier League,23,1997,8.5,1,21,8,38.1,2.48,0.95,0.05,0.13,0,0,Matches
169,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,27,1994,2.4,0,0,0,,0,0,,,0,0,Matches
170,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,28,1993,2,0,0,0,,0,0,,,0,0,Matches
171,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,5.7,0,1,1,100,0.18,0.18,0,0,0,0,Matches
172,Nedim Bajrami,al ALB,MF,Empoli,it Serie A,22,1999,22.8,6,53,21,39.6,2.32,0.92,0.06,0.14,3,3,Matches
173,Cédric Bakambu,cd COD,"FW,MF",Marseille,fr Ligue 1,30,1991,4,4,18,7,38.9,4.55,1.77,0.22,0.57,0,0,Matches
174,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,fr Ligue 1,18,2002,3.4,0,0,0,,0,0,,,0,0,Matches
175,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,26,1994,5.6,0,4,0,0,0.72,0,0,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
176,Mitchel Bakker,nl NED,"DF,MF",Leverkusen,de Bundesliga,21,2000,20.2,0,9,2,22.2,0.44,0.1,0,0,0,0,Matches
177,Ridle Baku,de GER,"MF,DF",Wolfsburg,de Bundesliga,23,1998,27.2,3,36,8,22.2,1.32,0.29,0.08,0.38,0,0,Matches
178,Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,fr Ligue 1,18,2002,0.5,0,2,1,50,4.19,2.09,0,0,0,0,Matches
179,Tommaso Baldanzi,it ITA,MF,Empoli,it Serie A,18,2003,0.2,0,0,0,,0,0,,,0,0,Matches
180,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,17,2003,2.1,0,1,0,0,0.48,0,0,,0,0,Matches
181,Ibrahima Baldé,fr FRA,FW,Lens,fr Ligue 1,18,2003,0.6,0,0,0,,0,0,,,0,0,Matches
182,Keita Baldé,sn SEN,FW,Cagliari,it Serie A,26,1995,13.7,3,27,11,40.7,1.98,0.81,0.11,0.27,0,0,Matches
183,Gareth Bale,wls WAL,FW,Real Madrid,es La Liga,32,1989,3.1,1,15,6,40,4.82,1.93,0.07,0.17,0,0,Matches
