Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,1,0,0,0,,0,0,,,0,0,Matches
2,Max Aarons,eng ENG,DF,Valencia,es La Liga,24,2000,1.3,0,0,0,,0,0,,,0,0,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21,2003,0.7,0,1,0,0,1.38,0,0,,0,0,Matches
4,James Abankwah,ie IRL,DF,Udinese,it Serie A,20,2004,1,0,1,0,0,1.02,0,0,,0,0,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,2006,0,0,0,0,,0,0,,,0,0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36,1987,11.5,0,2,1,50,0.17,0.09,0,0,0,0,Matches
7,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,24,1999,31.6,6,38,12,31.6,1.2,0.38,0.08,0.25,3,4,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25,1999,9.5,0,0,0,,0,0,,,0,0,Matches
9,Ali Abdi,tn TUN,MF,Nice,fr Ligue 1,30,1993,15.5,5,29,11,37.9,1.87,0.71,0.17,0.45,0,0,Matches
10,Saud Abdulhamid,sa KSA,MF,Roma,it Serie A,25,1999,2.3,0,1,0,0,0.44,0,0,,0,0,Matches
11,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,2002,2.9,0,2,0,0,0.68,0,0,,0,0,Matches
12,Oliver Abildgaard,dk DEN,"DF,MF",Como,it Serie A,28,1996,0.1,0,0,0,,0,0,,,0,0,Matches
13,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,30.8,9,73,27,37,2.37,0.88,0.11,0.3,1,1,Matches
14,Abner,br BRA,"DF,MF",Lyon,fr Ligue 1,24,2000,12.1,1,7,3,42.9,0.58,0.25,0.14,0.33,0,0,Matches
15,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,21.1,7,63,29,46,2.98,1.37,0.1,0.21,1,2,Matches
16,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,1999,27.4,0,12,1,8.3,0.44,0.04,0,0,0,0,Matches
17,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1997,0,0,0,0,,0,0,,,0,0,Matches
18,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,1997,13.1,3,28,13,46.4,2.13,0.99,0.07,0.15,1,2,Matches
19,Federico Accornero,it ITA,MF,Genoa,it Serie A,20,2004,0.1,0,0,0,,0,0,,,0,0,Matches
20,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,1988,19,0,5,1,20,0.26,0.05,0,0,0,0,Matches
21,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18,2006,1.9,0,2,0,0,1.06,0,0,,0,0,Matches
22,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24,2000,11.9,3,26,12,46.2,2.18,1,0.12,0.25,0,0,Matches
23,Akor Adams,ng NGA,FW,Sevilla,es La Liga,24,2000,1.5,0,2,2,100,1.34,1.34,0,0,0,0,Matches
24,Che Adams,sct SCO,FW,Torino,it Serie A,28,1996,29.5,9,64,26,40.6,2.17,0.88,0.14,0.35,0,1,Matches
25,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25,1999,21.8,0,9,2,22.2,0.41,0.09,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23,2001,17.2,2,37,12,32.4,2.16,0.7,0.05,0.17,0,0,Matches
27,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26,1997,15.7,1,13,2,15.4,0.83,0.13,0.08,0.5,0,0,Matches
28,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,20,2003,0.3,0,0,0,,0,0,,,0,0,Matches
29,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,22,2002,15.9,7,46,18,39.1,2.89,1.13,0.15,0.39,0,0,Matches
30,Simon Adingra,ci CIV,MF,Brighton,eng Premier League,22,2002,12.2,2,33,8,24.2,2.71,0.66,0.06,0.25,0,0,Matches
31,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24,2000,8.5,2,20,7,35,2.35,0.82,0.1,0.29,0,0,Matches
32,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24,2000,13.7,4,14,5,35.7,1.02,0.36,0.29,0.8,0,0,Matches
