Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
297,Cristiano Biraghi,it ITA,DF,Pescara,it Serie A,23,1992,33.2,1,28,9,32.1,0.84,0.27,0,0,1,2,Matches
298,Mame Biram Diouf,sn SEN,"MF,FW",Stoke City,eng Premier League,28,1987,15.4,1,20,4,20,1.3,0.26,0.05,0.25,0,0,Matches
299,Davide Biraschi,it ITA,"DF,MF",Genoa,it Serie A,22,1994,4.4,0,3,0,0,0.68,0,0,,0,0,Matches
300,Valter Birsa,si SVN,"MF,FW",Chievo,it Serie A,29,1986,30.7,7,52,16,30.8,1.7,0.52,0.13,0.44,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
301,Milan Biševac,rs SRB,DF,Metz,fr Ligue 1,32,1983,20.4,0,6,2,33.3,0.29,0.1,0,0,0,0,Matches
302,Yves Bissouma,ml MLI,"MF,FW",Lille,fr Ligue 1,19,1996,8.5,1,19,3,15.8,2.23,0.35,0.05,0.33,0,0,Matches
303,Luca Bittante,it ITA,DF,Cagliari,it Serie A,22,1993,3.5,0,1,0,0,0.29,0,0,,0,0,Matches
304,Leonardo Bittencourt,de GER,"MF,FW",Köln,de Bundesliga,22,1993,10.8,3,22,9,40.9,2.05,0.84,0.14,0.33,0,0,Matches
305,Albano Bizzarri,ar ARG,GK,Pescara,it Serie A,38,1977,29,0,0,0,,0,0,,,0,0,Matches
306,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,21,1995,11,0,0,0,,0,0,,,0,0,Matches
307,Ludovic Blas,fr FRA,MF,Guingamp,fr Ligue 1,18,1997,12.9,1,29,14,48.3,2.25,1.09,0.03,0.07,0,0,Matches
308,Pablo de Blasis,ar ARG,MF,Mainz 05,de Bundesliga,28,1988,18.5,5,35,19,54.3,1.9,1.03,0.11,0.21,1,1,Matches
309,Alexis Blin,fr FRA,MF,Toulouse,fr Ligue 1,19,1996,23.9,0,13,3,23.1,0.54,0.13,0,0,0,0,Matches
310,Daley Blind,nl NED,DF,Manchester Utd,eng Premier League,26,1990,20.3,1,9,2,22.2,0.44,0.1,0.11,0.5,0,0,Matches
311,Danny Blum,de GER,MF,Eintracht Frankfurt,de Bundesliga,25,1991,5.1,1,23,9,39.1,4.5,1.76,0.04,0.11,0,0,Matches
312,Jérôme Boateng,de GER,DF,Bayern Munich,de Bundesliga,27,1988,9.2,0,4,0,0,0.44,0,0,,0,0,Matches
313,Kevin-Prince Boateng,gh GHA,"FW,MF",Las Palmas,es La Liga,29,1987,22,10,75,32,42.7,3.41,1.46,0.13,0.31,0,0,Matches
314,Raúl Bobadilla,py PAR,"FW,MF",Augsburg,de Bundesliga,29,1987,11.6,4,36,13,36.1,3.1,1.12,0.11,0.31,0,0,Matches
315,Yann Bodiger,fr FRA,MF,Toulouse,fr Ligue 1,21,1995,20.4,1,19,3,15.8,0.93,0.15,0,0,1,1,Matches
316,Mathieu Bodmer,fr FRA,MF,Nice,fr Ligue 1,33,1982,6.5,0,2,1,50,0.31,0.15,0,0,0,0,Matches
317,Mathieu Bodmer,fr FRA,"MF,DF",Guingamp,fr Ligue 1,33,1982,7.5,0,2,1,50,0.27,0.13,0,0,0,0,Matches
