Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,23,2000,13.7,0,2,0,0,0.15,0,0,,0,0,Matches
2,Brenden Aaronson,us USA,"MF,FW",Union Berlin,de Bundesliga,22,2000,14.1,2,19,7,36.8,1.35,0.5,0.11,0.29,0,0,Matches
3,Paxten Aaronson,us USA,MF,Eintracht Frankfurt,de Bundesliga,19,2003,1.1,0,2,2,100,1.78,1.78,0,0,0,0,Matches
4,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,17,2006,0,0,0,0,,0,0,,,0,0,Matches
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35,1987,30.9,4,22,8,36.4,0.71,0.26,0.14,0.38,1,1,Matches
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23,2000,16.9,0,5,0,0,0.3,0,0,,0,0,Matches
7,Nabil Aberdin,fr FRA,DF,Getafe,es La Liga,20,2002,2,0,0,0,,0,0,,,0,0,Matches
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30,1993,31.8,2,26,11,42.3,0.82,0.35,0.08,0.18,0,0,Matches
9,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,20,2003,11.6,5,42,19,45.2,3.62,1.64,0.12,0.26,0,0,Matches
10,Abner,br BRA,DF,Real Betis,es La Liga,23,2000,15.6,0,4,0,0,0.26,0,0,,0,0,Matches
11,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,23,2000,8.4,3,28,8,28.6,3.34,0.95,0.07,0.25,1,1,Matches
12,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,24,1999,25.7,0,10,3,30,0.39,0.12,0,0,0,0,Matches
13,Tammy Abraham,eng ENG,FW,Roma,it Serie A,25,1997,2.7,1,4,2,50,1.49,0.74,0.25,0.5,0,0,Matches
14,Francesco Acerbi,it ITA,DF,Inter,it Serie A,35,1988,26.5,3,15,6,40,0.57,0.23,0.2,0.5,0,0,Matches
15,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,17,2006,0.1,0,0,0,,0,0,,,0,0,Matches
16,Marcos Acuña,ar ARG,"DF,MF",Sevilla,es La Liga,31,1991,14.4,1,9,4,44.4,0.63,0.28,0.11,0.25,0,0,Matches
17,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,23,2000,25,8,79,33,41.8,3.16,1.32,0.1,0.24,0,0,Matches
18,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,24,1999,1.3,0,0,0,,0,0,,,0,0,Matches
19,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,22,2001,1.2,0,2,1,50,1.71,0.86,0,0,0,0,Matches
20,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,30,1993,8.9,1,31,14,45.2,3.48,1.57,0.03,0.07,0,0,Matches
21,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,25,1997,18,2,14,5,35.7,0.78,0.28,0.14,0.4,0,0,Matches
22,Elijah Adebayo,eng ENG,FW,Luton Town,eng Premier League,25,1998,15.8,10,30,14,46.7,1.9,0.89,0.33,0.71,0,0,Matches
23,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,21,2002,10.1,3,23,10,43.5,2.27,0.99,0.13,0.3,0,0,Matches
24,Simon Adingra,ci CIV,MF,Brighton,eng Premier League,21,2002,24.7,6,52,22,42.3,2.11,0.89,0.12,0.27,0,0,Matches
25,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,20,2002,13.8,0,4,0,0,0.29,0,0,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,23,2000,10,4,27,15,55.6,2.71,1.5,0.15,0.27,0,0,Matches
27,Yacine Adli,fr FRA,MF,Milan,it Serie A,23,2000,15.6,1,4,1,25,0.26,0.06,0.25,1,0,0,Matches
28,Adryelson,br BRA,DF,Lyon,fr Ligue 1,25,1998,0.1,0,0,0,,0,0,,,0,0,Matches
29,Adson,br BRA,MF,Nantes,fr Ligue 1,22,2000,2.6,0,5,0,0,1.89,0,0,,0,0,Matches
30,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,26,1997,24.8,0,18,5,27.8,0.73,0.2,0,0,0,0,Matches
31,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,26,1997,28.8,1,33,7,21.2,1.14,0.24,0.03,0.14,0,0,Matches
32,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22,2000,2.6,0,0,0,,0,0,,,0,0,Matches
33,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,21,2002,8.6,0,6,2,33.3,0.69,0.23,0,0,0,0,Matches
34,Lucien Agoume,fr FRA,MF,Inter,it Serie A,21,2002,0.1,0,0,0,,0,0,,,0,0,Matches
35,Felix Agu,ng NGA,MF,Werder Bremen,de Bundesliga,23,1999,17.9,0,11,0,0,0.61,0,0,,0,0,Matches
