Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Ignazio Abate,it ITA,"DF,MF",it Milan,26,1986,5.2,0,,0,,,0,,,0,0,Matches
2,Christian Abbiati,it ITA,GK,it Milan,36,1977,7,0,,0,,,0,,,0,0,Matches
3,Kassim Abdallah,km COM,DF,fr Marseille,26,1987,2.9,0,,0,,,0,,,0,0,Matches
4,Frank Acheampong,gh GHA,"DF,FW",be Anderlecht,19,1993,1.9,0,,4,,,2.14,,0,0,0,Matches
5,Fanendo Adi,ng NGA,FW,dk FC Copenhagen,22,1990,1.5,0,,3,,,1.96,,0,0,0,Matches
6,Adriano,br BRA,"DF,MF",es Barcelona,28,1984,5,0,,2,,,0.4,,0,0,0,Matches
7,Luiz Adriano,br BRA,"FW,MF",ua Shakhtar Donetsk,26,1987,4.8,1,,4,,,0.84,,0.25,0,0,Matches
8,Imanol Agirretxe,es ESP,FW,es Real Sociedad,26,1987,2.4,0,,3,,,1.24,,0,0,0,Matches
9,Sergio Agüero,ar ARG,FW,eng Manchester City,25,1988,4.8,6,,13,,,2.71,,0.31,2,2,Matches
10,Arlind Ajeti,al ALB,DF,ch Basel,19,1993,0.5,0,,0,,,0,,,0,0,Matches
11,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,27,1986,6,0,,0,,,0,,,0,0,Matches
12,David Alaba,at AUT,"DF,MF",de Bayern Munich,21,1992,12,2,,7,,,0.58,,0.29,0,1,Matches
13,Jordi Alba,es ESP,"DF,MF",es Barcelona,24,1989,4,0,,1,,,0.25,,0,0,0,Matches
14,Raúl Albiol,es ESP,DF,it Napoli,27,1985,5.9,0,,0,,,0,,,0,0,Matches
15,Thiago Alcántara,es ESP,MF,de Bayern Munich,22,1991,3.6,0,,0,,,0,,,0,0,Matches
16,Toby Alderweireld,be BEL,DF,es Atlético Madrid,24,1989,3.4,0,,0,,,0,,,0,0,Matches
17,Alex,br BRA,DF,fr Paris Saint-Germain,31,1982,6.5,0,,1,,,0.15,,0,0,0,Matches
18,André Almeida,pt POR,"DF,MF",pt Benfica,22,1990,3,0,,1,,,0.33,,0,0,0,Matches
19,Xabi Alonso,es ESP,MF,es Real Madrid,31,1981,7.3,0,,2,,,0.27,,0,0,0,Matches
20,Dani Alves,br BRA,"DF,MF",es Barcelona,30,1983,8,2,,4,,,0.5,,0.5,0,0,Matches
21,Danny Amankwaa,dk DEN,"FW,MF",dk FC Copenhagen,19,1994,0.2,0,,0,,,0,,,0,0,Matches
22,Efe Ambrose,ng NGA,DF,sct Celtic,24,1988,6,0,,1,,,0.17,,0,0,0,Matches
23,Marco Amelia,it ITA,GK,it Milan,31,1982,1,0,,0,,,0,,,0,0,Matches
24,Rúben Amorim,pt POR,MF,pt Benfica,28,1985,1,0,,0,,,0,,,0,0,Matches
25,Nordin Amrabat,ma MAR,"FW,MF",tr Galatasaray,26,1987,1.8,0,,0,,,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Lucas Andersen,dk DEN,"FW,MF",nl Ajax,18,1994,1.3,0,,0,,,0,,,0,0,Matches
27,Anderson,br BRA,MF,eng Manchester Utd,25,1988,0.1,0,,0,,,0,,,0,0,Matches
28,José Ángel,es ESP,"DF,MF",es Real Sociedad,23,1989,1,0,,0,,,0,,,0,0,Matches
29,Anthony Annan,gh GHA,MF,de Schalke 04,27,1986,0.1,0,,0,,,0,,,0,0,Matches
30,Cristian Ansaldi,ar ARG,"DF,MF",ru Zenit,26,1986,3.9,0,,2,,,0.51,,0,0,0,Matches
31,Ion Ansotegi,es ESP,DF,es Real Sociedad,31,1982,2,0,,1,,,0.5,,0,0,0,Matches
32,Aleksandr Anyukov,ru RUS,DF,ru Zenit,30,1982,2.9,0,,0,,,0,,,0,0,Matches
33,Dennis Aogo,de GER,"DF,MF",de Schalke 04,26,1987,4.9,0,,3,,,0.62,,0,0,0,Matches
34,Daniel Aranzubia,es ESP,GK,es Atlético Madrid,33,1979,1,0,,0,,,0,,,0,0,Matches
35,Álvaro Arbeloa,es ESP,DF,es Real Madrid,30,1983,4,1,,1,,,0.25,,1,0,0,Matches
36,Pablo Armero,co COL,"DF,MF",it Napoli,26,1986,4,0,,3,,,0.75,,0,0,0,Matches
37,Helton Arruda,br BRA,GK,pt Porto,35,1978,6,0,,0,,,0,,,0,0,Matches
38,Andrey Arshavin,ru RUS,"FW,MF",ru Zenit,32,1981,2.2,0,,2,,,0.91,,0,0,0,Matches
39,Mikel Arteta,es ESP,MF,eng Arsenal,31,1982,4.8,0,,1,,,0.21,,0,0,0,Matches
40,Kwadwo Asamoah,gh GHA,"DF,MF",it Juventus,24,1988,4.3,0,,5,,,1.15,,0,0,0,Matches
41,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",de Dortmund,24,1989,4.3,1,,7,,,1.63,,0.14,0,0,Matches
42,André Ayew,gh GHA,"FW,MF",fr Marseille,23,1989,4,2,,3,,,0.75,,0.67,0,0,Matches
43,Jordan Ayew,gh GHA,"FW,MF",fr Marseille,21,1991,1.8,1,,3,,,1.66,,0,1,1,Matches
