Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Tammy Abraham,eng ENG,FW,it Milan,26,1997,3.3,2,8,4,50,2.39,1.2,0.25,0.5,0,0,Matches
2,Francesco Acerbi,it ITA,DF,it Inter,36,1988,8.6,1,5,2,40,0.58,0.23,0.2,0.5,0,0,Matches
3,Arijan Ademi,mk MKD,MF,hr Dinamo Zagreb,33,1991,3.2,0,6,1,16.7,1.88,0.31,0,0,0,0,Matches
4,Karim Adeyemi,de GER,MF,de Dortmund,22,2002,7.6,5,24,11,45.8,3.15,1.45,0.21,0.45,0,0,Matches
5,Amine Adli,ma MAR,"MF,FW",de Leverkusen,24,2000,2.3,0,2,2,100,0.86,0.86,0,0,0,0,Matches
6,Vasilije Adžić,me MNE,MF,it Juventus,18,2006,0.3,0,0,0,,0,0,,,0,0,Matches
7,Michel Aebischer,ch SUI,MF,it Bologna,27,1997,0.3,0,0,0,,0,0,,,0,0,Matches
8,Emanuel Aiwum,at AUT,DF,at Sturm Graz,23,2000,6,0,1,0,0,0.17,0,0,,0,0,Matches
9,Ludovic Ajorque,fr FRA,FW,fr Brest,30,1994,7.1,0,13,4,30.8,1.83,0.56,0,0,0,0,Matches
10,Manuel Akanji,ch SUI,"DF,MF",eng Manchester City,29,1995,7.2,0,3,0,0,0.42,0,0,,0,0,Matches
11,Nathan Aké,nl NED,DF,eng Manchester City,29,1995,3.2,0,2,1,50,0.63,0.32,0,0,0,0,Matches
12,Maghnes Akliouche,fr FRA,MF,fr Monaco,22,2002,8.9,2,19,8,42.1,2.12,0.89,0.11,0.25,0,0,Matches
13,Chuba Akpom,eng ENG,"FW,MF",fr Lille,28,1995,0.3,0,1,1,100,3.75,3.75,0,0,0,0,Matches
14,Kerem Aktürkoğlu,tr TUR,FW,pt Benfica,25,1998,9.4,4,21,10,47.6,2.23,1.06,0.19,0.4,0,0,Matches
15,Al-Musrati,ly LBY,MF,fr Monaco,28,1996,0.6,0,0,0,,0,0,,,0,0,Matches
16,David Alaba,at AUT,DF,es Real Madrid,32,1992,1.9,0,0,0,,0,0,,,0,0,Matches
17,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,25,1998,6.4,0,10,2,20,1.57,0.31,0,0,0,0,Matches
18,Alisson,br BRA,GK,eng Liverpool,31,1992,6.3,0,0,0,,0,0,,,0,0,Matches
19,Julián Álvarez,ar ARG,"FW,MF",es Atlético Madrid,24,2000,8.7,7,22,11,50,2.53,1.26,0.32,0.64,0,0,Matches
20,Mohamed Aly Camara,gn GUI,DF,ch Young Boys,26,1997,5.5,0,0,0,,0,0,,,0,0,Matches
21,Jordan Amavi,fr FRA,DF,fr Brest,30,1994,0.9,0,0,0,,0,0,,,0,0,Matches
22,Zeki Amdouni,ch SUI,FW,pt Benfica,23,2000,2.8,1,15,6,40,5.42,2.17,0.07,0.17,0,0,Matches
23,Benjamin André,fr FRA,MF,fr Lille,33,1990,9,0,5,1,20,0.56,0.11,0,0,0,0,Matches
24,Robert Andrich,de GER,MF,de Leverkusen,29,1994,3.1,0,1,1,100,0.33,0.33,0,0,0,0,Matches
25,Lucas Anjos,pt POR,FW,pt Sporting CP,20,2004,0.1,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
26,Waldemar Anton,de GER,DF,de Dortmund,28,1996,6.6,0,1,0,0,0.15,0,0,,0,0,Matches
27,Maximiliano Araújo,uy URU,"MF,DF",pt Sporting CP,24,2000,6.9,1,6,1,16.7,0.87,0.14,0.17,1,0,0,Matches
28,Ronald Araújo,uy URU,DF,es Barcelona,25,1999,5.8,1,5,2,40,0.86,0.34,0.2,0.5,0,0,Matches
29,Tomás Araújo,pt POR,DF,pt Benfica,22,2002,10.3,0,0,0,,0,0,,,0,0,Matches
30,Marko Arnautović,at AUT,FW,it Inter,35,1989,2.3,1,5,3,60,2.18,1.31,0.2,0.33,0,1,Matches
31,Arthur,br BRA,DF,de Leverkusen,21,2003,1.2,0,1,0,0,0.82,0,0,,0,0,Matches
32,Raúl Asencio,es ESP,DF,es Real Madrid,21,2003,8.3,0,1,0,0,0.12,0,0,,0,0,Matches
33,Marco Asensio,es ESP,"FW,MF",eng Aston Villa,28,1996,1.4,3,7,6,85.7,4.88,4.19,0.29,0.33,1,1,Matches
34,Marco Asensio,es ESP,FW,fr Paris Saint-Germain,28,1996,1.5,0,4,0,0,2.67,0,0,,0,0,Matches
35,Kristjan Asllani,al ALB,MF,it Inter,22,2002,4,0,3,1,33.3,0.76,0.25,0,0,0,0,Matches
36,Yaser Asprilla,co COL,MF,es Girona,20,2003,2.7,0,3,1,33.3,1.1,0.37,0,0,0,0,Matches
37,Zachary Athekame,ch SUI,DF,ch Young Boys,19,2004,5.5,0,2,0,0,0.36,0,0,,0,0,Matches
38,Carlos Augusto,br BRA,MF,it Inter,25,1999,7.4,0,6,3,50,0.81,0.41,0,0,0,0,Matches
39,Yann Aurel Bisseck,de GER,DF,it Inter,23,2000,7.8,0,2,1,50,0.26,0.13,0,0,0,0,Matches
40,Fredrik Aursnes,no NOR,MF,pt Benfica,28,1995,11,0,13,5,38.5,1.18,0.46,0,0,0,0,Matches
41,Irakli Azarov,ge GEO,DF,ua Shakhtar Donetsk,22,2002,1.8,0,1,0,0,0.56,0,0,,0,0,Matches
42,Ayman Azhil,ma MAR,MF,de Dortmund,23,2001,0,0,0,0,,0,0,,,0,0,Matches
43,Adam Aznou,ma MAR,DF,de Bayern Munich,18,2006,0,0,0,0,,0,0,,,0,0,Matches
44,César Azpilicueta,es ESP,DF,es Atlético Madrid,34,1989,1.3,0,0,0,,0,0,,,0,0,Matches
45,Isaac Babadi,nl NED,MF,nl PSV,19,2005,1.2,0,4,3,75,3.43,2.57,0,0,0,0,Matches
46,Alexander Bah,dk DEN,DF,pt Benfica,26,1997,5.5,1,3,1,33.3,0.54,0.18,0.33,1,0,0,Matches
47,Samson Baidoo,at AUT,DF,at RB Salzburg,20,2004,6.8,0,2,1,50,0.29,0.15,0,0,0,0,Matches
48,Leon Bailey,jm JAM,MF,eng Aston Villa,26,1997,5.8,1,9,3,33.3,1.54,0.51,0.11,0.33,0,0,Matches
49,Stefan Bajcetic,es ESP,MF,at RB Salzburg,19,2004,2.3,0,1,0,0,0.44,0,0,,0,0,Matches
50,Esmir Bajraktarevic,ba BIH,MF,nl PSV,19,2005,0.1,0,0,0,,0,0,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
51,Kenan Bajrić,si SVN,"DF,MF",sk Slovan Bratislava,29,1994,7.9,0,0,0,,0,0,,,0,0,Matches
52,Johan Bakayoko,be BEL,"FW,MF",nl PSV,21,2003,9.5,2,27,10,37,2.83,1.05,0.07,0.2,0,0,Matches
53,Mitchel Bakker,nl NED,"MF,DF",fr Lille,24,2000,4.7,1,4,3,75,0.86,0.64,0.25,0.33,0,0,Matches
54,Alejandro Balde,es ESP,DF,es Barcelona,20,2003,8.9,0,2,0,0,0.22,0,0,,0,0,Matches
55,David von Ballmoos,ch SUI,GK,ch Young Boys,29,1994,4,0,0,0,,0,0,,,0,0,Matches
56,Folarin Balogun,us USA,FW,fr Monaco,23,2001,1,0,5,3,60,4.79,2.87,0,0,0,0,Matches
57,Bradley Barcola,fr FRA,FW,fr Paris Saint-Germain,21,2002,12.1,3,31,13,41.9,2.57,1.08,0.1,0.23,0,0,Matches
58,Nicolò Barella,it ITA,MF,it Inter,27,1997,11,0,12,2,16.7,1.09,0.18,0,0,0,0,Matches
59,Ross Barkley,eng ENG,MF,eng Aston Villa,30,1993,1.1,1,1,1,100,0.87,0.87,1,1,0,0,Matches
60,Leandro Barreiro Martins,lu LUX,MF,pt Benfica,24,2000,3,0,5,2,40,1.69,0.67,0,0,0,0,Matches
61,Pablo Barrios,es ESP,MF,es Atlético Madrid,21,2003,4.8,0,2,0,0,0.42,0,0,,0,0,Matches
62,Tigran Barseghyan,am ARM,"MF,FW",sk Slovan Bratislava,30,1993,6.1,1,14,4,28.6,2.3,0.66,0.07,0.25,0,0,Matches
63,Davide Bartesaghi,it ITA,MF,it Milan,18,2005,0.3,0,0,0,,0,0,,,0,0,Matches
64,Alessandro Bastoni,it ITA,DF,it Inter,25,1999,11.9,0,5,1,20,0.42,0.08,0,0,0,0,Matches
65,Martin Baturina,hr CRO,"MF,FW",hr Dinamo Zagreb,21,2003,6.9,2,11,3,27.3,1.6,0.44,0.18,0.67,0,0,Matches
66,Christoph Baumgartner,at AUT,MF,de RB Leipzig,24,1999,5.3,2,12,6,50,2.25,1.13,0.17,0.33,0,0,Matches
67,Donny van de Beek,nl NED,"MF,FW",es Girona,27,1997,5,1,4,2,50,0.8,0.4,0.25,0.5,0,0,Matches
68,Thomas Beelen,nl NED,"DF,MF",nl Feyenoord,23,2001,9.2,0,2,1,50,0.22,0.11,0,0,0,0,Matches
