Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Pape Abou Cissé,sn SEN,DF,gr Olympiacos,24,1995,5,0,0,0,5,2,1,0,17,2,,,0,Matches
2,Tammy Abraham,eng ENG,FW,eng Chelsea,22,1997,2.6,0,0,0,4,4,2,0,1,0,,,0,Matches
3,Francesco Acerbi,it ITA,DF,it Lazio,32,1988,8,2,0,0,8,6,1,22,13,9,,,1,Matches
4,Marcos Acuña,ar ARG,DF,es Sevilla,28,1991,3.6,3,0,0,5,4,0,30,3,8,,,0,Matches
5,Tyler Adams,us USA,MF,de RB Leipzig,21,1999,3.2,1,0,0,6,2,1,1,5,5,,,0,Matches
6,Karim Adeyemi,de GER,"FW,MF",at RB Salzburg,18,2002,0.6,0,0,0,2,1,1,1,0,0,,,0,Matches
7,Adrián,es ESP,GK,eng Liverpool,33,1987,1,0,0,0,0,0,0,0,0,0,,,0,Matches
8,Nayef Aguerd,ma MAR,DF,fr Rennes,24,1996,3.1,0,0,0,2,1,0,0,5,1,,,0,Matches
9,Sergio Agüero,ar ARG,FW,eng Manchester City,32,1988,1.7,0,0,0,2,0,0,0,0,1,,,0,Matches
10,Manuel Akanji,ch SUI,DF,de Dortmund,25,1995,7,0,0,0,1,4,0,0,8,6,,,0,Matches
11,Marley Aké,fr FRA,"FW,MF",fr Marseille,19,2001,0.4,0,0,0,0,2,0,0,0,0,,,0,Matches
12,Nathan Aké,nl NED,DF,eng Manchester City,25,1995,2,0,0,0,3,1,0,1,3,3,,,0,Matches
13,Jean-Daniel Akpa-Akpro,ci CIV,MF,it Lazio,27,1992,3.2,2,0,0,5,9,0,0,8,5,,,0,Matches
14,David Alaba,at AUT,"DF,MF",de Bayern Munich,28,1992,9,2,0,0,14,1,0,10,17,7,,,0,Matches
15,Jordi Alba,es ESP,"DF,MF",es Barcelona,31,1989,5.4,1,0,0,6,5,4,16,5,5,,,0,Matches
16,Luis Alberto,es ESP,MF,it Lazio,27,1992,5.3,2,0,0,1,4,0,26,5,6,,,0,Matches
17,Thiago Alcántara,es ESP,MF,eng Liverpool,29,1991,2.5,1,0,0,6,0,0,0,2,8,,,0,Matches
18,Danijel Aleksić,rs SRB,MF,tr Başakşehir,29,1991,1.2,0,0,0,0,2,0,3,1,0,,,0,Matches
19,Carles Aleñá,es ESP,MF,es Barcelona,22,1998,1.4,0,0,0,1,3,0,2,0,1,,,0,Matches
20,Trent Alexander-Arnold,eng ENG,DF,eng Liverpool,21,1998,7.9,2,0,0,5,2,1,49,12,5,,,0,Matches
21,Hasan Ali Kaldırım,tr TUR,DF,tr Başakşehir,30,1989,1.2,0,0,0,0,0,0,6,0,0,,,0,Matches
22,Alisson,br BRA,GK,eng Liverpool,27,1992,7,0,0,0,0,0,0,0,0,0,,,0,Matches
23,Marcos Alonso,es ESP,MF,eng Chelsea,29,1990,2,0,0,0,3,2,0,7,0,1,,,0,Matches
24,Éder Álvarez Balanta,co COL,MF,be Club Brugge,27,1993,2.6,0,0,0,9,3,0,0,4,0,,,0,Matches
25,Edson Álvarez,mx MEX,MF,nl Ajax,22,1997,1.4,0,0,0,3,0,1,0,4,1,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Jordan Amavi,fr FRA,DF,fr Marseille,26,1994,5,2,0,0,9,5,0,10,13,7,,,0,Matches
27,Mikkel Andersen,dk DEN,GK,dk Midtjylland,31,1988,2,0,0,0,1,0,0,0,0,0,,,0,Matches
28,Felipe Anderson,br BRA,FW,pt Porto,27,1993,0.7,0,0,0,2,0,1,0,4,1,,,0,Matches
29,Mikael Anderson,is ISL,MF,dk Midtjylland,22,1998,1.9,1,0,0,7,3,0,3,3,4,,,0,Matches
30,Joel Andersson,se SWE,DF,dk Midtjylland,23,1996,4.4,0,0,0,0,1,0,11,9,6,,,0,Matches
31,Oleksandr Andriyevskyi,ua UKR,MF,ua Dynamo Kyiv,26,1994,1.4,0,0,0,0,0,0,0,2,2,,,0,Matches
32,Angeliño,es ESP,"MF,DF",de RB Leipzig,23,1997,7,1,0,0,6,3,1,36,4,7,,,0,Matches
33,Faustino Anjorin,eng ENG,FW,eng Chelsea,18,2001,0.9,0,0,0,2,0,0,0,1,3,,,0,Matches
34,Marcos Antônio,br BRA,MF,ua Shakhtar Donetsk,20,2000,2.7,0,0,0,1,3,0,0,2,0,,,0,Matches
35,Antony,br BRA,"FW,MF",nl Ajax,20,2000,4,0,0,0,3,9,3,11,3,3,,,0,Matches
36,Youssef El-Arabi,ma MAR,FW,gr Olympiacos,33,1987,4.7,0,0,0,6,6,12,2,1,0,,,0,Matches
37,Ronald Araújo,uy URU,DF,es Barcelona,21,1999,1.6,0,0,0,3,1,0,0,2,3,,,0,Matches
38,Ari,ru RUS,FW,ru Krasnodar,34,1985,0.3,0,0,0,1,1,1,0,0,0,,,0,Matches
39,Bright Arrey-Mbi,de GER,MF,de Bayern Munich,17,2003,0.7,0,0,0,0,0,0,0,0,0,,,0,Matches
40,Sergio Arribas,es ESP,MF,es Real Madrid,18,2001,0.4,0,0,0,1,0,0,0,0,0,,,0,Matches
41,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,25,1994,1,0,0,0,0,0,0,0,0,0,,,0,Matches
