Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
40,Fredrik Aursnes,no NOR,MF,pt Benfica,26,1995,10,7,620,6.9,1,0,1,1,0,0,0,0,0.15,0,0.15,0.15,0.15,Matches
41,Sardar Azmoun,ir IRN,"FW,MF",de Leverkusen,27,1995,2,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
42,César Azpilicueta,es ESP,DF,eng Chelsea,32,1989,5,3,260,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Youri Baas,nl NED,DF,nl Ajax,19,2003,3,0,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Alexander Bah,dk DEN,DF,pt Benfica,24,1997,8,8,654,7.3,0,2,2,0,0,0,1,0,0,0.28,0.28,0,0.28,Matches
45,Eric Bailly,ci CIV,DF,fr Marseille,28,1994,5,5,302,3.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
46,Stefan Bajcetic,es ESP,MF,eng Liverpool,17,2004,4,1,109,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
47,Mitchel Bakker,nl NED,"MF,DF",de Leverkusen,22,2000,5,4,338,3.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
48,Alejandro Balde,es ESP,DF,es Barcelona,18,2003,4,1,171,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
49,Leonardo Balerdi,ar ARG,DF,fr Marseille,23,1999,6,5,491,5.5,1,0,1,1,0,0,1,0,0.18,0,0.18,0.18,0.18,Matches
50,Fodé Ballo-Touré,sn SEN,DF,it Milan,25,1997,4,1,135,1.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Tommaso Barbieri,it ITA,"DF,MF",it Juventus,19,2002,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
52,Roony Bardghji,se SWE,FW,dk FC Copenhagen,16,2005,2,1,98,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
