Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
1,Anicet Abel,mg MAD,MF,bg Ludogorets Razgrad,26,1990,6,0,3,1,33.3,0.5,0.17,0,0,0,0,Matches
2,Vincent Aboubakar,cm CMR,FW,tr Beşiktaş,24,1992,5.5,3,13,7,53.8,2.38,1.28,0.23,0.43,0,0,Matches
3,Tosin Adarabioyo,eng ENG,DF,eng Manchester City,18,1997,1,0,0,0,,0,0,,,0,0,Matches
4,Adriano,br BRA,"MF,DF",tr Beşiktaş,31,1984,5.2,1,4,1,25,0.76,0.19,0.25,1,0,0,Matches
5,Sergio Agüero,ar ARG,FW,eng Manchester City,28,1988,6,5,31,11,35.5,5.16,1.83,0.13,0.36,1,1,Matches
6,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,30,1986,6,0,0,0,,0,0,,,0,0,Matches
7,David Alaba,at AUT,DF,de Bayern Munich,24,1992,9.3,0,14,3,21.4,1.5,0.32,0,0,0,0,Matches
8,Jordi Alba,es ESP,DF,es Barcelona,27,1989,4.8,0,2,0,0,0.41,0,0,,0,0,Matches
9,Raúl Albiol,es ESP,DF,it Napoli,30,1985,5.1,0,2,0,0,0.39,0,0,,0,0,Matches
10,Marc Albrighton,eng ENG,MF,eng Leicester City,26,1989,8.3,2,4,3,75,0.48,0.36,0.5,0.67,0,0,Matches
11,Paco Alcácer,es ESP,FW,es Barcelona,22,1993,2,0,2,1,50,1.02,0.51,0,0,0,0,Matches
12,Thiago Alcántara,es ESP,MF,de Bayern Munich,25,1991,8.7,2,10,3,30,1.15,0.34,0.2,0.67,0,0,Matches
13,Toby Alderweireld,be BEL,DF,eng Tottenham Hotspur,27,1989,2.2,1,5,2,40,2.23,0.89,0.2,0.5,0,0,Matches
14,Mihail Aleksandrov,bg BUL,"MF,FW",pl Legia Warsaw,27,1989,0.8,0,0,0,,0,0,,,0,0,Matches
15,Allan,br BRA,MF,it Napoli,25,1991,4.9,0,2,0,0,0.41,0,0,,0,0,Matches
16,Dele Alli,eng ENG,MF,eng Tottenham Hotspur,20,1996,5.9,1,19,5,26.3,3.21,0.85,0.05,0.2,0,0,Matches
17,André Almeida,pt POR,"DF,MF",pt Benfica,25,1990,3,0,1,0,0,0.33,0,0,,0,0,Matches
18,Xabi Alonso,es ESP,MF,de Bayern Munich,34,1981,6.5,0,1,1,100,0.15,0.15,0,0,0,0,Matches
19,Éder Álvarez Balanta,co COL,DF,ch Basel,23,1993,6,0,3,1,33.3,0.5,0.17,0,0,0,0,Matches
20,Dani Alves,br BRA,"MF,DF",it Juventus,33,1983,11.1,3,13,4,30.8,1.17,0.36,0.23,0.75,0,0,Matches
21,Danny Amankwaa,dk DEN,"FW,MF",dk FC Copenhagen,22,1994,0.1,0,0,0,,0,0,,,0,0,Matches
22,Daniel Amartey,gh GHA,MF,eng Leicester City,21,1994,3.2,0,3,1,33.3,0.93,0.31,0,0,0,0,Matches
23,André,br BRA,FW,pt Sporting CP,25,1990,0.5,0,2,1,50,3.83,1.91,0,0,0,0,Matches
24,André André,pt POR,MF,pt Porto,26,1989,1.9,0,9,1,11.1,4.74,0.53,0,0,0,0,Matches
