Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
49,Nicolò Barella,it ITA,MF,it Inter,24,1997,5.5,0,1,0,3,7,0,9,4,6,,,0,Matches
50,Ross Barkley,eng ENG,MF,eng Chelsea,27,1993,1.1,0,0,0,0,1,0,7,0,0,,,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
51,Wílmar Barrios,co COL,"MF,DF",ru Zenit,27,1993,6,1,0,0,7,9,0,2,9,10,,,0,Matches
52,Gil Bastião Dias,pt POR,"FW,MF",pt Benfica,24,1996,0,0,0,0,0,0,0,0,0,0,,,0,Matches
53,Alessandro Bastoni,it ITA,DF,it Inter,22,1999,7.4,2,0,0,11,8,0,13,5,4,,,0,Matches
54,Michy Batshuayi,be BEL,FW,tr Beşiktaş,27,1993,4.3,1,0,0,6,3,7,3,1,3,,,0,Matches
55,Donny van de Beek,nl NED,MF,eng Manchester Utd,24,1997,2.3,1,0,0,4,2,0,0,5,3,,,0,Matches
56,Jude Bellingham,eng ENG,MF,de Dortmund,18,2003,5.6,1,0,0,8,17,1,7,7,8,,,0,Matches
57,Hatem Ben Arfa,fr FRA,"FW,MF",fr Lille,34,1987,0.3,1,0,0,1,1,0,2,0,0,,,0,Matches
58,Ismaël Bennacer,dz ALG,MF,it Milan,23,1997,4.2,1,0,0,7,9,0,10,5,9,,,0,Matches
59,Rodrigo Bentancur,uy URU,MF,it Juventus,24,1997,4.2,0,0,0,5,2,1,4,2,8,,,0,Matches
60,Karim Benzema,fr FRA,FW,es Real Madrid,33,1987,12.2,1,0,0,2,4,8,10,1,2,,,0,Matches
61,Steven Berghuis,nl NED,MF,nl Ajax,29,1991,6.9,1,0,0,3,1,2,27,3,2,,,0,Matches
62,Federico Bernardeschi,it ITA,"MF,FW",it Juventus,27,1994,3.2,0,0,0,2,4,1,19,5,1,,,0,Matches
63,Bernardo,br BRA,DF,at RB Salzburg,26,1995,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
