Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Igor Akinfeev,ru RUS,GK,ru CSKA Moscow,32,1986,5,5,449,5,6,1.2,25,20,76,2,1,2,2,40,1,0,1,0,100,Matches
2,Alisson,br BRA,GK,eng Liverpool,25,1992,13,13,"1,170",13,12,0.92,57,45,78.9,8,1,4,6,46.2,0,0,0,0,,Matches
3,Alphonse Areola,fr FRA,GK,fr Paris Saint-Germain,25,1993,3,3,270,3,6,2,14,9,64.3,1,1,1,0,0,1,1,0,0,0,Matches
4,Loic Badiashile,fr FRA,GK,fr Monaco,20,1998,1,1,90,1,1,1,5,4,80,0,1,0,0,0,0,0,0,0,,Matches
5,David von Ballmoos,ch SUI,GK,ch Young Boys,23,1994,4,4,360,4,10,2.5,22,13,59.1,0,0,4,0,0,1,1,0,0,0,Matches
6,Vasilios Barkas,gr GRE,GK,gr AEK Athens,24,1994,6,6,540,6,13,2.17,38,27,71.1,0,0,6,0,0,2,2,0,0,0,Matches
7,Oliver Baumann,de GER,GK,de Hoffenheim,28,1990,6,6,540,6,14,2.33,43,29,67.4,0,3,3,0,0,0,0,0,0,,Matches
8,Diego Benaglio,ch SUI,GK,fr Monaco,34,1983,5,5,405,4.5,10,2.22,17,8,47.1,0,0,5,0,0,1,1,0,0,0,Matches
9,Milan Borjan,ca CAN,GK,rs Red Star,30,1987,6,6,540,6,17,2.83,55,39,70.9,1,1,4,2,33.3,2,1,0,1,0,Matches
10,Gianluigi Buffon,it ITA,GK,fr Paris Saint-Germain,40,1978,5,5,450,5,6,1.2,12,9,75,3,1,1,1,20,3,3,0,0,0,Matches
11,Roman Bürki,ch SUI,GK,de Dortmund,27,1990,7,7,630,7,6,0.86,23,17,73.9,3,1,3,4,57.1,0,0,0,0,,Matches
12,Iker Casillas,es ESP,GK,pt Porto,37,1981,10,10,930,10.3,15,1.45,35,23,65.7,6,1,3,1,10,5,3,0,2,0,Matches
13,Jasper Cillessen,nl NED,GK,es Barcelona,29,1989,1,1,90,1,1,1,7,6,85.7,0,1,0,0,0,0,0,0,0,,Matches
14,Thibaut Courtois,be BEL,GK,es Real Madrid,26,1992,5,5,450,5,8,1.6,27,19,70.4,3,0,2,2,40,0,0,0,0,,Matches
15,Jaume Doménech,es ESP,GK,es Valencia,27,1990,1,1,90,1,1,1,5,4,80,1,0,0,0,0,0,0,0,0,,Matches
16,Ederson,br BRA,GK,eng Manchester City,24,1993,10,10,900,10,12,1.2,30,21,70,7,1,2,3,30,3,3,0,0,0,Matches
17,Ralf Fährmann,de GER,GK,de Schalke 04,29,1988,6,6,540,6,14,2.33,28,16,57.1,2,1,3,2,33.3,3,2,0,1,0,Matches
18,Paulo Gazzaniga,ar ARG,GK,eng Tottenham Hotspur,26,1992,1,1,90,1,1,1,4,3,75,1,0,0,0,0,0,0,0,0,,Matches
19,David de Gea,es ESP,GK,eng Manchester Utd,27,1990,9,9,810,9,9,1,33,24,72.7,4,1,4,3,33.3,0,0,0,0,,Matches
20,Mathieu Gorgelin,fr FRA,GK,fr Lyon,27,1990,1,0,56,0.6,3,4.82,4,1,25,0,0,0,0,,0,0,0,0,,Matches
21,Samir Handanović,si SVN,GK,it Inter,34,1984,6,6,540,6,7,1.17,39,32,82.1,2,2,2,0,0,0,0,0,0,,Matches
22,Marwin Hitz,ch SUI,GK,de Dortmund,30,1987,1,1,90,1,0,0,0,0,,1,0,0,1,100,0,0,0,0,,Matches
23,Ethan Horvath,us USA,GK,be Club Brugge,23,1995,3,3,270,3,0,0,11,11,100,1,2,0,3,100,0,0,0,0,,Matches
