Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Christian Abbiati,it ITA,GK,Milan,it Serie A,37,1977,11,10,906,10.1,8,0.79,37,29,78.4,5,5,1,4,40,,,,,,Matches
2,René Adler,de GER,GK,Hamburger SV,de Bundesliga,29,1985,12,11,"1,060",11.8,20,1.7,74,54,73,3,2,7,2,18.2,,,,,,Matches
3,Adrián,es ESP,GK,West Ham United,eng Premier League,27,1987,38,38,"3,392",37.7,47,1.25,171,124,72.5,12,10,15,8,21.1,,,,,,Matches
4,Kossi Agassa,tg TOG,GK,Reims,fr Ligue 1,36,1978,17,16,"1,440",16,30,1.87,87,57,65.5,5,3,9,5,31.3,,,,,,Matches
5,Federico Agliardi,it ITA,GK,Cesena,it Serie A,31,1983,10,9,870,9.7,19,1.97,53,34,64.2,0,3,6,1,11.1,,,,,,Matches
6,Ali Ahamada,km COM,GK,Toulouse,fr Ligue 1,22,1991,23,23,"2,070",23,40,1.74,100,60,60,8,3,12,4,17.4,,,,,,Matches
7,Jak Alnwick,eng ENG,GK,Newcastle United,eng Premier League,21,1993,6,5,495,5.5,14,2.55,23,9,39.1,2,1,3,0,0,,,,,,Matches
8,Cristian Álvarez,ar ARG,GK,Rayo Vallecano,es La Liga,28,1985,17,16,"1,440",16,33,2.06,78,45,57.7,6,2,8,4,25,,,,,,Matches
9,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,27,1986,38,38,"3,350",37.2,42,1.13,146,104,71.2,12,12,13,11,28.9,,,,,,Matches
10,Diego Alves,br BRA,GK,Valencia,es La Liga,29,1985,37,37,"3,311",36.8,29,0.79,119,90,75.6,22,10,4,13,35.1,,,,,,Matches
11,Mariano Andújar,ar ARG,GK,Napoli,it Serie A,31,1983,15,15,"1,350",15,24,1.6,51,27,52.9,6,3,6,4,26.7,,,,,,Matches
12,Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,es La Liga,30,1984,27,27,"2,430",27,23,0.85,71,48,67.6,17,5,5,12,44.4,,,,,,Matches
13,Alphonse Areola,fr FRA,GK,Bastia,fr Ligue 1,21,1993,35,35,"3,150",35,42,1.2,140,98,70,12,9,14,11,31.4,,,,,,Matches
14,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,25,1989,34,34,"3,053",33.9,31,0.91,123,92,74.8,14,11,8,15,44.1,,,,,,Matches
15,Samuel Atrous,fr FRA,GK,Lens,fr Ligue 1,24,1990,1,1,90,1,0,0,5,5,100,1,0,0,1,100,,,,,,Matches
16,Fabien Audard,fr FRA,GK,Lorient,fr Ligue 1,36,1978,1,0,4,0,0,0,0,0,,0,0,0,0,,,,,,,Matches
17,Vlada Avramov,rs SRB,GK,Atalanta,it Serie A,35,1979,1,1,56,0.6,1,1.61,4,3,75,1,0,0,0,0,,,,,,Matches
18,Mariano Barbosa,ar ARG,GK,Sevilla,es La Liga,30,1984,2,1,164,1.8,2,1.1,3,1,33.3,1,1,0,0,0,,,,,,Matches
19,Francesco Bardi,it ITA,GK,Chievo,it Serie A,22,1992,10,10,900,10,17,1.7,36,19,52.8,1,1,8,1,10,,,,,,Matches
20,Davide Bassi,it ITA,GK,Empoli,it Serie A,29,1985,7,7,630,7,17,2.43,40,23,57.5,0,2,5,0,0,,,,,,Matches
21,Sacha Bastien,fr FRA,GK,Reims,fr Ligue 1,20,1994,1,1,20,0.2,3,13.5,5,2,40,0,0,1,0,0,,,,,,Matches
22,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,24,1990,34,34,"3,060",34,55,1.62,165,110,66.7,12,8,14,8,23.5,,,,,,Matches
23,Asmir Begović,ba BIH,GK,Stoke City,eng Premier League,27,1987,35,35,"3,150",35,43,1.23,129,86,66.7,14,8,13,7,20,,,,,,Matches
24,Valentin Belon,fr FRA,GK,Lens,fr Ligue 1,19,1995,6,5,518,5.8,11,1.91,24,13,54.2,1,0,4,0,0,,,,,,Matches
25,Diego Benaglio,ch SUI,GK,Wolfsburg,de Bundesliga,30,1983,31,31,"2,790",31,32,1.03,130,98,75.4,20,7,4,8,25.8,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Francesco Benussi,it ITA,GK,Hellas Verona,it Serie A,32,1981,16,15,"1,423",15.8,25,1.58,80,55,68.8,6,4,6,3,20,,,,,,Matches
27,Etrit Berisha,al ALB,GK,Lazio,it Serie A,25,1989,10,8,810,9,9,1,35,26,74.3,4,0,6,4,50,,,,,,Matches
28,Beto,pt POR,GK,Sevilla,es La Liga,32,1982,18,18,"1,444",16,19,1.18,58,39,67.2,10,3,5,8,44.4,,,,,,Matches
29,Albano Bizzarri,ar ARG,GK,Chievo,it Serie A,36,1977,28,28,"2,520",28,24,0.86,110,86,78.2,7,17,4,13,46.4,,,,,,Matches
30,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,19,1995,1,0,70,0.8,2,2.57,2,0,0,1,0,0,0,,,,,,,Matches
31,Zacharie Boucher,fr FRA,GK,Toulouse,fr Ligue 1,22,1992,15,15,"1,350",15,24,1.6,57,33,57.9,4,3,8,3,20,,,,,,Matches
32,Claudio Bravo,cl CHI,GK,Barcelona,es La Liga,31,1983,37,37,"3,330",37,19,0.51,89,70,78.7,30,3,4,23,62.2,,,,,,Matches
33,Walter Bressan,it ITA,GK,Cesena,it Serie A,33,1981,1,1,90,1,5,5,9,4,44.4,0,0,1,0,0,,,,,,Matches
34,Željko Brkić,rs SRB,GK,Cagliari,it Serie A,28,1986,21,21,"1,890",21,34,1.62,105,71,67.6,6,4,11,2,9.5,,,,,,Matches
35,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,36,1978,33,33,"2,970",33,20,0.61,83,63,75.9,23,8,2,18,54.5,,,,,,Matches
36,Sascha Burchert,de GER,GK,Hertha BSC,de Bundesliga,24,1989,2,1,98,1.1,1,0.92,7,6,85.7,0,1,1,1,100,,,,,,Matches
37,Roman Bürki,ch SUI,GK,Freiburg,de Bundesliga,23,1990,34,34,"3,060",34,47,1.38,208,161,77.4,7,13,14,9,26.5,,,,,,Matches
38,Jack Butland,eng ENG,GK,Stoke City,eng Premier League,21,1993,3,3,270,3,2,0.67,10,8,80,1,1,1,2,66.7,,,,,,Matches
39,Willy Caballero,ar ARG,GK,Manchester City,eng Premier League,32,1981,2,2,180,2,4,2,9,5,55.6,2,0,0,0,0,,,,,,Matches
40,Rafael Cabral,br BRA,GK,Napoli,it Serie A,24,1990,23,23,"2,070",23,30,1.3,79,49,62,12,6,5,5,21.7,,,,,,Matches
41,Juan Carlos,es ESP,GK,Villarreal,es La Liga,27,1987,5,4,367,4.1,6,1.47,18,12,66.7,2,1,2,2,50,,,,,,Matches
42,Juan Carlos,es ESP,GK,Córdoba,es La Liga,26,1988,32,32,"2,880",32,56,1.75,150,94,62.7,3,11,18,7,21.9,,,,,,Matches
43,Cédric Carrasso,fr FRA,GK,Bordeaux,fr Ligue 1,32,1981,37,37,"3,251",36.1,40,1.11,132,92,69.7,16,12,8,9,24.3,,,,,,Matches
44,Johann Carrasso,fr FRA,GK,Metz,fr Ligue 1,26,1988,21,21,"1,795",19.9,33,1.65,82,49,59.8,2,6,12,5,23.8,,,,,,Matches
45,Kiko Casilla,es ESP,GK,Espanyol,es La Liga,27,1986,37,37,"3,280",36.4,48,1.32,160,112,70,13,10,13,13,35.1,,,,,,Matches
46,Iker Casillas,es ESP,GK,Real Madrid,es La Liga,33,1981,32,32,"2,880",32,35,1.09,118,83,70.3,24,2,6,12,37.5,,,,,,Matches
47,Koen Casteels,be BEL,GK,Werder Bremen,de Bundesliga,22,1992,6,6,540,6,8,1.33,30,22,73.3,2,2,2,2,33.3,,,,,,Matches
48,Petr Čech,cz CZE,GK,Chelsea,eng Premier League,32,1982,7,6,607,6.7,2,0.3,18,16,88.9,7,0,0,5,83.3,,,,,,Matches
49,David Cobeño,es ESP,GK,Rayo Vallecano,es La Liga,32,1982,3,2,246,2.7,5,1.83,13,8,61.5,1,0,2,1,50,,,,,,Matches
50,Jordi Codina,es ESP,GK,Getafe,es La Liga,32,1982,5,5,450,5,14,2.8,35,21,60,1,0,4,0,0,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
51,Simone Colombi,it ITA,GK,Cagliari,it Serie A,23,1991,3,3,270,3,8,2.67,14,6,42.9,0,1,2,0,0,,,,,,Matches
52,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,27,1987,35,35,"3,126",34.7,53,1.53,172,119,69.2,11,11,12,8,22.9,,,,,,Matches
53,Benoît Costil,fr FRA,GK,Rennes,fr Ligue 1,27,1987,38,38,"3,420",38,42,1.11,140,98,70,13,11,14,8,21.1,,,,,,Matches
54,Thibaut Courtois,be BEL,GK,Chelsea,eng Premier League,22,1992,32,32,"2,813",31.3,30,0.96,103,73,70.9,19,9,3,12,37.5,,,,,,Matches
55,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,20,1994,14,14,"1,260",14,26,1.86,67,41,61.2,2,5,7,2,14.3,,,,,,Matches
56,Julián Cuesta,es ESP,GK,Almería,es La Liga,23,1991,15,15,"1,350",15,26,1.73,96,70,72.9,4,3,8,4,26.7,,,,,,Matches
57,Kelvin Davis,eng ENG,GK,Southampton,eng Premier League,37,1976,7,6,617,6.9,9,1.31,22,13,59.1,2,1,4,2,33.3,,,,,,Matches
58,Morgan De Sanctis,it ITA,GK,Roma,it Serie A,37,1977,35,35,"3,150",35,26,0.74,107,81,75.7,18,13,4,16,45.7,,,,,,Matches
59,Stole Dimitrievski,mk MKD,GK,Granada,es La Liga,20,1993,1,1,90,1,1,1,1,0,0,1,0,0,0,0,,,,,,Matches
60,Nicolas Douchez,fr FRA,GK,Paris Saint-Germain,fr Ligue 1,34,1980,5,4,418,4.6,8,1.72,14,6,42.9,4,0,1,1,25,,,,,,Matches
61,Jaroslav Drobný,cz CZE,GK,Hamburger SV,de Bundesliga,34,1979,23,23,"2,000",22.2,30,1.35,120,90,75,6,6,10,8,34.8,,,,,,Matches
62,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,21,1993,6,6,540,6,5,0.83,17,12,70.6,3,1,2,2,33.3,,,,,,Matches
63,Rob Elliot,ie IRL,GK,Newcastle United,eng Premier League,28,1986,3,3,225,2.5,2,0.8,7,5,71.4,1,1,1,1,33.3,,,,,,Matches
64,Vincent Enyeama,ng NGA,GK,Lille,fr Ligue 1,31,1982,38,38,"3,420",38,42,1.11,137,95,69.3,16,8,14,14,36.8,,,,,,Matches
65,Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,29,1985,37,37,"3,308",36.8,46,1.25,181,135,74.6,16,8,13,13,35.1,,,,,,Matches
66,Fabricio,es ESP,GK,Dep La Coruña,es La Liga,26,1987,31,31,"2,790",31,41,1.32,145,104,71.7,6,13,12,11,35.5,,,,,,Matches
67,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,25,1988,25,25,"2,250",25,30,1.2,132,102,77.3,10,6,9,7,28,,,,,,Matches
