Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Oliver Baumann,de GER,GK,Freiburg,de Bundesliga,23,1990,33,33,"2,970",33,58,1.76,210,152,72.4,9,9,15,5,15.2,,,,,,Matches
27,Asmir Begović,ba BIH,GK,Stoke City,eng Premier League,26,1987,32,32,"2,880",32,36,1.13,136,100,73.5,12,10,10,9,28.1,,,,,,Matches
28,Diego Benaglio,ch SUI,GK,Wolfsburg,de Bundesliga,29,1983,29,29,"2,565",28.5,43,1.51,134,91,67.9,15,5,9,5,17.2,,,,,,Matches
29,Etrit Berisha,al ALB,GK,Lazio,it Serie A,24,1989,17,17,"1,530",17,25,1.47,72,47,65.3,7,6,4,7,41.2,,,,,,Matches
30,Beto,pt POR,GK,Sevilla,es La Liga,31,1982,33,33,"2,925",32.5,46,1.42,145,99,68.3,16,7,9,8,24.2,,,,,,Matches
31,Albano Bizzarri,ar ARG,GK,Genoa,it Serie A,35,1977,1,1,90,1,0,0,5,5,100,1,0,0,1,100,,,,,,Matches
32,Artur Boruc,pl POL,GK,Southampton,eng Premier League,33,1980,29,29,"2,577",28.6,26,0.91,92,66,71.7,14,9,6,14,48.3,,,,,,Matches
33,Zacharie Boucher,fr FRA,GK,Toulouse,fr Ligue 1,21,1992,17,17,"1,530",17,27,1.59,66,39,59.1,5,6,6,2,11.8,,,,,,Matches
34,Claudio Bravo,cl CHI,GK,Real Sociedad,es La Liga,30,1983,37,37,"3,330",37,54,1.46,178,124,69.7,16,11,10,12,32.4,,,,,,Matches
35,Željko Brkić,rs SRB,GK,Udinese,it Serie A,27,1986,12,12,"1,080",12,22,1.83,62,40,64.5,3,2,7,1,8.3,,,,,,Matches
36,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,35,1978,33,33,"2,866",31.8,20,0.63,107,87,81.3,28,3,2,20,60.6,,,,,,Matches
37,Jack Butland,eng ENG,GK,Stoke City,eng Premier League,20,1993,3,2,225,2.5,7,2.8,18,11,61.1,1,1,1,0,0,,,,,,Matches
38,Willy Caballero,ar ARG,GK,Málaga,es La Liga,31,1981,38,38,"3,420",38,46,1.21,178,132,74.2,12,9,17,12,31.6,,,,,,Matches
39,Rafael Cabral,br BRA,GK,Napoli,it Serie A,23,1990,8,7,675,7.5,8,1.07,25,17,68,5,2,0,3,42.9,,,,,,Matches
40,Juan Carlos,es ESP,GK,Villarreal,es La Liga,26,1987,3,3,270,3,3,1,9,6,66.7,2,0,1,1,33.3,,,,,,Matches
41,Cédric Carrasso,fr FRA,GK,Bordeaux,fr Ligue 1,31,1981,36,36,"3,189",35.4,34,0.96,143,109,76.2,12,12,11,7,19.4,,,,,,Matches
42,Kiko Casilla,es ESP,GK,Espanyol,es La Liga,26,1986,37,37,"3,323",36.9,47,1.27,154,107,69.5,11,9,17,9,24.3,,,,,,Matches
43,Iker Casillas,es ESP,GK,Real Madrid,es La Liga,32,1981,2,2,180,2,2,1,4,2,50,1,1,0,0,0,,,,,,Matches
44,Koen Casteels,be BEL,GK,Hoffenheim,de Bundesliga,21,1992,23,23,"2,052",22.8,53,2.32,128,75,58.6,6,8,9,1,4.3,,,,,,Matches
45,Petr Čech,cz CZE,GK,Chelsea,eng Premier League,31,1982,34,34,"3,060",34,24,0.71,103,79,76.7,23,6,5,16,47.1,,,,,,Matches
46,Júlio César,br BRA,GK,Getafe,es La Liga,26,1986,5,5,448,5,3,0.6,19,16,84.2,3,2,0,2,40,,,,,,Matches
47,Florent Chaigneau,fr FRA,GK,Lorient,fr Ligue 1,29,1984,12,11,962,10.7,8,0.75,40,32,80,7,3,2,7,63.6,,,,,,Matches
48,David Cobeño,es ESP,GK,Rayo Vallecano,es La Liga,31,1982,5,4,426,4.7,16,3.38,31,15,48.4,1,1,3,1,25,,,,,,Matches
49,Jordi Codina,es ESP,GK,Getafe,es La Liga,31,1982,9,7,665,7.4,11,1.49,38,27,71.1,1,2,4,2,28.6,,,,,,Matches
50,Roberto Colombo,it ITA,GK,Napoli,it Serie A,37,1975,1,0,45,0.5,0,0,1,1,100,0,0,0,0,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
51,Andrea Consigli,it ITA,GK,Atalanta,it Serie A,26,1987,35,35,"3,150",35,48,1.37,182,134,73.6,13,5,17,8,22.9,,,,,,Matches
52,Angelo da Costa Júnior,br BRA,GK,Sampdoria,it Serie A,29,1983,33,33,"2,970",33,49,1.48,155,106,68.4,11,8,14,9,27.3,,,,,,Matches
53,Benoît Costil,fr FRA,GK,Rennes,fr Ligue 1,26,1987,38,38,"3,420",38,45,1.18,173,128,74,11,13,14,12,31.6,,,,,,Matches
54,Thibaut Courtois,be BEL,GK,Atlético Madrid,es La Liga,21,1992,37,37,"3,330",37,24,0.65,96,72,75,28,6,3,20,54.1,,,,,,Matches
55,Pierrick Cros,fr FRA,GK,Sochaux,fr Ligue 1,22,1991,6,6,540,6,11,1.83,31,20,64.5,2,1,3,1,16.7,,,,,,Matches
56,Gianluca Curci,it ITA,GK,Bologna,it Serie A,28,1985,37,37,"3,330",37,57,1.54,172,115,66.9,5,14,18,9,24.3,,,,,,Matches
57,Luke Daniels,eng ENG,GK,West Brom,eng Premier League,25,1988,1,0,13,0.1,0,0,1,1,100,0,0,0,0,,,,,,,Matches
58,Daniel Davari,ir IRN,GK,BTSV,de Bundesliga,25,1988,29,29,"2,610",29,48,1.66,171,123,71.9,6,6,17,6,20.7,,,,,,Matches
59,Kelvin Davis,eng ENG,GK,Southampton,eng Premier League,36,1976,2,2,180,2,5,2.5,11,6,54.5,0,0,2,0,0,,,,,,Matches
60,Morgan De Sanctis,it ITA,GK,Roma,it Serie A,36,1977,36,36,"3,240",36,23,0.64,115,92,80,26,7,3,21,58.3,,,,,,Matches
61,Toni Doblas,es ESP,GK,Napoli,it Serie A,32,1980,2,1,103,1.1,2,1.75,7,5,71.4,0,1,0,0,0,,,,,,Matches
62,Nicolas Douchez,fr FRA,GK,Paris Saint-Germain,fr Ligue 1,33,1980,1,1,90,1,0,0,1,1,100,1,0,0,1,100,,,,,,Matches
63,Jaroslav Drobný,cz CZE,GK,Hamburger SV,de Bundesliga,33,1979,4,4,360,4,12,3,21,9,42.9,0,0,4,0,0,,,,,,Matches
64,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,20,1993,4,4,360,4,3,0.75,9,6,66.7,2,1,1,3,75,,,,,,Matches
65,Rob Elliot,ie IRL,GK,Newcastle United,eng Premier League,27,1986,2,2,180,2,8,4,18,10,55.6,0,0,2,0,0,,,,,,Matches
66,Vincent Enyeama,ng NGA,GK,Lille,fr Ligue 1,30,1982,38,38,"3,420",38,26,0.68,122,96,78.7,20,11,7,21,55.3,,,,,,Matches
67,Esteban,es ESP,GK,Almería,es La Liga,38,1975,38,38,"3,420",38,71,1.87,214,143,66.8,11,7,20,10,26.3,,,,,,Matches
68,Łukasz Fabiański,pl POL,GK,Arsenal,eng Premier League,28,1985,1,,90,1,0,0,,,,1,0,0,1,,,,,,,Matches
69,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,24,1988,22,22,"1,980",22,19,0.86,88,69,78.4,14,4,4,11,50,,,,,,Matches
70,Andrés Fernández,es ESP,GK,Osasuna,es La Liga,26,1986,37,37,"3,299",36.7,61,1.66,178,117,65.7,9,8,19,8,21.6,,,,,,Matches
71,Vincenzo Fiorillo,it ITA,GK,Sampdoria,it Serie A,23,1990,5,5,450,5,13,2.6,41,28,68.3,1,1,3,0,0,,,,,,Matches
72,Ben Foster,eng ENG,GK,West Brom,eng Premier League,30,1983,24,24,"2,147",23.9,38,1.59,111,73,65.8,4,10,10,3,12.5,,,,,,Matches
73,Brad Friedel,us USA,GK,Tottenham Hotspur,eng Premier League,42,1971,1,1,90,1,1,1,4,3,75,0,0,1,0,0,,,,,,Matches
74,Alberto Frison,it ITA,GK,Catania,it Serie A,25,1988,14,14,"1,260",14,24,1.71,81,57,70.4,5,3,6,3,21.4,,,,,,Matches
75,Gabi,es ESP,MF,Atlético Madrid,es La Liga,30,1983,1,0,6,34.6,1,15,1,0,0,0,0,0,0,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
76,Gabriel,br BRA,GK,Milan,it Serie A,20,1992,7,6,585,6.5,10,1.54,28,18,64.3,3,2,1,1,16.7,,,,,,Matches
77,Paulo Gazzaniga,ar ARG,GK,Southampton,eng Premier League,21,1992,8,7,663,7.4,15,2.04,29,14,48.3,1,2,4,1,14.3,,,,,,Matches
78,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,22,1990,37,37,"3,330",37,43,1.16,139,96,69.1,18,7,12,12,32.4,,,,,,Matches
79,Marius Gersbeck,de GER,GK,Hertha BSC,de Bundesliga,18,1995,1,1,90,1,1,1,7,6,85.7,1,0,0,0,0,,,,,,Matches
80,Lys Gomis,sn SEN,GK,Torino,it Serie A,23,1989,1,0,40,0.4,1,2.25,2,1,50,0,0,0,0,,,,,,,Matches
81,Mathieu Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,22,1990,2,1,149,1.7,2,1.21,4,2,50,0,2,0,0,0,,,,,,Matches
82,Jens Grahl,de GER,GK,Hoffenheim,de Bundesliga,24,1988,11,11,990,11,17,1.55,64,47,73.4,5,3,3,2,18.2,,,,,,Matches
83,Max Grün,de GER,GK,Wolfsburg,de Bundesliga,26,1987,6,5,495,5.5,7,1.27,19,12,63.2,3,1,1,0,0,,,,,,Matches
84,Vicente Guaita,es ESP,GK,Valencia,es La Liga,26,1987,13,11,"1,140",12.7,21,1.66,68,47,69.1,2,5,5,2,18.2,,,,,,Matches
85,Brad Guzan,us USA,GK,Aston Villa,eng Premier League,28,1984,38,38,"3,420",38,61,1.61,174,113,64.9,10,8,20,9,23.7,,,,,,Matches
86,Samir Handanović,si SVN,GK,Inter,it Serie A,29,1984,36,36,"3,110",34.6,32,0.93,145,113,77.9,14,15,7,16,44.4,,,,,,Matches
87,Jesper Hansen,dk DEN,GK,Evian,fr Ligue 1,28,1985,22,22,"1,980",22,24,1.09,86,62,72.1,9,4,9,8,36.4,,,,,,Matches
88,Steve Harper,eng ENG,GK,Hull City,eng Premier League,38,1975,13,11,"1,101",12.2,19,1.55,54,35,64.8,3,2,6,3,27.3,,,,,,Matches
89,Joe Hart,eng ENG,GK,Manchester City,eng Premier League,26,1987,31,31,"2,790",31,30,0.97,102,72,70.6,22,4,5,13,41.9,,,,,,Matches
90,Mouez Hassen,tn TUN,GK,Nice,fr Ligue 1,18,1995,5,4,360,4,7,1.75,22,15,68.2,0,0,4,1,25,,,,,,Matches
91,Wayne Hennessey,wls WAL,GK,Crystal Palace,eng Premier League,26,1987,1,1,90,1,2,2,5,3,60,0,0,1,0,0,,,,,,Matches
92,Manu Herrera,es ESP,GK,Elche,es La Liga,31,1981,30,29,"2,625",29.2,35,1.2,125,90,72,7,10,12,9,31,,,,,,Matches
93,Iago Herrerín,es ESP,GK,Athletic Club,es La Liga,25,1988,6,5,495,5.5,7,1.27,25,18,72,3,2,1,3,60,,,,,,Matches
94,Timo Hildebrand,de GER,GK,Schalke 04,de Bundesliga,34,1979,12,12,"1,080",12,24,2,64,40,62.5,5,3,4,3,25,,,,,,Matches
95,Marwin Hitz,ch SUI,GK,Augsburg,de Bundesliga,25,1987,19,19,"1,710",19,20,1.05,85,65,76.5,10,5,4,7,36.8,,,,,,Matches
96,Tim Howard,us USA,GK,Everton,eng Premier League,34,1979,37,37,"3,263",36.3,37,1.02,141,104,73.8,20,8,8,15,40.5,,,,,,Matches
97,Gorka Iraizoz,es ESP,GK,Athletic Club,es La Liga,32,1981,33,33,"2,925",32.5,32,0.98,113,81,71.7,17,8,7,9,27.3,,,,,,Matches
98,Jussi Jääskeläinen,fi FIN,GK,West Ham United,eng Premier League,38,1975,18,18,"1,620",18,24,1.33,81,57,70.4,3,6,9,8,44.4,,,,,,Matches
99,Jaime,es ESP,GK,Valladolid,es La Liga,32,1980,10,10,900,10,12,1.2,45,33,73.3,2,4,4,4,40,,,,,,Matches
100,Eldin Jakupović,ch SUI,GK,Hull City,eng Premier League,28,1984,1,1,90,1,3,3,7,4,57.1,0,0,1,0,0,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
101,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,28,1984,1,1,90,1,2,2,6,4,66.7,0,0,1,0,0,,,,,,Matches
102,Javi Jiménez,es ESP,GK,Levante,es La Liga,26,1987,2,1,170,1.9,4,2.12,9,5,55.6,0,0,1,0,0,,,,,,Matches
103,Geoffrey Jourdren,fr FRA,GK,Montpellier,fr Ligue 1,27,1986,34,34,"2,999",33.3,41,1.23,137,96,70.1,8,16,9,7,20.6,,,,,,Matches
104,Ažbe Jug,si SVN,GK,Bordeaux,fr Ligue 1,21,1992,1,1,90,1,1,1,3,2,66.7,1,0,0,0,0,,,,,,Matches
105,Loris Karius,de GER,GK,Mainz 05,de Bundesliga,20,1993,23,23,"2,070",23,31,1.35,132,101,76.5,12,4,7,9,39.1,,,,,,Matches
106,Orestis Karnezis,gr GRE,GK,Granada,es La Liga,28,1985,6,6,540,6,13,2.17,42,29,69,1,1,4,1,16.7,,,,,,Matches
107,Ivan Kelava,hr CRO,GK,Udinese,it Serie A,25,1988,10,10,900,10,13,1.3,41,28,68.3,3,1,6,2,20,,,,,,Matches
108,Thorsten Kirschbaum,de GER,GK,Stuttgart,de Bundesliga,26,1987,3,3,270,3,4,1.33,14,10,71.4,1,2,0,1,33.3,,,,,,Matches
109,Thomas Kraft,de GER,GK,Hertha BSC,de Bundesliga,25,1988,32,32,"2,880",32,45,1.41,141,96,68.1,10,8,14,8,25,,,,,,Matches
110,Tim Krul,nl NED,GK,Newcastle United,eng Premier League,25,1988,36,36,"3,240",36,51,1.42,152,101,66.4,15,4,17,10,27.8,,,,,,Matches
111,Mickaël Landreau,fr FRA,GK,Bastia,fr Ligue 1,34,1979,31,31,"2,707",30.1,44,1.46,130,86,66.2,10,10,11,10,32.3,,,,,,Matches
112,Mitchell Langerak,au AUS,GK,Dortmund,de Bundesliga,24,1988,4,4,360,4,5,1.25,14,9,64.3,3,1,0,1,25,,,,,,Matches
113,Bertrand Laquait,fr FRA,GK,Evian,fr Ligue 1,36,1977,16,16,"1,440",16,27,1.69,77,50,64.9,2,7,7,1,6.3,,,,,,Matches
114,Jean-Louis Leca,fr FRA,GK,Bastia,fr Ligue 1,27,1985,9,7,713,7.9,12,1.51,32,20,62.5,3,0,4,0,0,,,,,,Matches
115,Benjamin Lecomte,fr FRA,GK,Lorient,fr Ligue 1,22,1991,1,0,45,0.5,0,0,1,1,100,0,0,0,0,,,,,,,Matches
116,Bernd Leno,de GER,GK,Leverkusen,de Bundesliga,21,1992,34,34,"3,060",34,41,1.21,146,105,71.9,19,4,11,7,20.6,,,,,,Matches
117,Joe Lewis,eng ENG,GK,Cardiff City,eng Premier League,25,1987,1,1,90,1,1,1,4,3,75,0,1,0,0,0,,,,,,Matches
118,Anders Lindegaard,dk DEN,GK,Manchester Utd,eng Premier League,29,1984,1,1,90,1,0,0,4,4,100,1,0,0,1,100,,,,,,Matches
119,Hugo Lloris,fr FRA,GK,Tottenham Hotspur,eng Premier League,26,1986,37,37,"3,330",37,50,1.35,148,98,66.2,21,6,10,14,37.8,,,,,,Matches
120,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,22,1990,32,32,"2,821",31.3,34,1.08,146,112,76.7,15,6,10,13,40.6,,,,,,Matches
121,Diego López,es ESP,GK,Real Madrid,es La Liga,31,1981,36,36,"3,240",36,36,1,123,87,70.7,26,5,5,16,44.4,,,,,,Matches
122,Pedro López,es ESP,GK,Real Betis,es La Liga,18,1995,1,0,8,0.1,0,0,0,0,,0,0,0,0,,,,,,,Matches
123,Steve Mandanda,fr FRA,GK,Marseille,fr Ligue 1,28,1985,38,38,"3,351",37.2,40,1.07,127,87,68.5,15,12,10,9,23.7,,,,,,Matches
124,Anthony Mandrea,dz ALG,GK,Nice,fr Ligue 1,16,1996,1,0,40,0.4,1,2.25,2,1,50,0,0,1,0,,,,,,,Matches
125,Alex Manninger,at AUT,GK,Augsburg,de Bundesliga,36,1977,13,13,"1,170",13,22,1.69,69,47,68.1,5,2,6,0,0,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
126,Vito Mannone,it ITA,GK,Sunderland,eng Premier League,25,1988,29,28,"2,568",28.5,38,1.33,168,130,77.4,9,7,13,11,39.3,,,,,,Matches
127,José Manuel Pinto,es ESP,GK,Barcelona,es La Liga,37,1975,13,12,"1,148",12.8,12,0.94,41,29,70.7,7,3,2,3,25,,,,,,Matches
128,Federico Marchetti,it ITA,GK,Lazio,it Serie A,30,1983,21,21,"1,890",21,29,1.38,88,59,67,8,5,8,6,28.6,,,,,,Matches
129,Diego Mariño,es ESP,GK,Valladolid,es La Liga,23,1990,28,28,"2,520",28,48,1.71,151,103,68.2,5,11,12,8,28.6,,,,,,Matches
130,David Marshall,sct SCO,GK,Cardiff City,eng Premier League,28,1985,37,37,"3,330",37,73,1.97,216,143,66.2,7,8,22,7,18.9,,,,,,Matches
131,Allan McGregor,sct SCO,GK,Hull City,eng Premier League,31,1982,26,26,"2,228",24.8,31,1.25,103,72,69.9,7,5,14,7,26.9,,,,,,Matches
132,Sebastian Mielitz,de GER,GK,Werder Bremen,de Bundesliga,24,1989,13,13,"1,170",13,23,1.77,86,63,73.3,4,3,6,4,30.8,,,,,,Matches
133,Simon Mignolet,be BEL,GK,Liverpool,eng Premier League,25,1988,38,38,"3,420",38,50,1.32,152,102,67.1,26,6,6,10,26.3,,,,,,Matches
134,Antonio Mirante,it ITA,GK,Parma,it Serie A,30,1983,36,36,"3,191",35.5,42,1.18,139,97,69.8,14,12,9,13,36.1,,,,,,Matches
135,Heinz Müller,de GER,GK,Mainz 05,de Bundesliga,35,1978,10,10,855,9.5,18,1.89,65,47,72.3,4,0,5,2,20,,,,,,Matches
136,Boaz Myhill,wls WAL,GK,West Brom,eng Premier League,30,1982,14,14,"1,260",14,21,1.5,62,41,66.1,3,5,6,3,21.4,,,,,,Matches
137,Guy N'dy Assembé,cm CMR,GK,Guingamp,fr Ligue 1,27,1986,19,19,"1,710",19,20,1.05,77,57,74,5,7,7,5,26.3,,,,,,Matches
138,Keylor Navas,cr CRC,GK,Levante,es La Liga,26,1986,37,37,"3,249",36.1,39,1.08,192,153,79.7,12,12,13,16,43.2,,,,,,Matches
139,Neto,br BRA,GK,Fiorentina,it Serie A,24,1989,35,35,"3,150",35,38,1.09,165,127,77,18,7,10,12,34.3,,,,,,Matches
140,Manuel Neuer,de GER,GK,Bayern Munich,de Bundesliga,27,1986,31,31,"2,745",30.5,18,0.59,99,81,81.8,26,2,2,15,48.4,,,,,,Matches
141,Macedo Novaes,br BRA,GK,Valenciennes,fr Ligue 1,30,1983,10,10,900,10,18,1.8,46,28,60.9,2,1,7,2,20,,,,,,Matches
142,Guillermo Ochoa,mx MEX,GK,Ajaccio,fr Ligue 1,28,1985,37,37,"3,330",37,71,1.92,218,147,67.4,4,10,23,2,5.4,,,,,,Matches
143,Kévin Olimpa,fr FRA,GK,Bordeaux,fr Ligue 1,25,1988,2,1,141,1.6,2,1.28,5,3,60,0,2,0,0,0,,,,,,Matches
144,David Ospina,co COL,GK,Nice,fr Ligue 1,24,1988,29,29,"2,570",28.6,25,0.88,126,101,80.2,12,6,11,13,44.8,,,,,,Matches
145,Juan Pablo Carrizo,ar ARG,GK,Inter,it Serie A,29,1984,4,2,310,3.4,7,2.03,15,8,53.3,1,0,1,0,0,,,,,,Matches
146,Daniele Padelli,it ITA,GK,Torino,it Serie A,27,1985,38,38,"3,380",37.6,48,1.28,168,120,71.4,15,12,11,8,21.1,,,,,,Matches
147,Costel Pantilimon,ro ROU,GK,Manchester City,eng Premier League,26,1987,7,7,630,7,7,1,24,17,70.8,5,1,1,3,42.9,,,,,,Matches
148,Germán Parreño,es ESP,GK,Espanyol,es La Liga,20,1993,1,1,90,1,4,4,7,3,42.9,0,0,1,0,0,,,,,,Matches
149,Nicola Pavarini,it ITA,GK,Parma,it Serie A,39,1974,1,0,4,0,0,0,0,0,,0,0,0,0,,,,,,,Matches
150,Gianluca Pegolo,it ITA,GK,Sassuolo,it Serie A,32,1981,33,33,"2,970",33,55,1.67,172,117,68,9,7,17,5,15.2,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
151,Yohann Pelé,fr FRA,GK,Sochaux,fr Ligue 1,30,1982,15,15,"1,350",15,17,1.13,69,52,75.4,7,3,5,6,40,,,,,,Matches
152,Nicolas Penneteau,fr FRA,GK,Valenciennes,fr Ligue 1,32,1981,28,28,"2,520",28,47,1.68,118,71,60.2,5,7,16,1,3.6,,,,,,Matches
153,Mattia Perin,it ITA,GK,Genoa,it Serie A,20,1992,37,37,"3,330",37,50,1.35,190,140,73.7,10,11,16,11,29.7,,,,,,Matches
154,Marjan Petković,de GER,GK,BTSV,de Bundesliga,34,1979,5,5,450,5,12,2.4,28,16,57.1,0,1,4,0,0,,,,,,Matches
155,Laurent Pionnier,fr FRA,GK,Montpellier,fr Ligue 1,31,1982,5,4,420,4.7,12,2.57,23,11,47.8,0,2,3,0,0,,,,,,Matches
156,Johny Placide,ht HAI,GK,Reims,fr Ligue 1,25,1988,4,4,360,4,5,1.25,23,18,78.3,1,1,2,1,25,,,,,,Matches
157,Alberto Pomini,it ITA,GK,Sassuolo,it Serie A,32,1981,3,3,270,3,11,3.67,26,15,57.7,0,0,3,0,0,,,,,,Matches
158,Simon Pouplin,fr FRA,GK,Sochaux,fr Ligue 1,28,1985,17,17,"1,530",17,33,1.94,85,52,61.2,1,6,10,3,17.6,,,,,,Matches
159,Christian Puggioni,it ITA,GK,Chievo,it Serie A,32,1981,23,23,"2,070",23,32,1.39,98,66,67.3,4,6,13,7,30.4,,,,,,Matches
160,Lukas Raeder,de GER,GK,Bayern Munich,de Bundesliga,19,1993,2,1,135,1.5,2,1.33,5,3,60,1,1,0,1,100,,,,,,Matches
161,Rafael,br BRA,GK,Hellas Verona,it Serie A,31,1982,37,37,"3,330",37,63,1.7,222,159,71.6,16,6,15,7,18.9,,,,,,Matches
162,Patrick Rakovsky,de GER,GK,Nürnberg,de Bundesliga,20,1993,2,1,135,1.5,5,3.33,16,11,68.8,0,1,1,0,0,,,,,,Matches
