Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Christian Abbiati,it ITA,GK,Milan,it Serie A,36,1977,28,28,"2,390",26.6,31,1.17,106,75,70.8,12,6,10,11,39.3,,,,,,Matches
2,Antonio Adán,es ESP,GK,Cagliari,it Serie A,26,1987,2,2,180,2,4,2,10,6,60,0,1,1,1,50,,,,,,Matches
3,Antonio Adán,es ESP,GK,Real Betis,es La Liga,26,1987,17,17,"1,522",16.9,31,1.83,102,71,69.6,4,2,11,3,17.6,,,,,,Matches
4,René Adler,de GER,GK,Hamburger SV,de Bundesliga,28,1985,30,30,"2,700",30,63,2.1,174,111,63.8,7,6,17,4,13.3,,,,,,Matches
5,Adrián,es ESP,GK,West Ham United,eng Premier League,26,1987,20,20,"1,800",20,27,1.35,112,85,75.9,8,1,11,6,30,,,,,,Matches
6,Kossi Agassa,tg TOG,GK,Reims,fr Ligue 1,35,1978,34,34,"3,060",34,47,1.38,179,132,73.7,11,11,12,9,26.5,,,,,,Matches
7,Michael Agazzi,it ITA,GK,Cagliari,it Serie A,29,1984,11,11,990,11,19,1.73,51,32,62.7,3,2,6,0,0,,,,,,Matches
8,Michael Agazzi,it ITA,GK,Chievo,it Serie A,29,1984,14,14,"1,260",14,21,1.5,64,43,67.2,5,0,9,3,21.4,,,,,,Matches
9,Ali Ahamada,km COM,GK,Toulouse,fr Ligue 1,21,1991,21,21,"1,890",21,26,1.24,83,57,68.7,7,7,7,5,23.8,,,,,,Matches
10,Gabriele Aldegani,it ITA,GK,Livorno,it Serie A,37,1976,1,0,8,0.1,0,0,0,0,,0,0,0,0,,,,,,,Matches
11,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,26,1986,3,3,270,3,2,0.67,22,20,90.9,2,0,1,2,66.7,,,,,,Matches
12,Diego Alves,br BRA,GK,Valencia,es La Liga,28,1985,27,27,"2,280",25.3,32,1.26,109,77,70.6,11,5,10,10,37,,,,,,Matches
13,Marco Amelia,it ITA,GK,Milan,it Serie A,31,1982,5,4,445,4.9,8,1.62,19,11,57.9,1,1,2,1,25,,,,,,Matches
14,Mohamed Amsif,ma MAR,GK,Augsburg,de Bundesliga,24,1989,2,2,180,2,5,2.5,10,5,50,0,0,2,0,0,,,,,,Matches
15,Luca Anania,it ITA,GK,Livorno,it Serie A,33,1980,3,3,262,2.9,8,2.75,22,14,63.6,0,0,3,0,0,,,,,,Matches
16,Stephan Andersen,dk DEN,GK,Real Betis,es La Liga,31,1981,7,6,585,6.5,21,3.23,47,26,55.3,0,1,6,1,16.7,,,,,,Matches
17,Nícolas Andrade,br BRA,GK,Hellas Verona,it Serie A,25,1988,1,1,90,1,5,5,11,6,54.5,0,0,1,0,0,,,,,,Matches
18,Mariano Andújar,ar ARG,GK,Catania,it Serie A,30,1983,24,24,"2,160",24,42,1.75,128,86,67.2,3,5,16,5,20.8,,,,,,Matches
19,Miguel Ángel Moyá,es ESP,GK,Getafe,es La Liga,29,1984,26,26,"2,307",25.6,40,1.56,138,98,71,7,5,14,6,23.1,,,,,,Matches
20,Daniel Aranzubia,es ESP,GK,Atlético Madrid,es La Liga,33,1979,1,1,84,0.9,1,1.07,3,2,66.7,0,0,1,0,0,,,,,,Matches
21,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,24,1989,35,35,"3,150",35,41,1.17,127,86,67.7,15,8,12,9,25.7,,,,,,Matches
22,Fabien Audard,fr FRA,GK,Lorient,fr Ligue 1,35,1978,23,23,"1,943",21.6,39,1.81,94,55,58.5,7,5,11,4,17.4,,,,,,Matches
23,Vlada Avramov,rs SRB,GK,Cagliari,it Serie A,34,1979,23,22,"2,016",22.4,25,1.12,92,67,72.8,6,7,9,5,22.7,,,,,,Matches
24,Pavol Bajza,sk SVK,GK,Parma,it Serie A,21,1991,3,2,225,2.5,4,1.6,16,12,75,1,1,1,1,50,,,,,,Matches
25,Francesco Bardi,it ITA,GK,Livorno,it Serie A,21,1992,35,35,"3,150",35,69,1.97,194,125,64.4,6,7,22,3,8.6,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
