Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,2,1,90,1,2,2,7,5,71.4,0,1,0,0,0,0,0,0,0,,Matches
2,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25,25,"2,250",25,43,1.72,99,57,58.6,7,5,13,5,20,2,2,0,0,0,Matches
3,Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38,38,"3,420",38,22,0.58,98,76,77.6,30,7,1,21,55.3,1,0,0,1,,Matches
4,Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13,13,"1,170",13,17,1.31,73,57,78.1,2,2,9,1,7.7,1,1,0,0,0,Matches
5,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13,13,"1,170",13,22,1.69,58,38,65.5,3,5,5,2,15.4,2,2,0,0,0,Matches
6,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,34,1984,11,11,990,11,11,1,33,22,66.7,3,2,6,2,18.2,0,0,0,0,,Matches
7,Alphonse Areola,fr FRA,GK,Paris Saint-Germain,fr Ligue 1,25,1993,21,21,"1,890",21,17,0.81,63,50,79.4,16,3,2,11,52.4,4,4,0,0,0,Matches
8,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36,36,"3,240",36,39,1.08,118,81,67.8,20,8,8,14,38.9,2,1,1,0,50,Matches
9,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,29,1989,32,32,"2,880",32,45,1.41,163,121,73.6,7,12,13,9,28.1,4,2,1,1,33.3,Matches
10,Emil Audero,id IDN,GK,Sampdoria,it Serie A,21,1997,36,36,"3,240",36,51,1.42,139,96,68.3,14,7,15,11,30.6,8,7,1,0,12.5,Matches
11,Francesco Bardi,it ITA,GK,Frosinone,it Serie A,26,1992,3,3,270,3,5,1.67,12,7,58.3,0,1,2,1,33.3,0,0,0,0,,Matches
12,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,28,1990,33,33,"2,970",33,51,1.55,161,117,72,12,12,9,5,15.2,7,6,1,0,14.3,Matches
