Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,1,0,25,0.3,0,0,1,1,100,0,0,0,0,,0,0,0,0,,Matches
2,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,11,9,875,9.7,10,1.03,28,18,64.3,9,0,0,2,22.2,0,0,0,0,,Matches
3,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,11,9,900,10,17,1.7,48,31,64.6,1,2,6,0,0,0,0,0,0,,Matches
4,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,4,4,279,3.1,4,1.29,11,7,63.6,1,0,3,1,25,0,0,0,0,,Matches
5,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,29,29,"2,543",28.3,23,0.81,80,58,72.5,23,3,3,13,44.8,1,1,0,0,0,Matches
6,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,4,4,180,2,1,0.5,3,2,66.7,1,1,0,2,50,0,0,0,0,,Matches
7,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,6,5,531,5.9,16,2.71,45,29,64.4,0,1,4,0,0,1,0,0,1,,Matches
8,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,13,"1,170",13,16,1.23,52,36,69.2,5,4,4,3,23.1,1,0,0,1,,Matches
9,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4,4,360,4,5,1.25,12,9,75,3,1,0,1,25,2,2,0,0,0,Matches
10,Alphonse Areola,fr FRA,GK,Paris Saint-Germain,fr Ligue 1,26,1993,3,3,270,3,2,0.67,5,3,60,2,0,1,2,66.7,0,0,0,0,,Matches
11,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33,33,"2,970",33,47,1.42,100,55,55,18,4,11,8,24.2,2,2,0,0,0,Matches
12,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34,34,"3,060",34,41,1.21,141,106,74.5,17,4,13,11,32.4,6,5,1,0,16.7,Matches
13,Emil Audero,id IDN,GK,Sampdoria,it Serie A,22,1997,36,36,"3,240",36,60,1.67,163,110,67.5,12,5,19,9,25,8,7,0,1,0,Matches
14,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,17,2001,1,1,90,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,,Matches
15,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,29,1990,30,30,"2,700",30,49,1.63,139,97,68.3,13,7,10,7,23.3,7,5,2,0,28.6,Matches
16,Asmir Begović,ba BIH,GK,Milan,it Serie A,32,1987,2,1,129,1.4,3,2.09,6,4,66.7,0,0,1,0,0,1,1,0,0,0,Matches
17,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,26,1993,26,26,"2,340",26,36,1.38,127,96,74.8,9,8,9,4,15.4,6,4,1,1,20,Matches
18,Etrit Berisha,al ALB,GK,SPAL,it Serie A,30,1989,26,26,"2,340",26,41,1.58,132,97,73.5,5,3,18,3,11.5,6,6,0,0,0,Matches
19,Paul Bernardoni,fr FRA,GK,Nîmes,fr Ligue 1,22,1997,25,25,"2,204",24.5,38,1.55,108,73,68.5,7,4,14,6,24,4,4,0,0,0,Matches
20,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,21,1998,3,3,196,2.2,3,1.38,5,2,40,0,0,3,0,0,0,0,0,0,,Matches
21,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,24,1995,33,33,"2,960",32.9,43,1.31,131,93,71,6,14,13,10,30.3,5,5,0,0,0,Matches
22,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,28,1991,6,5,495,5.5,3,0.55,19,17,89.5,4,1,0,4,80,1,1,0,0,0,Matches
23,Federico Brancolini,it ITA,GK,Fiorentina,it Serie A,18,2001,1,0,6,0.1,0,0,0,0,,0,0,0,1,,0,0,0,0,,Matches
24,Claudio Bravo,cl CHI,GK,Manchester City,eng Premier League,36,1983,4,3,347,3.9,7,1.82,15,8,53.3,2,0,1,1,33.3,0,0,0,0,,Matches
25,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,41,1978,9,9,810,9,10,1.11,32,23,71.9,7,1,1,1,11.1,2,1,0,1,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,28,1990,31,31,"2,770",30.8,40,1.3,95,58,61.1,19,5,7,13,41.9,3,3,0,0,0,Matches
27,Ludovic Butelle,fr FRA,GK,Angers,fr Ligue 1,36,1983,26,26,"2,340",26,32,1.23,81,52,64.2,10,6,10,11,42.3,3,3,0,0,0,Matches
28,Marcin Bułka,pl POL,GK,Paris Saint-Germain,fr Ligue 1,19,1999,1,1,90,1,0,0,2,2,100,1,0,0,1,100,0,0,0,0,,Matches
29,Willy Caballero,ar ARG,GK,Chelsea,eng Premier League,37,1981,5,5,450,5,7,1.4,17,10,58.8,2,2,1,1,20,0,0,0,0,,Matches
30,Matis Carvalho,pt POR,GK,Montpellier,fr Ligue 1,20,1999,1,0,71,0.8,4,5.07,9,5,55.6,0,0,0,0,,0,0,0,0,,Matches
31,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,27,1992,26,26,"2,340",26,38,1.46,102,68,66.7,11,6,9,5,19.2,4,4,0,0,0,Matches
32,Churripi,es ESP,GK,Valladolid,es La Liga,25,1994,3,3,244,2.7,3,1.11,13,10,76.9,1,0,2,1,33.3,0,0,0,0,,Matches
33,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,30,1989,24,24,"2,096",23.3,30,1.29,100,78,76,10,7,7,5,20.8,8,6,2,0,25,Matches
34,Yannis Clementia,mq MTQ,GK,Nice,fr Ligue 1,22,1997,2,2,180,2,2,1,6,5,83.3,2,0,0,0,0,1,1,0,0,0,Matches
35,Simone Colombi,it ITA,GK,Parma,it Serie A,28,1991,4,4,360,4,4,1,17,14,82.4,1,1,2,1,25,2,1,0,1,0,Matches
36,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,32,1987,31,31,"2,790",31,55,1.77,138,91,65.2,12,5,14,5,16.1,8,7,1,0,12.5,Matches
37,Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,35,1983,1,1,90,1,1,1,2,1,50,0,1,0,0,0,0,0,0,0,,Matches
38,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,32,1987,28,28,"2,520",28,34,1.21,105,74,69.5,9,10,9,6,21.4,3,2,1,0,33.3,Matches
39,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,27,1992,34,34,"3,060",34,20,0.59,96,76,79.2,23,8,3,18,52.9,0,0,0,0,,Matches
40,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,25,1994,16,16,"1,440",16,21,1.31,87,68,77,2,6,8,3,18.8,2,1,1,0,50,Matches
41,Iván Cuéllar,es ESP,GK,Leganés,es La Liga,35,1984,27,27,"2,429",27,33,1.22,96,65,66.7,7,9,11,8,29.6,2,1,1,0,50,Matches
42,Paul Delecroix,fr FRA,GK,Metz,fr Ligue 1,30,1988,2,1,135,1.5,4,2.67,5,2,40,0,0,1,0,0,1,1,0,0,0,Matches
43,Lucas Dias,fr FRA,GK,Nîmes,fr Ligue 1,20,1999,4,3,316,3.5,6,1.71,18,12,66.7,0,2,1,1,33.3,0,0,0,0,,Matches
