Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
36,Jasper Cillessen,nl NED,GK,Valencia,es La Liga,31,1989,10,10,900,10,11,1.1,42,33,76.2,5,1,4,3,30,2,1,1,0,50,Matches
37,Simone Colombi,it ITA,GK,Parma,it Serie A,29,1991,2,2,180,2,7,3.5,9,3,33.3,0,0,2,0,0,1,1,0,0,0,Matches
38,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,33,1987,37,37,"3,330",37,56,1.51,181,130,71.3,17,10,10,7,18.9,5,4,1,0,20,Matches
39,Alex Cordaz,it ITA,GK,Crotone,it Serie A,37,1983,36,36,"3,240",36,91,2.53,204,118,57.8,6,3,27,2,5.6,5,5,0,0,0,Matches
40,Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,36,1983,6,6,540,6,9,1.5,26,18,69.2,0,5,1,1,16.7,1,1,0,0,0,Matches
41,Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,33,1987,38,38,"3,420",38,57,1.5,151,101,66.9,13,6,19,14,36.8,8,7,1,0,12.5,Matches
42,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,28,1992,38,38,"3,420",38,28,0.74,107,88,80.4,25,9,4,17,44.7,9,7,2,0,22.2,Matches
43,Alessio Cragno,it ITA,GK,Cagliari,it Serie A,26,1994,34,34,"3,060",34,53,1.56,180,132,73.3,6,10,18,6,17.6,5,5,0,0,0,Matches
44,Gian Crespi,it ITA,GK,Crotone,it Serie A,19,2001,1,1,90,1,0,0,1,1,100,0,1,0,1,100,0,0,0,0,,Matches
45,Finn Dahmen,de GER,GK,Mainz 05,de Bundesliga,22,1998,3,3,270,3,10,3.33,20,11,55,1,0,2,0,0,1,1,0,0,0,Matches
46,Karl Darlow,wls WAL,GK,Newcastle United,eng Premier League,29,1990,25,25,"2,250",25,43,1.72,126,87,68.3,7,4,14,4,16,4,3,1,0,25,Matches
47,Yehvann Diouf,sn SEN,GK,Reims,fr Ligue 1,20,1999,2,1,135,1.5,1,0.67,5,5,100,0,0,1,0,0,1,1,0,0,0,Matches
48,Marko Dmitrović,rs SRB,GK,Eibar,es La Liga,28,1992,35,35,"3,120",34.7,49,1.41,125,80,63.2,6,11,18,9,25.7,5,3,1,1,25,Matches
49,Jaume Doménech,es ESP,GK,Valencia,es La Liga,29,1990,28,28,"2,520",28,42,1.5,124,88,69.4,5,12,11,4,14.3,6,4,2,0,33.3,Matches
50,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,21,1999,37,37,"3,330",37,38,1.03,128,92,71.9,24,6,7,14,37.8,4,2,1,1,33.3,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
51,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,22,1997,36,36,"3,148",35,55,1.57,130,85,63.8,9,12,15,8,22.2,10,8,2,0,20,Matches
52,Matthieu Dreyer,fr FRA,GK,Lorient,fr Ligue 1,31,1989,15,15,"1,350",15,25,1.67,52,33,63.5,5,5,5,2,13.3,6,6,0,0,0,Matches
53,Martin Dúbravka,sk SVK,GK,Newcastle United,eng Premier League,31,1989,13,13,"1,170",13,19,1.46,63,45,71.4,5,5,3,3,23.1,1,1,0,0,0,Matches
54,Ederson,br BRA,GK,Manchester City,eng Premier League,26,1993,36,36,"3,240",36,28,0.78,85,65,75.3,25,5,6,19,52.8,8,7,1,0,12.5,Matches
55,Aarón Escandell,es ESP,GK,Granada,es La Liga,24,1995,5,5,450,5,8,1.6,24,16,66.7,1,1,3,1,20,0,0,0,0,,Matches
56,Jokin Ezkieta,es ESP,GK,Athletic Club,es La Liga,23,1996,1,1,90,1,2,2,3,1,33.3,0,0,1,0,0,0,0,0,0,,Matches
57,Łukasz Fabiański,pl POL,GK,West Ham United,eng Premier League,35,1985,35,35,"3,150",35,44,1.26,140,99,70.7,17,8,10,10,28.6,6,3,2,1,40,Matches
58,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,31,1988,22,22,"1,876",20.8,50,2.4,142,95,66.9,3,3,16,3,13.6,4,3,1,0,25,Matches
59,Wuilker Faríñez,ve VEN,GK,Lens,fr Ligue 1,22,1998,3,1,107,1.2,3,2.52,6,4,66.7,0,0,1,0,0,1,1,0,0,0,Matches
60,Aitor Fernández,es ESP,GK,Levante,es La Liga,29,1991,29,29,"2,610",29,44,1.52,119,78,65.5,8,11,10,3,10.3,3,3,0,0,0,Matches
61,Álvaro Fernández,es ESP,GK,Huesca,es La Liga,22,1998,22,22,"1,980",22,32,1.45,95,65,68.4,5,5,12,5,22.7,2,2,0,0,0,Matches
62,Andrés Fernández,es ESP,GK,Huesca,es La Liga,33,1986,16,16,"1,440",16,21,1.31,52,34,65.4,2,8,6,4,25,3,3,0,0,0,Matches
63,Marco Festa,it ITA,GK,Crotone,it Serie A,28,1992,1,1,90,1,1,1,8,7,87.5,0,1,0,0,0,0,0,0,0,,Matches
64,Mark Flekken,nl NED,GK,Freiburg,de Bundesliga,27,1993,3,3,270,3,6,2,16,12,75,1,1,1,0,0,3,2,0,1,0,Matches
65,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,32,1988,8,8,720,8,11,1.37,27,19,66.7,4,0,4,2,25,3,2,1,0,33.3,Matches
66,Daniel Fuzato,br BRA,GK,Roma,it Serie A,23,1997,5,5,450,5,7,1.4,26,19,73.1,2,1,2,2,40,0,0,0,0,,Matches
67,Manuel Gasparini,it ITA,GK,Udinese,it Serie A,18,2002,1,0,3,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,Matches
68,Paulo Gazzaniga,ar ARG,GK,Elche,es La Liga,28,1992,8,8,720,8,9,1.13,23,15,65.2,3,1,4,2,25,1,1,0,0,0,Matches
69,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,29,1990,26,26,"2,295",25.5,32,1.25,87,59,67.8,12,9,5,9,34.6,4,4,0,0,0,Matches
70,Rafał Gikiewicz,pl POL,GK,Augsburg,de Bundesliga,32,1987,34,34,"3,060",34,55,1.62,175,128,72,10,6,18,7,20.6,10,6,2,2,25,Matches
71,David Gil,es ESP,GK,Cádiz,es La Liga,26,1994,4,4,360,4,10,2.5,16,7,43.8,0,1,3,0,0,1,1,0,0,0,Matches
72,Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,25,1995,25,25,"2,156",24,26,1.09,59,39,62.7,14,8,3,9,36,6,4,2,0,33.3,Matches
73,Alfred Gomis,sn SEN,GK,Dijon,fr Ligue 1,26,1993,5,5,450,5,10,2,29,22,75.9,0,1,4,0,0,3,3,0,0,0,Matches
74,Alfred Gomis,sn SEN,GK,Rennes,fr Ligue 1,26,1993,22,22,"1,980",22,25,1.14,74,52,70.3,7,5,10,5,22.7,4,3,0,1,0,Matches
75,Etienne Green,eng ENG,GK,Saint-Étienne,fr Ligue 1,20,2000,8,8,720,8,8,1,24,19,75,4,1,3,3,37.5,4,2,1,1,33.3,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
