Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Christian Abbiati,it ITA,GK,Milan,it Serie A,38,1977,1,0,72,0.8,0,0,5,5,100,0,1,0,1,,,,,,,Matches
2,Antonio Adán,es ESP,GK,Real Betis,es La Liga,28,1987,36,36,"3,213",35.7,50,1.4,179,129,72.1,10,11,15,12,33.3,1,0,0,1,,Matches
3,René Adler,de GER,GK,Hamburger SV,de Bundesliga,30,1985,24,24,"2,071",23,33,1.43,114,81,71.1,7,6,10,5,20.8,,,,,,Matches
4,Adrián,es ESP,GK,West Ham United,eng Premier League,28,1987,32,32,"2,880",32,39,1.22,138,99,71.7,13,14,5,9,28.1,,,,,,Matches
5,Kossi Agassa,tg TOG,GK,Reims,fr Ligue 1,37,1978,11,11,901,10,13,1.3,48,35,72.9,3,3,4,1,9.1,,,,,,Matches
6,Ali Ahamada,km COM,GK,Toulouse,fr Ligue 1,23,1991,6,6,540,6,15,2.5,32,17,53.1,0,2,4,0,0,,,,,,Matches
7,Fabrizio Alastra,it ITA,GK,Palermo,it Serie A,17,1997,2,1,144,1.6,6,3.75,12,6,50,0,0,2,0,0,,,,,,Matches
8,Ryan Allsop,eng ENG,GK,Bournemouth,eng Premier League,23,1992,1,0,45,0.5,1,2,2,1,50,0,0,0,0,,,,,,,Matches
9,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,28,1986,31,30,"2,725",30.3,47,1.55,126,82,65.1,12,8,10,7,23.3,4,3,0,1,0,Matches
10,Diego Alves,br BRA,GK,Valencia,es La Liga,30,1985,13,13,"1,170",13,21,1.62,68,48,70.6,6,1,6,1,7.7,1,1,0,0,0,Matches
11,Ionuț Andrei Radu,ro ROU,GK,Inter,it Serie A,,,1,0,19,0.2,0,0,0,0,,0,0,0,0,,,,,,,Matches
12,Alphonse Areola,fr FRA,GK,Villarreal,es La Liga,22,1993,32,32,"2,880",32,26,0.81,104,80,76,17,8,7,15,46.9,2,1,1,0,50,Matches
13,Giedrius Arlauskis,lt LTU,GK,Watford,eng Premier League,27,1987,1,0,24,0.3,1,3.75,2,1,50,0,0,0,0,,,,,,,Matches
14,Giedrius Arlauskis,lt LTU,GK,Espanyol,es La Liga,27,1987,3,3,225,2.5,12,4.8,18,7,38.9,0,0,3,0,0,1,1,0,0,0,Matches
15,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,26,1989,4,4,360,4,5,1.25,17,13,76.5,1,2,1,2,50,1,1,0,0,0,Matches
16,Mariano Barbosa,ar ARG,GK,Villarreal,es La Liga,31,1984,2,2,180,2,4,2,10,6,60,0,0,2,0,0,0,0,0,0,,Matches
17,Francesco Bardi,it ITA,GK,Frosinone,it Serie A,23,1992,2,2,119,1.3,3,2.27,12,9,75,0,1,0,0,0,,,,,,Matches
18,Davide Bassi,it ITA,GK,Atalanta,it Serie A,30,1985,1,1,90,1,3,3,5,2,40,0,0,1,0,0,,,,,,Matches
19,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,25,1990,33,33,"2,970",33,50,1.52,195,145,74.4,9,10,14,6,18.2,,,,,,Matches
20,Asmir Begović,ba BIH,GK,Chelsea,eng Premier League,28,1987,17,15,"1,399",15.5,24,1.54,79,55,69.6,4,5,7,4,26.7,,,,,,Matches
21,Vid Belec,si SVN,GK,Carpi,it Serie A,25,1990,30,30,"2,700",30,41,1.37,124,83,66.9,8,8,14,6,20,,,,,,Matches
22,Diego Benaglio,ch SUI,GK,Wolfsburg,de Bundesliga,31,1983,21,21,"1,890",21,39,1.86,103,64,62.1,5,5,11,5,23.8,,,,,,Matches
23,Francesco Benussi,it ITA,GK,Carpi,it Serie A,33,1981,4,4,298,3.3,3,0.91,11,8,72.7,0,2,1,1,25,,,,,,Matches
24,Etrit Berisha,al ALB,GK,Lazio,it Serie A,26,1989,11,9,873,9.7,13,1.34,43,30,69.8,5,3,2,2,22.2,,,,,,Matches
25,Paul Bernardoni,fr FRA,GK,Bordeaux,fr Ligue 1,18,1997,7,7,630,7,18,2.57,37,19,51.4,1,2,4,1,14.3,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Paul Bernardoni,fr FRA,GK,Troyes,fr Ligue 1,18,1997,14,14,"1,260",14,26,1.86,82,56,68.3,1,6,7,2,14.3,,,,,,Matches
27,Beto,pt POR,GK,Sevilla,es La Liga,33,1982,4,4,360,4,8,2,21,14,66.7,0,2,2,1,25,1,1,0,0,0,Matches
28,Albano Bizzarri,ar ARG,GK,Chievo,it Serie A,37,1977,35,35,"3,150",35,43,1.23,160,117,73.1,12,10,13,11,31.4,,,,,,Matches
29,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,20,1995,8,8,689,7.6,12,1.57,29,18,58.6,5,1,2,3,37.5,1,0,1,0,100,Matches
