Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Adrián,es ESP,GK,Real Betis,es La Liga,37,1987,19,19,"1,710",19,27,1.42,76,50,65.8,10,5,4,3,15.8,1,1,0,0,0,Matches
2,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23,2000,14,14,"1,206",13.4,10,0.75,32,24,71.9,9,4,1,5,35.7,2,1,1,0,50,Matches
3,Ben Alexander Voll,de GER,GK,St Pauli,de Bundesliga,23,2000,2,1,91,1,2,1.98,6,4,66.7,0,1,0,0,0,0,0,0,0,,Matches
4,Alisson,br BRA,GK,Liverpool,eng Premier League,31,1992,28,28,"2,508",27.9,29,1.04,106,74,73.6,18,7,3,10,35.7,1,1,0,0,0,Matches
5,Alphonse Areola,fr FRA,GK,West Ham United,eng Premier League,31,1993,26,25,"2,260",25.1,41,1.63,121,80,66.1,5,7,13,5,20,0,0,0,0,,Matches
6,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,29,1994,31,31,"2,790",31,39,1.26,132,97,73.5,13,7,11,8,25.8,4,4,0,0,0,Matches
7,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22,2002,26,26,"2,307",25.6,37,1.44,118,82,68.6,12,6,8,10,38.5,2,0,2,0,100,Matches
8,Emil Audero,id IDN,GK,Como,it Serie A,27,1997,8,8,720,8,18,2.25,31,17,54.8,2,2,4,0,0,4,4,0,0,0,Matches
9,Brandon Austin,eng ENG,GK,Tottenham Hotspur,eng Premier League,25,1999,1,1,90,1,2,2,4,2,50,0,0,1,0,0,0,0,0,0,,Matches
10,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,28,1996,32,32,"2,880",32,39,1.22,125,93,73.6,10,12,10,8,25,8,6,2,0,25,Matches
11,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,34,1990,28,28,"2,520",28,53,1.89,137,88,62.8,6,8,14,4,14.3,5,2,3,0,60,Matches
12,Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,26,1998,4,4,360,4,10,2.5,18,8,44.4,1,0,3,1,25,0,0,0,0,,Matches
13,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,31,1993,2,2,180,2,4,2,12,8,66.7,1,0,1,1,50,0,0,0,0,,Matches
14,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,26,1998,4,4,360,4,11,2.75,19,10,52.6,1,0,3,0,0,2,2,0,0,0,Matches
15,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,33,1991,32,32,"2,880",32,54,1.69,121,76,62,14,5,13,10,31.3,10,8,1,1,11.1,Matches
