Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,1,0,13,0.1,0,0,3,3,100,0,0,0,0,,0,0,0,0,,Matches
2,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,8,7,675,7.5,6,0.8,19,13,68.4,1,3,3,2,28.6,0,0,0,0,,Matches
3,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19,2002,6,4,406,4.5,8,1.77,13,7,46.2,2,0,2,1,25,2,1,1,0,50,Matches
4,Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37,37,"3,330",37,43,1.16,146,104,71.9,19,9,9,14,37.8,4,2,1,1,33.3,Matches
5,Alphonse Areola,fr FRA,GK,West Ham United,eng Premier League,29,1993,5,2,309,3.4,7,2.04,14,9,64.3,0,1,1,1,50,2,2,0,0,0,Matches
6,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,27,1994,29,29,"2,565",28.5,33,1.16,123,91,74,8,9,12,9,31,1,1,0,0,0,Matches
7,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33,1989,10,10,900,10,21,2.1,51,31,60.8,2,2,6,1,10,1,1,0,0,0,Matches
8,Emil Audero,id IDN,GK,Sampdoria,it Serie A,25,1997,25,25,"2,250",25,39,1.56,114,82,70.2,2,6,17,4,16,7,5,2,0,28.6,Matches
9,Édgar Badía,es ESP,GK,Elche,es La Liga,30,1992,36,36,"3,240",36,63,1.75,189,136,70.4,5,10,21,4,11.1,10,7,3,0,30,Matches
10,Francesco Bardi,it ITA,GK,Bologna,it Serie A,30,1992,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,,Matches
11,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,32,1990,34,34,"3,060",34,57,1.68,161,106,65.8,10,6,18,5,14.7,3,2,0,1,0,Matches
