Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4,4,360,4,5,1.25,20,15,75,1,2,1,1,25,0,0,0,0,,Matches
2,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,18,2002,12,12,"1,080",12,13,1.08,33,22,63.6,6,1,5,4,33.3,2,1,1,0,50,Matches
3,Alisson,br BRA,GK,Liverpool,eng Premier League,28,1992,36,36,"3,240",36,24,0.67,99,75,75.8,27,7,2,20,55.6,0,0,0,0,,Matches
4,Alphonse Areola,fr FRA,GK,West Ham United,eng Premier League,28,1993,1,1,90,1,1,1,3,2,66.7,0,0,1,0,0,0,0,0,0,,Matches
5,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,26,1994,4,4,360,4,2,0.5,13,11,84.6,2,1,1,2,50,0,0,0,0,,Matches
6,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,32,1989,6,6,540,6,9,1.5,27,19,70.4,2,2,2,0,0,1,1,0,0,0,Matches
7,Emil Audero,id IDN,GK,Sampdoria,it Serie A,24,1997,29,29,"2,560",28.4,48,1.69,130,83,63.8,8,5,16,5,17.2,2,1,1,0,50,Matches
8,Daniel Bachmann,at AUT,GK,Watford,eng Premier League,27,1994,12,12,"1,080",12,28,2.33,72,47,65.3,1,0,11,0,0,3,3,0,0,0,Matches
9,Édgar Badía,es ESP,GK,Elche,es La Liga,29,1992,24,24,"2,160",24,35,1.46,105,78,73.3,8,5,11,5,20.8,9,7,1,1,12.5,Matches
10,Nicola Bagnolini,it ITA,GK,Bologna,it Serie A,17,2004,1,0,3,0,0,0,1,1,100,0,0,0,1,,0,0,0,0,,Matches
11,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,19,2001,7,4,510,5.7,13,2.29,27,16,59.3,0,1,3,0,0,2,2,0,0,0,Matches
12,Francesco Bardi,it ITA,GK,Bologna,it Serie A,29,1992,2,2,177,2,2,1.02,9,7,77.8,1,1,0,1,50,0,0,0,0,,Matches
13,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,31,1990,33,33,"2,970",33,57,1.73,152,98,63.8,12,7,14,8,24.2,4,2,1,1,33.3,Matches
14,Asmir Begović,ba BIH,GK,Everton,eng Premier League,34,1987,3,3,270,3,8,2.67,18,11,61.1,1,0,2,1,33.3,1,1,0,0,0,Matches
15,Vid Belec,si SVN,GK,Salernitana,it Serie A,31,1990,23,21,"1,938",21.5,49,2.28,134,89,65.7,3,2,16,1,4.8,5,3,1,1,25,Matches
16,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,28,1993,37,37,"3,330",37,35,0.95,135,105,77,20,7,10,14,37.8,5,4,1,0,20,Matches
17,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,30,1991,1,1,90,1,3,3,7,4,57.1,0,1,0,0,0,0,0,0,0,,Matches
18,Etrit Berisha,al ALB,GK,Torino,it Serie A,32,1989,10,10,900,10,8,0.8,37,32,83.8,3,4,3,4,40,3,2,1,0,33.3,Matches
19,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,24,1997,13,13,"1,170",13,19,1.46,45,29,64.4,4,5,4,4,30.8,3,3,0,0,0,Matches
20,Paul Bernardoni,fr FRA,GK,Saint-Étienne,fr Ligue 1,24,1997,19,19,"1,710",19,33,1.74,82,52,65.9,5,5,9,3,15.8,5,5,0,0,0,Matches
21,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,23,1998,11,9,833,9.3,20,2.16,55,37,67.3,2,3,4,2,22.2,2,2,0,0,0,Matches
22,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,30,1991,38,38,"3,420",38,57,1.5,168,115,68.5,13,9,16,7,18.4,4,4,0,0,0,Matches
23,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,30,1991,31,31,"2,790",31,24,0.77,95,74,76.8,14,13,4,13,41.9,4,2,1,1,33.3,Matches
24,Claudio Bravo,cl CHI,GK,Real Betis,es La Liga,38,1983,17,17,"1,456",16.2,19,1.17,57,39,68.4,8,4,5,5,29.4,1,1,0,0,0,Matches
25,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,26,1995,4,4,360,4,7,1.75,25,18,72,0,2,2,0,0,0,0,0,0,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
26,Sascha Burchert,de GER,GK,Greuther Fürth,de Bundesliga,31,1989,14,14,"1,260",14,28,2,71,46,64.8,2,4,8,3,21.4,3,3,0,0,0,Matches
27,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,30,1990,1,1,90,1,1,1,0,0,,1,0,0,0,0,1,1,0,0,0,Matches
28,Jack Butland,eng ENG,GK,Crystal Palace,eng Premier League,28,1993,9,8,765,8.5,13,1.53,28,16,53.6,2,4,2,1,12.5,1,0,1,0,100,Matches
29,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,21,1999,1,1,90,1,1,1,5,4,80,0,0,1,0,0,0,0,0,0,,Matches
30,Willy Caballero,ar ARG,GK,Southampton,eng Premier League,39,1981,2,2,180,2,5,2.5,11,6,54.5,0,1,1,0,0,0,0,0,0,,Matches
31,Marc-Aurèle Caillard,fr FRA,GK,Metz,fr Ligue 1,27,1994,19,17,"1,542",17.1,30,1.75,85,57,67.1,4,5,8,5,29.4,2,2,0,0,0,Matches
32,Dani Cárdenas,es ESP,GK,Levante,es La Liga,24,1997,24,24,"2,160",24,46,1.92,116,74,63.8,6,6,12,5,20.8,4,4,0,0,0,Matches
