Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Patrick van Aanholt,nl NED,DF,Sunderland,eng Premier League,23,1990,25.6,4,0,,21,,,,,,,,,Matches
2,Rolando Aarons,eng ENG,MF,Newcastle United,eng Premier League,18,1995,1.5,1,0,,1,,,,,,,,,Matches
3,Ignazio Abate,it ITA,"DF,MF",Milan,it Serie A,27,1986,20.9,5,0,,25,,,,,,,,,Matches
4,Christian Abbiati,it ITA,GK,Milan,it Serie A,37,1977,10.1,0,0,,0,,,,,,,,,Matches
5,Kassim Abdallah,km COM,DF,Evian,fr Ligue 1,27,1987,28.7,5,1,,16,,,,,,,,,Matches
6,Aymen Abdennour,tn TUN,DF,Monaco,fr Ligue 1,24,1989,16.9,2,1,,10,,,,,,,,,Matches
7,Rafidine Abdullah,km COM,MF,Lorient,fr Ligue 1,20,1994,16.9,6,0,,32,,,,,,,,,Matches
8,Mehdi Abeid,dz ALG,MF,Newcastle United,eng Premier League,21,1992,7.4,0,0,,12,,,,,,,,,Matches
9,Vincent Aboubakar,cm CMR,FW,Lorient,fr Ligue 1,22,1992,2,1,0,,3,,,,,,,,,Matches
10,David Abraham,ar ARG,DF,Hoffenheim,de Bundesliga,28,1986,9.9,3,0,,10,,,,,,,,,Matches
11,Francesco Acerbi,it ITA,DF,Sassuolo,it Serie A,26,1988,32,8,1,,19,,,,,,,,,Matches
12,Karim Achahbar,ma MAR,FW,Guingamp,fr Ligue 1,18,1996,0.2,0,0,,0,,,,,,,,,Matches
13,Afriyie Acquah,gh GHA,MF,Sampdoria,it Serie A,22,1992,7.9,5,1,1,21,,,,,,,,,Matches
14,Afriyie Acquah,gh GHA,MF,Parma,it Serie A,22,1992,12.4,8,1,1,32,,,,,,,,,Matches
15,Charlie Adam,sct SCO,MF,Stoke City,eng Premier League,28,1985,16.8,5,0,,37,,,,,,,,,Matches
16,Emmanuel Adebayor,tg TOG,FW,Tottenham Hotspur,eng Premier League,30,1984,9,1,0,,13,,,,,,,,,Matches
17,Jordan Adéoti,bj BEN,"DF,MF",Caen,fr Ligue 1,25,1989,19.4,5,0,,38,,,,,,,,,Matches
18,René Adler,de GER,GK,Hamburger SV,de Bundesliga,29,1985,11.8,1,0,,0,,,,,,,,,Matches
19,Issam El Adoua,ma MAR,DF,Levante,es La Liga,27,1986,3.2,0,0,,3,,,,,,,,,Matches
20,Adrián,es ESP,GK,West Ham United,eng Premier League,27,1987,37.7,3,1,,,,,,,,,,,Matches
21,Adriano,br BRA,"DF,MF",Barcelona,es La Liga,29,1984,10.7,2,0,,25,,,,,,,,,Matches
22,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,33,1981,28.7,12,0,,58,,,,,,,,,Matches
23,Kossi Agassa,tg TOG,GK,Reims,fr Ligue 1,36,1978,16,0,0,,0,,,,,,,,,Matches
24,Gabriel Agbonlahor,eng ENG,"FW,MF",Aston Villa,eng Premier League,27,1986,29.9,7,1,,42,,,,,,,,,Matches
25,Imanol Agirretxe,es ESP,FW,Real Sociedad,es La Liga,27,1987,21.6,2,0,,32,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Federico Agliardi,it ITA,GK,Cesena,it Serie A,31,1983,9.7,0,0,,0,,,,,,,,,Matches
27,Alessandro Agostini,it ITA,DF,Hellas Verona,it Serie A,35,1979,21.2,4,0,,12,,,,,,,,,Matches
28,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,26,1988,28.1,4,0,,17,,,,,,,,,Matches
29,Abel Aguilar,co COL,MF,Toulouse,fr Ligue 1,29,1985,18.5,5,0,,15,,,,,,,,,Matches
30,Rodrigo Aguirre,uy URU,FW,Udinese,it Serie A,19,1994,2.5,2,0,,7,,,,,,,,,Matches
31,Rodrigo Aguirre,uy URU,FW,Empoli,it Serie A,19,1994,0,0,0,,0,,,,,,,,,Matches
32,Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,23,1990,20.8,5,1,,23,,,,,,,,,Matches
33,Ali Ahamada,km COM,GK,Toulouse,fr Ligue 1,22,1991,23,0,0,,0,,,,,,,,,Matches
34,Stefan Aigner,de GER,"FW,MF",Eintracht Frankfurt,de Bundesliga,26,1987,23.2,8,0,,62,,,,,,,,,Matches
35,Nathan Aké,nl NED,"DF,MF",Chelsea,eng Premier League,19,1995,0.2,0,0,,1,,,,,,,,,Matches
36,Ager Aketxe,es ESP,MF,Athletic Club,es La Liga,20,1993,3.3,1,0,,4,,,,,,,,,Matches
37,Jean-Daniel Akpa-Akpro,ci CIV,"DF,MF",Toulouse,fr Ligue 1,21,1992,26.8,5,0,,66,,,,,,,,,Matches
38,Chuba Akpom,eng ENG,"FW,MF",Arsenal,eng Premier League,18,1995,0.3,0,0,,1,,,,,,,,,Matches
39,David Alaba,at AUT,"DF,MF",Bayern Munich,de Bundesliga,22,1992,18.5,0,0,,8,,,,,,,,,Matches
40,Jordi Alba,es ESP,"DF,MF",Barcelona,es La Liga,25,1989,25.9,8,1,1,22,,,,,,,,,Matches
41,Edu Albácar,es ESP,DF,Elche,es La Liga,34,1979,16,7,0,,21,,,,,,,,,Matches
42,Raúl Albentosa,es ESP,DF,Eibar,es La Liga,25,1988,17,5,0,,19,,,,,,,,,Matches
43,Luis Alberto,es ESP,"FW,MF",Málaga,es La Liga,21,1992,6.5,0,0,,9,,,,,,,,,Matches
44,Raúl Albiol,es ESP,DF,Napoli,it Serie A,28,1985,34.4,10,0,,27,,,,,,,,,Matches
45,Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,23,1990,24.3,2,0,,34,,,,,,,,,Matches
46,Marc Albrighton,eng ENG,MF,Leicester City,eng Premier League,24,1989,11.5,3,0,,15,,,,,,,,,Matches
47,Mads Albæk,dk DEN,MF,Reims,fr Ligue 1,24,1990,7.2,2,1,,21,,,,,,,,,Matches
48,Paco Alcácer,es ESP,FW,Valencia,es La Liga,20,1993,23.9,2,1,,17,,,,,,,,,Matches
49,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,23,1991,3.2,0,0,,7,,,,,,,,,Matches
50,Antolín Alcaraz,py PAR,DF,Everton,eng Premier League,32,1982,5.9,3,1,1,5,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
51,Toby Alderweireld,be BEL,DF,Southampton,eng Premier League,25,1989,25.1,3,0,,12,,,,,,,,,Matches
52,Romain Alessandrini,fr FRA,"FW,MF",Marseille,fr Ligue 1,25,1989,14,1,0,,24,,,,,,,,,Matches
53,Alex,br BRA,DF,Milan,it Serie A,32,1982,15.5,3,0,,11,,,,,,,,,Matches
54,Alexis,es ESP,DF,Getafe,es La Liga,28,1985,27.9,13,1,,30,,,,,,,,,Matches
55,Chaker Alhadhur,km COM,"DF,MF",Nantes,fr Ligue 1,22,1991,12.3,3,1,,13,,,,,,,,,Matches
56,Rachid Alioui,ma MAR,FW,Guingamp,fr Ligue 1,22,1992,2.4,0,0,,5,,,,,,,,,Matches
57,Sami Allagui,tn TUN,"FW,MF",Hertha BSC,de Bundesliga,28,1986,0.1,0,0,,0,,,,,,,,,Matches
58,Sami Allagui,tn TUN,"FW,MF",Mainz 05,de Bundesliga,28,1986,9,4,0,,14,,,,,,,,,Matches
59,Allan,br BRA,"DF,MF",Udinese,it Serie A,23,1991,33.3,8,0,,54,,,,,,,,,Matches
60,Joe Allen,wls WAL,MF,Liverpool,eng Premier League,24,1990,16.3,3,0,,20,,,,,,,,,Matches
61,Hugo Almeida,pt POR,FW,Cesena,it Serie A,30,1984,7.6,0,0,,6,,,,,,,,,Matches
62,Jak Alnwick,eng ENG,GK,Newcastle United,eng Premier League,21,1993,5.5,0,0,,0,,,,,,,,,Matches
63,Baptiste Aloé,fr FRA,DF,Marseille,fr Ligue 1,20,1994,5.1,2,0,,5,,,,,,,,,Matches
64,Marcos Alonso,es ESP,"DF,MF",Fiorentina,it Serie A,23,1990,18.7,4,0,,28,,,,,,,,,Matches
65,Xabi Alonso,es ESP,MF,Bayern Munich,de Bundesliga,32,1981,21.8,6,0,,33,,,,,,,,,Matches
66,Jozy Altidore,us USA,FW,Sunderland,eng Premier League,24,1989,3.5,0,0,,7,,,,,,,,,Matches
67,Halil Altıntop,tr TUR,"FW,MF",Augsburg,de Bundesliga,31,1982,27.3,1,0,,19,,,,,,,,,Matches
68,Sone Aluko,ng NGA,"FW,MF",Hull City,eng Premier League,25,1989,13.8,2,0,,15,,,,,,,,,Matches
69,Cristian Álvarez,ar ARG,GK,Rayo Vallecano,es La Liga,28,1985,16,2,0,,0,,,,,,,,,Matches
70,Ricky Álvarez,ar ARG,MF,Sunderland,eng Premier League,26,1988,5.5,3,0,,5,,,,,,,,,Matches
71,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,27,1986,37.2,1,1,,0,,,,,,,,,Matches
72,Víctor Álvarez,es ESP,"DF,MF",Espanyol,es La Liga,21,1993,13.6,4,0,,16,,,,,,,,,Matches
73,Dani Alves,br BRA,"DF,MF",Barcelona,es La Liga,31,1983,28,6,1,,54,,,,,,,,,Matches
74,Diego Alves,br BRA,GK,Valencia,es La Liga,29,1985,36.8,4,0,,0,,,,,,,,,Matches
75,Morgan Amalfitano,fr FRA,MF,West Ham United,eng Premier League,29,1985,13.2,3,0,,9,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Jordi Amat,id IDN,DF,Swansea City,eng Premier League,22,1992,6.5,3,0,,8,,,,,,,,,Matches
77,Amauri,it ITA,FW,Torino,it Serie A,34,1980,9.6,4,0,,22,,,,,,,,,Matches
78,Amauri,it ITA,FW,Parma,it Serie A,34,1980,0.3,0,0,,1,,,,,,,,,Matches
79,Jordan Amavi,fr FRA,DF,Nice,fr Ligue 1,20,1994,35.9,11,0,,64,,,,,,,,,Matches
80,Antonio Amaya,es ESP,DF,Rayo Vallecano,es La Liga,31,1983,17.6,6,0,,25,,,,,,,,,Matches
81,Sammy Ameobi,eng ENG,"FW,MF",Newcastle United,eng Premier League,22,1992,15.8,2,0,,34,,,,,,,,,Matches
82,Shola Ameobi,ng NGA,FW,Crystal Palace,eng Premier League,32,1981,0.5,0,0,,1,,,,,,,,,Matches
83,Nadiem Amiri,de GER,MF,Hoffenheim,de Bundesliga,17,1996,3.7,0,0,,4,,,,,,,,,Matches
84,Nordin Amrabat,ma MAR,"FW,MF",Málaga,es La Liga,27,1987,22.8,7,0,,60,,,,,,,,,Matches
85,Anderson,br BRA,MF,Manchester Utd,eng Premier League,26,1988,0.2,0,0,,1,,,,,,,,,Matches
86,Felipe Anderson,br BRA,"FW,MF",Lazio,it Serie A,21,1993,23.3,5,0,,39,,,,,,,,,Matches
