Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32,8,0,0,26,52,1,50,26,45,,,1,Matches
2,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,5,1,0,38,25,0,4,67,28,,,0,Matches
3,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,12,3,2,43,37,0,14,40,26,,,0,Matches
4,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,9,0,0,41,69,1,37,54,63,,,0,Matches
5,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,1,0,0,1,0,0,,,0,Matches
6,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,3,0,0,17,11,15,3,5,7,,,0,Matches
7,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0,0,0,2,1,0,0,0,0,,,0,Matches
8,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,9,0,0,38,49,17,15,5,13,,,0,Matches
9,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,2,0,0,5,4,0,0,5,3,,,1,Matches
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,2,1,0,18,16,4,3,37,12,,,0,Matches
11,Ragnar Ache,de GER,MF,Eintracht Frankfurt,de Bundesliga,23,1998,2.9,0,0,0,5,8,6,6,0,0,,,0,Matches
12,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
13,Marcos Acuña,ar ARG,"DF,MF",Sevilla,es La Liga,29,1991,25.1,10,0,0,38,48,0,178,16,31,,,0,Matches
14,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,0,0,0,29,40,7,8,8,6,,,0,Matches
15,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15,5,0,0,19,15,0,2,17,9,,,0,Matches
16,Sargis Adamyan,am ARM,"MF,FW",Hoffenheim,de Bundesliga,28,1993,3.7,0,0,0,4,8,4,5,1,5,,,0,Matches
17,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,17,2003,3.9,1,0,0,16,2,0,11,8,11,,,0,Matches
18,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,21,2000,14,3,0,0,27,28,8,21,11,14,,,0,Matches
