Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Ismael Aaneba,fr FRA,DF,Strasbourg,fr Ligue 1,21,1999,0.1,0,0,0,1,0,0,0,1,0,,,0,Matches
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,29,1990,19.7,2,0,0,11,4,3,39,29,22,,,0,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,32,1987,32.1,4,1,0,38,23,0,0,63,42,,,0,Matches
4,Sabit Abdulai,gh GHA,MF,Getafe,es La Liga,21,1999,0.7,1,0,0,2,1,0,1,0,0,,,0,Matches
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,27,1992,14.7,5,0,0,30,22,1,42,26,23,,,0,Matches
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,27,1993,32.9,5,0,0,43,38,0,28,47,83,,,0,Matches
7,Charles Abi,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,20,2000,10.1,1,0,0,18,8,7,3,4,2,,,0,Matches
8,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,17,2003,0,0,0,0,0,0,0,0,0,0,,,0,Matches
9,Pape Abou Cissé,sn SEN,DF,Saint-Étienne,fr Ligue 1,24,1995,14,1,0,0,10,9,1,1,30,13,,,0,Matches
10,David Abraham,ar ARG,DF,Eintracht Frankfurt,de Bundesliga,34,1986,13.6,5,1,1,11,8,1,13,21,12,,,0,Matches
11,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,22,1997,11.6,0,0,0,22,12,5,6,4,6,,,0,Matches
12,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,30,1990,0.7,0,0,0,4,0,0,0,2,1,,,0,Matches
13,Gennaro Acampora,it ITA,"MF,FW",Spezia,it Serie A,26,1994,4.9,2,0,0,10,12,1,7,4,4,,,0,Matches
14,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,32,1988,31.3,9,1,1,31,25,2,31,78,32,,,0,Matches
15,Ragnar Ache,de GER,FW,Eintracht Frankfurt,de Bundesliga,22,1998,1.1,1,0,0,5,1,1,1,1,0,,,0,Matches
16,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,28,1991,25.9,5,0,0,45,33,2,119,23,44,,,0,Matches
17,Che Adams,sct SCO,FW,Southampton,eng Premier League,24,1996,29.6,1,0,0,29,55,19,6,4,17,,,0,Matches
18,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,21,1999,20.6,3,0,0,29,29,2,19,32,26,,,0,Matches
19,Sargis Adamyan,am ARM,MF,Hoffenheim,de Bundesliga,27,1993,5.3,2,0,0,5,8,3,12,5,4,,,0,Matches
20,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,22,1997,32.8,1,0,0,16,6,2,2,40,17,,,1,Matches
21,Bobby Adekanye,nl NED,"FW,MF",Cádiz,es La Liga,21,1999,0.4,0,0,0,1,0,0,2,0,0,,,0,Matches
22,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,20,2000,26.9,6,0,0,39,37,0,54,36,38,,,0,Matches
23,Andrea Adorante,it ITA,FW,Parma,it Serie A,20,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
24,Adrián,es ESP,GK,Liverpool,eng Premier League,33,1987,3,0,0,0,0,0,0,0,0,0,,,0,Matches
25,Martin Agirregabiria,es ESP,"DF,MF",Alavés,es La Liga,24,1996,17.3,1,0,0,24,24,1,32,24,19,,,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Lucien Agoume,fr FRA,MF,Spezia,it Serie A,18,2002,8.9,2,0,0,16,9,0,1,16,10,,,0,Matches
27,Felix Agu,ng NGA,MF,Werder Bremen,de Bundesliga,20,1999,7.8,0,0,0,5,26,1,12,17,10,,,0,Matches
28,Kevin Agudelo,co COL,FW,Spezia,it Serie A,21,1998,15.1,4,0,0,20,32,2,11,9,29,,,0,Matches
29,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35,6,0,0,22,30,2,1,51,31,,,0,Matches
30,Sergio Agüero,ar ARG,"FW,MF",Manchester City,eng Premier League,32,1988,6.2,0,0,0,2,7,1,1,2,1,,,0,Matches
31,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,27,1993,24.7,6,0,0,40,36,1,119,47,39,,,0,Matches
32,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,2.8,2,1,0,6,9,0,0,2,1,,,0,Matches
33,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,10,0,0,0,16,15,1,7,3,20,,,0,Matches
34,Jean-Eudes Aholou,ci CIV,"MF,DF",Strasbourg,fr Ligue 1,26,1994,23.8,9,0,0,50,33,0,9,53,25,,,0,Matches
35,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,0.4,0,0,0,0,1,0,0,1,0,,,0,Matches
