Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Ismael Aaneba,fr FRA,"MF,DF",Strasbourg,fr Ligue 1,19,1999,2.3,3,0,0,6,0,0,10,7,7,0,0,0,Matches
2,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,27,1990,35.5,3,0,0,12,14,11,42,42,27,0,0,0,Matches
3,Ignazio Abate,it ITA,DF,Milan,it Serie A,31,1986,14.5,4,0,0,13,7,0,26,18,20,0,1,0,Matches
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,30,1987,38,2,0,0,33,21,1,0,63,34,0,1,1,Matches
5,Mehdi Abeid,dz ALG,MF,Dijon,fr Ligue 1,25,1992,22.5,6,0,0,57,29,1,24,29,36,0,0,0,Matches
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,18,2000,0.4,0,0,0,2,1,0,0,0,4,0,0,0,Matches
7,David Abraham,ar ARG,DF,Eintracht Frankfurt,de Bundesliga,32,1986,15.8,2,0,0,11,9,0,8,28,15,0,0,0,Matches
8,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,28,1990,8.8,5,0,0,19,16,0,2,19,12,0,0,0,Matches
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,30,1988,36.8,4,1,1,26,42,4,7,66,30,0,1,0,Matches
10,Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,4,0,0,28,32,1,34,13,11,0,0,0,Matches
11,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8,0,0,0,12,11,0,4,18,17,0,0,0,Matches
12,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1,1,0,0,0,0,0,0,0,0,,,0,Matches
13,Aday,es ESP,"MF,DF",Girona,es La Liga,30,1987,7.2,2,0,0,6,8,0,50,7,8,,,0,Matches
14,Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,7,1,1,33,21,2,0,28,21,0,0,1,Matches
