Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
17,Amine Adli,ma MAR,"FW,MF",Toulouse,fr Ligue 1,19,2000,0.5,1,0,0,2,0,0,4,1,0,,,0,Matches
18,Yacine Adli,fr FRA,MF,Bordeaux,fr Ligue 1,19,2000,11.3,3,0,0,13,18,0,39,7,13,,,0,Matches
19,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,1,0,0,0,1,0,0,0,1,,,0,Matches
20,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,3,0,0,7,1,0,0,0,2,,,0,Matches
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,5,1,1,13,10,0,78,25,21,,,0,Matches
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,5,1,0,32,19,1,33,18,30,,,0,Matches
23,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,1,0,0,1,0,0,2,0,2,,,0,Matches
24,Kevin Agudelo,co COL,MF,Fiorentina,it Serie A,20,1998,0.7,0,0,0,3,1,0,0,1,1,,,0,Matches
25,Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,5,1,1,20,11,1,11,6,15,,,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,2,0,0,13,6,0,1,18,8,,,0,Matches
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,1,0,0,9,9,6,10,3,5,,,0,Matches
28,Ruben Aguilar,fr FRA,"DF,MF",Monaco,fr Ligue 1,26,1993,11.9,2,2,0,10,20,0,61,11,23,,,0,Matches
29,Emmanuel Agyemang-Badu,gh GHA,MF,Hellas Verona,it Serie A,28,1990,2.6,2,0,0,7,3,1,1,1,1,,,0,Matches
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7,3,1,0,11,14,1,2,16,11,,,0,Matches
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,4,0,0,17,16,0,1,46,30,,,0,Matches
32,Ola Aina,ng NGA,MF,Torino,it Serie A,22,1996,23.1,8,0,0,26,35,2,62,42,24,,,0,Matches
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6,1,0,0,10,3,0,2,5,9,,,0,Matches
34,Rayan Aït-Nouri,dz ALG,DF,Angers,fr Ligue 1,18,2001,14.2,3,0,0,11,12,0,43,20,19,,,0,Matches
35,Albian Ajeti,ch SUI,FW,West Ham United,eng Premier League,22,1997,1.5,0,0,0,6,0,2,0,1,0,,,0,Matches
36,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,25,1994,22.9,3,0,0,37,21,4,12,3,9,,,0,Matches
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,2,0,0,11,23,0,2,32,22,,,1,Matches
38,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,1,0,0,3,3,0,1,1,2,,,0,Matches
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,2,0,0,9,13,3,4,33,23,,,0,Matches
40,Chadrac Akolo,cd COD,MF,Amiens,fr Ligue 1,24,1995,6,1,0,0,9,8,2,6,5,9,,,0,Matches
41,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,2,0,0,8,13,1,3,12,16,,,1,Matches
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,0,0,0,10,7,1,28,30,16,,,0,Matches
43,Sofiane Alakouch,ma MAR,DF,Nîmes,fr Ligue 1,21,1998,15.6,3,0,0,14,26,2,29,21,27,,,1,Matches
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13,6,0,0,23,13,18,4,1,3,,,0,Matches
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,7,0,0,18,18,5,65,38,13,,,1,Matches
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,5,0,0,20,38,1,179,24,31,,,0,Matches
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36,9,0,0,30,25,2,3,43,24,,,0,Matches
48,Marc Albrighton,eng ENG,MF,Leicester City,eng Premier League,29,1989,9.6,2,0,0,8,11,1,68,8,16,,,0,Matches
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,1,0,0,4,11,13,1,2,3,,,0,Matches
50,Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,0,0,0,2,3,7,2,1,2,,,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
51,Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,7,0,0,24,14,0,7,46,25,,,0,Matches
52,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,10,0,0,37,57,0,28,15,28,,,0,Matches
53,Toby Alderweireld,be BEL,DF,Tottenham Hotspur,eng Premier League,30,1989,32.9,7,0,0,18,4,1,8,26,29,,,1,Matches
54,Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,4,0,0,31,9,1,43,34,19,,,0,Matches
55,Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,0,0,0,5,4,1,1,0,0,,,0,Matches
56,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,0,0,0,3,2,0,4,0,1,,,0,Matches
57,Carles Aleñá,es ESP,MF,Real Betis,es La Liga,21,1998,8.2,1,0,0,9,19,3,3,1,10,,,0,Matches
58,Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10,0,0,0,0,2,0,0,0,0,,,0,Matches
59,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,5,0,0,22,9,3,377,46,33,,,0,Matches
60,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0,0,0,0,0,0,0,0,,,0,Matches
61,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,1,0,0,24,34,5,15,3,5,,,0,Matches
62,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0,1,0,1,1,0,0,1,0,,,0,Matches
63,Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,3,0,0,30,24,0,13,13,26,,,0,Matches
64,Dele Alli,eng ENG,"MF,FW",Tottenham Hotspur,eng Premier League,23,1996,20.5,2,0,0,12,33,6,7,14,14,,,0,Matches
65,Miguel Almirón,py PAR,"MF,FW",Newcastle United,eng Premier League,25,1994,33.6,5,0,0,30,58,24,42,30,41,,,0,Matches
66,Marcos Alonso,es ESP,"DF,MF",Chelsea,eng Premier League,28,1990,15.9,4,0,0,16,15,2,67,20,15,,,0,Matches
67,Mickaël Alphonse,gp GLP,"DF,MF",Dijon,fr Ligue 1,30,1989,15.3,2,0,0,14,13,1,33,16,26,,,1,Matches
68,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2,3,0,0,0,0,0,0,0,0,,,0,Matches
69,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,6,0,0,24,7,0,2,16,22,,,0,Matches
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,2,0,0,18,32,1,12,64,20,,,0,Matches
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,4,0,0,24,12,1,13,28,11,,,0,Matches
72,Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,1,0,0,17,18,3,9,13,19,,,0,Matches
73,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,1,0,0,8,2,0,1,17,11,,,0,Matches
74,Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,2,0,0,15,6,0,5,11,10,,,0,Matches
75,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,5,0,0,26,43,0,22,36,28,,,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
76,Amath,sn SEN,"FW,MF",Getafe,es La Liga,23,1996,0.7,0,0,0,3,4,0,0,0,1,,,0,Matches
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24,9,0,0,41,19,1,31,56,32,,,0,Matches
78,Thierry Ambrose,gp GLP,"FW,MF",Metz,fr Ligue 1,22,1997,6.1,1,0,0,7,9,1,15,2,5,,,0,Matches
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,3,0,0,23,8,0,12,19,21,,,0,Matches
80,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,22,1996,20.6,3,0,0,27,39,3,113,14,18,,,0,Matches
81,Ethan Ampadu,wls WAL,"DF,MF",RB Leipzig,de Bundesliga,18,2000,0.9,0,0,0,0,0,0,0,1,4,,,0,Matches
82,Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,de Bundesliga,23,1996,5.6,1,0,0,16,5,8,14,4,4,,,0,Matches
83,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,10,2,0,63,60,0,23,31,36,,,0,Matches
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17,3,0,0,17,3,0,1,10,8,,,0,Matches
85,Djavan Anderson,sr SUR,MF,Lazio,it Serie A,24,1995,1.9,1,0,0,4,1,0,2,3,0,,,0,Matches
86,Felipe Anderson,br BRA,MF,West Ham United,eng Premier League,26,1993,16.6,1,0,0,17,23,2,36,21,28,,,0,Matches
87,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,5,0,0,61,40,21,31,4,10,,,0,Matches
88,Florin Andone,ro ROU,FW,Brighton,eng Premier League,26,1993,0.8,0,1,0,2,3,0,0,0,1,,,0,Matches
89,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,6,0,0,55,37,0,11,61,45,,,0,Matches
90,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,0,0,0,0,0,0,0,0,0,,,0,Matches
91,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,13,1,1,66,38,0,39,43,29,,,0,Matches
92,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,0,0,0,19,26,0,3,5,17,,,0,Matches
93,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,0,0,0,16,8,3,4,2,0,,,0,Matches
94,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,4,0,0,21,13,0,144,34,28,,,0,Matches
95,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13,0,0,0,0,0,0,0,1,0,,,0,Matches
96,Angeliño,es ESP,"MF,DF",RB Leipzig,de Bundesliga,22,1997,12.2,2,0,0,12,16,3,79,19,7,,,0,Matches
97,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,1,0,0,2,2,0,42,9,2,,,0,Matches
98,Faustino Anjorin,eng ENG,MF,Chelsea,eng Premier League,17,2001,0.2,0,0,0,0,1,0,0,0,0,,,0,Matches
99,Peter Ankersen,dk DEN,"MF,DF",Genoa,it Serie A,28,1990,11.8,2,0,0,9,12,1,22,9,4,,,0,Matches
100,Cristian Ansaldi,ar ARG,MF,Torino,it Serie A,32,1986,19.6,9,0,0,28,30,4,142,15,24,,,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
101,Janis Antiste,fr FRA,"FW,MF",Toulouse,fr Ligue 1,16,2002,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches
102,Michail Antonio,jm JAM,"FW,MF",West Ham United,eng Premier League,29,1990,19.6,3,0,0,40,35,12,49,9,7,,,0,Matches
103,Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,1987,11.4,1,0,0,18,7,1,36,18,16,,,0,Matches
104,Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,1999,0.9,1,0,0,2,1,0,0,2,3,,,0,Matches
105,Vitorino Antunes,pt POR,DF,Getafe,es La Liga,32,1987,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches
106,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,1994,27.4,2,0,0,16,40,4,69,17,15,,,0,Matches
107,Anuar,ma MAR,MF,Valladolid,es La Liga,24,1995,2.1,1,0,0,3,5,0,1,5,3,,,0,Matches
108,Houssem Aouar,dz ALG,MF,Lyon,fr Ligue 1,21,1998,21.7,3,0,0,24,42,2,24,13,12,,,0,Matches
109,Adil Aouchiche,dz ALG,MF,Paris Saint-Germain,fr Ligue 1,17,2002,0.7,0,0,0,1,0,0,0,0,2,,,0,Matches
110,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,2,0,0,26,7,0,32,21,34,,,0,Matches
111,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,11,1,1,79,63,0,45,41,35,,,0,Matches
112,Guilherme Arana,br BRA,"DF,MF",Atalanta,it Serie A,22,1997,0.9,0,0,0,2,4,0,4,2,4,,,0,Matches
113,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,2,0,0,15,44,0,13,23,36,,,0,Matches
114,Luiz Araújo,br BRA,"MF,FW",Lille,fr Ligue 1,23,1996,9.2,1,0,0,13,23,0,30,5,11,,,0,Matches
115,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,10,0,0,27,10,0,0,52,29,,,0,Matches
116,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,0,1,0,2,1,0,0,1,2,,,0,Matches
117,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,5,0,0,22,12,0,29,31,20,,,0,Matches
118,Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4,1,0,0,1,0,0,0,0,0,,,0,Matches
119,Alphonse Areola,fr FRA,GK,Paris Saint-Germain,fr Ligue 1,26,1993,3,0,0,0,0,1,0,0,0,0,,,0,Matches
120,Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12,1,0,0,8,16,1,24,24,24,,,0,Matches
121,Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0,0,0,0,0,0,0,0,0,1,,,0,Matches
122,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,27,1992,19.1,4,0,0,26,20,4,23,10,20,,,0,Matches
123,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,24,1995,8.8,2,0,0,11,17,5,7,6,2,,,0,Matches
124,José Arnaiz,es ESP,MF,Leganés,es La Liga,24,1995,3.7,2,0,0,9,6,1,12,2,0,,,0,Matches
125,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,8,0,0,52,69,0,166,29,24,,,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
126,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,24,1994,33,0,0,0,0,5,0,0,1,1,,,0,Matches
127,Kwadwo Asamoah,gh GHA,MF,Inter,it Serie A,30,1988,7.1,1,0,0,6,6,2,18,10,9,,,0,Matches
128,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,de Bundesliga,22,1997,7,2,0,0,11,5,0,2,13,11,,,0,Matches
129,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,30,1989,34,2,0,0,2,5,0,0,0,0,,,0,Matches
130,Marco Asensio,es ESP,FW,Real Madrid,es La Liga,23,1996,3.7,0,0,0,2,4,1,10,1,3,,,0,Matches
131,Kristoffer Askildsen,no NOR,MF,Sampdoria,it Serie A,18,2001,0.8,2,1,1,4,0,0,0,1,1,,,0,Matches
132,Iago Aspas,es ESP,FW,Celta Vigo,es La Liga,31,1987,36.2,9,0,0,25,66,20,29,22,19,,,0,Matches
133,Roger Assalé,ci CIV,"MF,FW",Leganés,es La Liga,25,1993,5.9,1,0,0,8,11,7,6,0,2,,,0,Matches
134,Youcef Atal,dz ALG,"FW,MF",Nice,fr Ligue 1,23,1996,11.1,5,0,0,15,25,4,30,20,10,,,0,Matches
135,Miguel Atienza,es ESP,MF,Eibar,es La Liga,20,1999,0.3,0,0,0,2,1,0,0,2,1,,,0,Matches
136,Christian Atsu,gh GHA,MF,Newcastle United,eng Premier League,27,1992,8.3,2,0,0,11,10,4,17,2,8,,,0,Matches
137,Pierre-Emerick Aubameyang,ga GAB,"FW,MF",Arsenal,eng Premier League,30,1989,34.8,3,1,0,14,20,20,86,11,21,,,0,Matches
138,Emil Audero,id IDN,GK,Sampdoria,it Serie A,22,1997,36,1,0,0,0,5,0,0,0,1,,,1,Matches
139,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,24,1994,12.6,2,0,0,7,4,1,80,14,8,,,0,Matches
140,Jean-Kévin Augustin,fr FRA,FW,Monaco,fr Ligue 1,22,1997,3,0,0,0,2,7,4,0,2,0,,,0,Matches
141,Ludwig Augustinsson,se SWE,"MF,DF",Werder Bremen,de Bundesliga,25,1994,10.3,2,0,0,18,12,1,56,13,12,,,0,Matches
142,Serge Aurier,ci CIV,"DF,MF",Tottenham Hotspur,eng Premier League,26,1992,30,4,1,1,40,22,6,134,43,71,,,1,Matches
143,Mathias Autret,fr FRA,"MF,FW",Brest,fr Ligue 1,28,1991,13.6,3,0,0,13,6,0,71,9,16,,,0,Matches
144,Ezequiel Ávila,ar ARG,FW,Osasuna,es La Liga,25,1994,17.7,6,0,0,46,43,24,22,4,12,,,0,Matches
145,Javier Avilés,es ESP,FW,Leganés,es La Liga,21,1997,2,1,0,0,5,2,2,17,3,8,,,0,Matches
146,Chidozie Awaziem,ng NGA,DF,Leganés,es La Liga,22,1997,22.2,10,0,0,22,14,2,8,28,23,,,0,Matches
147,Taiwo Awoniyi,ng NGA,"MF,FW",Mainz 05,de Bundesliga,21,1997,5.4,1,0,0,5,3,3,9,2,0,,,0,Matches
148,Florian Ayé,fr FRA,"FW,MF",Brescia,it Serie A,22,1997,15.3,4,1,1,19,22,5,7,4,8,,,0,Matches
149,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,eng Premier League,27,1991,35,6,0,0,59,105,9,25,13,29,,,0,Matches
150,Kaan Ayhan,tr TUR,DF,Düsseldorf,de Bundesliga,24,1994,30.3,10,0,0,36,21,3,23,45,25,,,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
151,Ramon Azeez,ng NGA,MF,Granada,es La Liga,26,1992,15.1,3,0,0,29,19,1,8,21,7,,,0,Matches
152,César Azpilicueta,es ESP,"DF,MF",Chelsea,eng Premier League,29,1989,35.9,1,0,0,41,15,3,118,66,54,,,0,Matches
153,Ludovic Baal,gf GUF,DF,Brest,fr Ligue 1,33,1986,9.2,1,0,0,10,15,1,25,17,14,,,0,Matches
154,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,23,1996,32.3,6,0,0,41,59,1,2,41,37,,,1,Matches
155,Khouma Babacar,sn SEN,FW,Lecce,it Serie A,26,1993,15.8,4,0,0,35,32,7,2,3,8,,,0,Matches
156,Carlos Bacca,co COL,FW,Villarreal,es La Liga,32,1986,7.6,1,0,0,8,6,7,3,0,1,,,0,Matches
157,Milan Badelj,hr CRO,MF,Fiorentina,it Serie A,30,1989,17.6,3,1,1,17,19,0,4,42,16,,,0,Matches
158,Matthias Bader,de GER,"DF,MF",Köln,de Bundesliga,22,1997,0.1,0,0,0,0,2,0,0,0,1,,,0,Matches
159,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,18,2001,15.7,0,0,0,19,13,0,1,25,11,,,0,Matches
160,Bastian Badu,fr FRA,FW,Montpellier,fr Ligue 1,19,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches
161,Alex Baena,es ESP,"FW,MF",Villarreal,es La Liga,18,2001,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches
162,Stéphane Bahoken,cm CMR,FW,Angers,fr Ligue 1,27,1992,10.1,3,0,0,24,12,6,14,1,4,,,0,Matches
163,Daniel Baier,de GER,MF,Augsburg,de Bundesliga,35,1984,21.6,6,0,0,31,38,0,6,56,18,,,0,Matches
164,Leon Bailey,jm JAM,"MF,FW",Leverkusen,de Bundesliga,21,1997,12.1,0,2,0,16,18,6,79,9,3,,,0,Matches
165,Eric Bailly,ci CIV,DF,Manchester Utd,eng Premier League,25,1994,1.7,0,0,0,2,0,0,0,3,0,,,0,Matches
166,Dénys Bain,fr FRA,DF,Brest,fr Ligue 1,26,1993,14.1,3,1,0,8,5,1,0,30,15,,,0,Matches
167,Leighton Baines,eng ENG,"DF,MF",Everton,eng Premier League,34,1984,4.5,0,0,0,1,4,0,27,5,7,,,0,Matches
168,Stefan Bajic,fr FRA,GK,Saint-Étienne,fr Ligue 1,17,2001,1,0,0,0,0,0,0,0,0,0,,,0,Matches
169,Tiemoué Bakayoko,fr FRA,MF,Monaco,fr Ligue 1,24,1994,19.1,4,1,0,34,58,0,10,28,25,,,0,Matches
170,Lewis Baker,eng ENG,MF,Düsseldorf,de Bundesliga,24,1995,6.1,1,0,0,8,7,0,4,1,6,,,1,Matches
171,Mitchel Bakker,nl NED,DF,Paris Saint-Germain,fr Ligue 1,19,2000,1,1,0,0,1,0,0,1,0,2,,,0,Matches
172,Ridle Baku,de GER,"MF,DF",Mainz 05,de Bundesliga,21,1998,26.1,5,1,0,33,41,2,85,42,30,,,0,Matches
173,Fabián Balbuena,py PAR,DF,West Ham United,eng Premier League,27,1991,13.1,2,0,0,6,2,0,1,26,12,,,0,Matches
174,Keita Baldé,sn SEN,"MF,FW",Monaco,fr Ligue 1,24,1995,9.5,4,0,0,12,15,5,16,2,6,,,0,Matches
175,George Baldock,gr GRE,MF,Sheffield United,eng Premier League,26,1993,38,7,0,0,47,44,11,128,37,43,,,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
176,Gareth Bale,wls WAL,"FW,MF",Real Madrid,es La Liga,30,1989,12.1,4,1,1,16,10,5,45,6,5,,,0,Matches
177,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,31,1988,6.3,1,0,0,6,3,0,14,1,11,,,0,Matches
178,Leonardo Balerdi,ar ARG,DF,Dortmund,de Bundesliga,20,1999,1.5,1,0,0,1,0,0,0,4,1,,,0,Matches
179,Marco Ballarini,it ITA,MF,Udinese,it Serie A,18,2001,0,0,0,0,0,0,0,0,0,0,,,0,Matches
180,Fodé Ballo-Touré,sn SEN,"DF,MF",Monaco,fr Ligue 1,22,1997,18.7,4,0,0,17,22,4,59,23,25,,,1,Matches
181,Florent Balmont,fr FRA,MF,Dijon,fr Ligue 1,39,1980,4.5,1,0,0,4,7,0,8,2,5,,,0,Matches
182,Mario Balotelli,it ITA,FW,Brescia,it Serie A,28,1990,15.6,6,1,0,32,51,7,8,8,2,,,0,Matches
183,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,29,1990,6.2,2,0,0,4,2,0,14,4,8,,,0,Matches
184,Jonathan Bamba,ci CIV,MF,Lille,fr Ligue 1,23,1996,21.5,1,0,0,15,45,5,49,16,7,,,0,Matches
185,Éver Banega,ar ARG,MF,Sevilla,es La Liga,31,1988,27.5,10,0,0,31,57,2,163,15,29,,,0,Matches
186,Mattia Bani,it ITA,DF,Bologna,it Serie A,25,1993,24.5,13,1,1,44,35,1,6,51,28,,,0,Matches
187,Antonín Barák,cz CZE,FW,Udinese,it Serie A,24,1994,2.2,1,0,0,9,4,0,7,0,4,,,0,Matches
188,Antonín Barák,cz CZE,MF,Lecce,it Serie A,24,1994,15.2,0,0,0,12,9,2,20,9,10,,,0,Matches
189,Federico Barba,it ITA,DF,Valladolid,es La Liga,25,1993,5,3,0,0,8,5,0,5,8,6,,,0,Matches
190,Danilo Barbosa,br BRA,"DF,MF",Nice,fr Ligue 1,23,1996,12.5,4,0,0,16,21,0,1,19,21,,,0,Matches
191,Melvin Bard,fr FRA,"DF,MF",Lyon,fr Ligue 1,18,2000,0.5,0,0,0,0,0,0,3,1,0,,,0,Matches
