Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,0,0,0,9,8,2,88,46,24,,,1,Matches
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36,7,0,0,29,49,3,72,35,28,,,0,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28,0,0,0,21,20,0,1,49,32,,,0,Matches
4,Suleiman Abdullahi,ng NGA,MF,Union Berlin,de Bundesliga,22,1996,1.7,1,0,0,0,0,3,8,1,0,,,0,Matches
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,5,0,0,55,43,1,62,22,29,,,0,Matches
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,2,0,0,16,10,7,3,3,10,,,0,Matches
7,David Abraham,ar ARG,DF,Eintracht Frankfurt,de Bundesliga,33,1986,18.8,2,1,0,14,12,0,9,23,13,,,0,Matches
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,2,0,0,17,24,23,10,5,4,,,1,Matches
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,3,0,0,17,12,0,7,7,9,,,0,Matches
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,4,0,0,25,41,5,26,42,30,,,0,Matches
11,Che Adams,sct SCO,FW,Southampton,eng Premier League,23,1996,12.3,0,0,0,17,16,10,14,2,5,,,0,Matches
12,Tyler Adams,us USA,"MF,DF",RB Leipzig,de Bundesliga,20,1999,10.6,0,0,0,9,16,0,10,13,15,,,0,Matches
13,Sargis Adamyan,am ARM,"MF,FW",Hoffenheim,de Bundesliga,26,1993,8.3,1,0,0,12,7,7,11,2,5,,,0,Matches
14,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0,0,0,0,0,0,0,0,0,,,0,Matches
15,Bobby Adekanye,nl NED,"FW,MF",Lazio,it Serie A,20,1999,2.1,1,0,0,2,3,1,1,3,2,,,0,Matches
16,Claud Adjapong,it ITA,MF,Hellas Verona,it Serie A,21,1998,2.6,0,0,0,3,2,1,2,4,3,,,0,Matches
